O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,AKHILESH YADAV,Indian National Congress,111,86,126,96,88,128,85,102,97,127,108,97,116,109,255,472,102,171,152,112,95,77,141,189,202,170,155,137,176,212,87,3,Uttar Pradesh-Bikapur,Bikapur
2,AMIT SINGH CHAUHAN,Bharatiya Janata Party,5271,3406,2798,4324,4183,3838,3788,2704,4274,3590,3178,2422,4018,3439,2649,3737,4015,3515,3129,3310,2972,2871,4161,3660,3360,4265,2576,3434,3216,3390,1296,118,Uttar Pradesh-Bikapur,Bikapur
3,FIROZ KHAN,Samajwadi Party,2098,2856,3154,2679,3084,3017,3352,5578,3615,2898,5046,4768,3413,3685,3272,2932,2677,3497,4071,3598,2405,3901,3103,2733,3033,2585,2427,3052,2931,3340,1963,289,Uttar Pradesh-Bikapur,Bikapur
4,MADHU DWIVEDI,Communist Party of India,74,52,53,45,57,61,52,55,60,47,47,54,52,33,41,48,57,79,49,33,35,42,56,52,64,59,45,55,38,57,33,7,Uttar Pradesh-Bikapur,Bikapur
5,SUNIL,Bahujan Samaj Party,431,617,452,374,540,423,439,365,849,502,538,506,675,506,1233,556,1255,1540,486,920,746,416,509,659,961,778,701,1032,1045,801,433,11,Uttar Pradesh-Bikapur,Bikapur
6,JANG BAHADUR,Moulik Adhikar Party,25,16,19,18,35,14,19,17,18,10,14,27,22,20,23,21,24,38,25,24,28,11,27,17,29,22,23,32,22,22,14,0,Uttar Pradesh-Bikapur,Bikapur
7,DISHA PATEL,Apana Dal Balihari Party,14,12,6,8,65,43,14,16,17,8,10,8,15,9,30,22,23,160,21,23,25,13,4,9,26,12,2,56,58,22,4,0,Uttar Pradesh-Bikapur,Bikapur
8,RAJ KUMAR,Jan Adhikar Party,6,14,16,9,13,11,13,15,16,8,8,10,15,25,14,5,13,15,11,8,14,12,13,18,5,26,9,8,16,17,6,0,Uttar Pradesh-Bikapur,Bikapur
9,SUNIL KUMAR,Aam Aadmi Party,16,18,9,11,16,14,18,15,13,21,5,11,10,21,36,22,15,17,33,22,25,15,20,41,46,35,6,28,24,29,4,0,Uttar Pradesh-Bikapur,Bikapur
10,HAJARI LAL,Rashtriya Bhagidari Party,17,23,26,37,37,28,24,38,29,45,34,49,16,43,47,32,21,72,51,21,50,89,21,48,23,83,15,33,21,39,28,0,Uttar Pradesh-Bikapur,Bikapur
11,BHUPENDRA PRATAP,Independent,37,34,27,22,24,11,17,25,19,19,8,23,24,19,21,21,26,24,14,15,14,14,18,24,26,28,12,18,15,15,6,1,Uttar Pradesh-Bikapur,Bikapur
12,NOTA,None of the Above,60,61,48,44,51,54,53,57,48,37,45,29,44,44,48,37,44,44,52,32,50,37,49,39,48,54,32,39,42,45,11,1,Uttar Pradesh-Bikapur,Bikapur
