O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,Amarjeet Singh,Samajwadi Party,2931,2042,2288,3840,4479,5008,3887,4391,6004,2898,3848,3800,4308,4514,3823,4465,6789,5395,4420,2475,1932,2564,2126,1203,2064,1127,2179,1912,2502,1149,934,Uttar Pradesh-Bilaspur,Bilaspur
2,Baldev Singh Aulakh,Bharatiya Janata Party,3756,4897,4229,2346,2513,2707,2968,3174,2526,3069,3410,3192,3036,3245,2696,1671,1170,2645,3174,4753,4606,3377,4166,4132,4080,4577,4513,4016,3972,2303,880,Uttar Pradesh-Bilaspur,Bilaspur
3,Ramautar Kashyap,Bahujan Samaj Party,726,116,291,586,927,99,56,104,355,1373,212,717,782,248,622,247,34,356,206,845,695,691,613,1141,1392,1737,787,1140,999,558,151,Uttar Pradesh-Bilaspur,Bilaspur
4,Sanjay Kapoor,Indian National Congress,196,331,477,332,208,157,283,224,276,198,124,307,211,391,330,1183,194,325,333,179,321,215,314,670,423,529,315,319,287,72,37,Uttar Pradesh-Bilaspur,Bilaspur
5,Jagdish Saran Patel,Janata Dal (United),6,9,11,8,7,6,5,4,10,7,6,16,14,14,20,11,5,14,19,22,33,51,13,38,43,64,14,15,29,4,2,Uttar Pradesh-Bilaspur,Bilaspur
6,Nirmal Singh,Aam Aadmi Party,27,23,13,17,14,45,6,2,16,9,17,6,2,7,2,5,55,31,6,6,8,7,15,6,10,13,6,7,7,1,0,Uttar Pradesh-Bilaspur,Bilaspur
7,Boopram,Bharatiya Subhash Sena,3,7,7,4,2,8,1,5,37,2,6,12,6,5,3,7,9,3,4,6,7,9,12,5,11,7,5,8,15,9,3,Uttar Pradesh-Bilaspur,Bilaspur
8,Om Radheshyam Lodhi,Independent,5,10,12,3,6,2,2,5,7,6,8,12,9,5,8,10,4,10,6,4,3,15,5,10,9,15,8,6,7,9,0,Uttar Pradesh-Bilaspur,Bilaspur
9,Krishan Kant Parmeshwari,Independent,23,25,19,18,22,5,6,14,22,11,22,25,18,15,15,17,21,19,20,26,22,25,25,41,34,30,19,23,22,14,6,Uttar Pradesh-Bilaspur,Bilaspur
10,Harjeet Singh,Independent,27,32,26,20,15,6,11,9,32,21,27,21,21,21,13,13,10,18,31,31,26,41,35,29,28,38,21,20,33,17,8,Uttar Pradesh-Bilaspur,Bilaspur
11,NOTA,None of the Above,54,45,35,36,31,38,24,44,59,24,45,44,36,64,44,37,28,33,45,45,33,35,44,34,48,42,32,49,35,27,6,Uttar Pradesh-Bilaspur,Bilaspur
