O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,ASHISH KUMAR SINGH 'ASHU',Bharatiya Janata Party,1737,1484,2371,1920,1750,2798,1806,3134,2619,3113,3005,3067,2771,2249,2543,2694,2526,2475,3261,2504,3252,2708,2317,2310,3013,2993,3270,1845,2438,1875,2614,2491,779,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
2,KRISHNA KUMAR SINGH,Bahujan Samaj Party,1015,1206,1283,1292,1514,1168,1298,391,1327,1275,1579,1092,1045,1176,1588,1491,705,502,757,2082,722,999,1409,920,1114,1103,721,747,610,1500,576,1228,134,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
3,BRIJESH KUMAR VERMA,Samajwadi Party,1191,2033,2294,918,1760,901,731,806,1223,2373,1574,888,1450,1578,1766,1635,3254,3181,2834,1544,1121,1381,1848,2493,2359,1222,573,1975,1775,2522,2427,2232,293,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
4,SUBHASH PAL,Indian National Congress,3391,2788,2376,2343,1624,1823,2219,2456,1539,747,717,1801,1236,1266,1119,1062,887,688,641,919,1516,1621,1116,2238,1505,1285,1729,1902,2030,1822,1627,1703,548,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
5,DEEPAK KUMAR,Aam Aadmi Party,85,42,54,82,48,49,50,45,47,127,57,57,49,29,39,52,33,10,47,51,29,37,18,39,36,28,48,31,43,39,20,34,11,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
6,MADHURI SINGH,Bhartiya Shakti Chetna Party,7,8,3,8,5,6,6,7,20,3,5,9,6,5,6,2,5,2,1,7,8,3,8,6,4,5,11,7,7,9,0,4,1,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
7,SHYAM MOHAN PANDEY,Satya Bahumat Party,10,5,9,8,6,8,6,10,12,3,12,10,5,10,6,10,4,6,2,7,11,4,11,9,10,5,13,7,8,4,6,2,3,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
8,DEEPIKA SUMAN,Independent,7,5,4,5,4,5,2,4,6,2,9,5,1,5,8,4,6,3,1,2,3,5,3,5,10,2,12,2,6,8,3,5,1,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
9,RAMESH CHANDRA,Independent,9,2,3,15,4,8,5,3,9,1,10,9,10,8,7,8,5,7,4,8,6,12,3,8,5,6,8,1,7,4,4,6,3,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
10,VIMLA DEVI,Independent,24,26,37,41,44,37,36,15,35,29,62,43,21,53,51,35,28,19,24,60,32,41,40,41,23,24,34,20,29,33,23,24,6,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
11,SHABNUM ATTRI,Independent,44,30,27,39,15,31,26,23,17,11,14,22,22,17,23,16,14,9,11,14,12,19,17,19,14,14,15,14,25,15,11,16,8,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
12,C. K. SINGH,Independent,21,22,17,11,19,14,18,11,16,16,111,26,20,14,24,23,18,11,21,29,22,15,28,20,28,13,16,20,18,27,11,18,5,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
13,SONIKA VERMA,Independent,29,30,31,37,30,29,23,18,25,21,38,24,21,26,40,24,9,11,13,26,22,22,35,23,31,26,35,14,36,37,12,23,8,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
14,NOTA,None of the Above,38,47,77,58,61,64,27,62,64,43,59,63,39,45,61,56,55,51,55,67,61,59,50,81,61,61,72,52,61,54,47,48,17,Uttar Pradesh-Bilgram-Mallanwan,Bilgram-Mallanwan
