O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,USHA RANI,Indian National Congress,69,67,65,45,38,56,45,62,69,34,45,62,167,80,77,75,58,82,108,177,80,79,141,74,70,65,51,59,43,90,80,85,62,42,Uttar Pradesh-Bilhaur,Bilhaur
2,MADHU SINGH GAUTAM,Bahujan Samaj Party,1107,900,978,934,321,890,891,861,1305,672,1461,1325,785,690,1437,845,1042,715,1081,1265,894,1692,747,967,994,708,626,662,364,586,1106,628,1041,844,Uttar Pradesh-Bilhaur,Bilhaur
3,RACHNA SINGH,Samajwadi Party,2230,2309,2362,3939,2969,2266,4742,1803,2685,2922,2269,2816,1824,1921,1579,1859,1810,2257,2444,2294,2411,1631,2079,1997,2005,2495,1718,3455,2808,2296,1982,1886,2681,1676,Uttar Pradesh-Bilhaur,Bilhaur
4,MOHIT SONKAR,Bharatiya Janata Party,4043,4299,4345,2983,3221,4240,2277,4411,3243,2956,1952,3127,5008,4068,3749,4529,3051,3613,2952,2863,4260,3422,3609,3393,3430,3897,4465,4112,4061,4656,3862,4214,3229,1185,Uttar Pradesh-Bilhaur,Bilhaur
5,MONU BABU,Voters Party International,43,76,59,51,21,61,36,58,54,30,24,40,56,31,50,43,36,55,56,39,31,46,74,39,32,47,48,62,26,41,37,49,25,9,Uttar Pradesh-Bilhaur,Bilhaur
6,SHRAVAN KUMAR,Bhartiya Shakti Chetna Party,12,17,14,14,22,15,14,17,20,1,15,29,25,22,82,35,20,24,11,8,10,10,4,12,10,14,7,10,11,18,47,21,11,7,Uttar Pradesh-Bilhaur,Bilhaur
7,SATYENDRA,Aam Aadmi Party,27,32,21,14,13,14,25,11,18,7,6,12,25,10,28,16,13,22,26,11,17,22,15,5,14,15,29,14,6,18,23,9,17,4,Uttar Pradesh-Bilhaur,Bilhaur
8,ARKESHWAR SAHAI,Independent,12,27,16,22,11,14,19,17,20,9,12,15,30,22,24,16,24,19,16,16,16,28,15,12,20,12,7,17,14,18,19,21,11,8,Uttar Pradesh-Bilhaur,Bilhaur
9,UDAN LAL,Independent,23,23,27,26,8,17,36,25,30,16,18,27,24,23,35,15,14,37,30,15,11,15,18,21,19,23,21,15,22,10,25,16,20,13,Uttar Pradesh-Bilhaur,Bilhaur
10,RAMDAS,Independent,46,33,37,38,16,34,35,28,35,15,47,36,50,43,48,37,30,41,24,41,21,49,31,34,36,32,26,29,31,26,50,26,31,16,Uttar Pradesh-Bilhaur,Bilhaur
11,NOTA,None of the Above,44,65,50,65,21,68,84,56,82,33,29,44,57,44,66,49,36,47,47,68,38,47,44,43,45,44,59,41,49,43,41,62,39,13,Uttar Pradesh-Bilhaur,Bilhaur
