O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,ANKIT CHAUHAN,Indian National Congress,61,71,84,97,83,72,38,66,74,100,86,61,84,60,63,52,65,44,65,34,60,65,48,71,36,38,44,68,64,35,Uttar Pradesh-Bilsi,Bilsi
2,CHANDRA PRAKASH MAURYA,Samajwadi Party,2615,1607,1349,1239,1878,2724,2117,2002,1965,2181,2822,4494,4714,2669,3395,2899,2129,1382,1628,2030,1349,1155,1523,2532,4060,2216,2372,2565,1774,631,Uttar Pradesh-Bilsi,Bilsi
3,MAMTA SHAKYA,Bahujan Samaj Party,723,2030,2014,2165,2136,2089,811,1233,1566,1129,1303,760,504,1004,688,845,982,866,1019,470,1216,869,1442,503,68,651,630,918,911,59,Uttar Pradesh-Bilsi,Bilsi
4,HARISH CHANDRA,Bharatiya Janata Party,3134,3408,3497,3867,3335,2698,3956,4228,4091,3920,2607,1332,1723,3150,1397,2782,2672,2245,3813,3613,4755,3829,3661,3958,1689,3464,3109,3119,3748,529,Uttar Pradesh-Bilsi,Bilsi
5,KISHOR KUMAR,Rashtriya Shoshit Samaj Party,34,52,47,41,62,33,21,39,140,72,41,17,29,60,33,49,79,57,53,60,110,43,54,25,8,23,21,38,61,7,Uttar Pradesh-Bilsi,Bilsi
6,DEVENDRA,Aam Aadmi Party,29,15,12,18,11,26,33,15,20,17,12,50,15,30,27,13,43,27,25,14,7,36,8,11,9,8,15,12,17,3,Uttar Pradesh-Bilsi,Bilsi
7,MIR HADI ALI URF BABAR MIYAN,Aazad Samaj Party (Kanshi Ram),14,39,11,19,15,12,25,10,18,17,37,39,94,44,192,148,1053,821,16,10,13,10,6,19,20,19,18,23,24,3,Uttar Pradesh-Bilsi,Bilsi
8,VEER PAL SINGH,Rashtriya Parivartan Dal,21,215,164,73,21,16,16,39,46,245,24,15,34,57,52,31,268,168,37,22,69,181,40,44,12,32,15,25,39,5,Uttar Pradesh-Bilsi,Bilsi
9,SHAILENDRA KUMAR MISHRA,Jansatta Dal Loktantrik,24,34,34,19,18,17,13,38,23,39,14,14,6,40,12,23,31,28,22,34,22,31,14,9,2,7,8,19,16,4,Uttar Pradesh-Bilsi,Bilsi
10,DEENANATH,Independent,15,23,27,36,19,31,14,14,24,15,26,21,12,27,18,21,24,30,23,11,11,21,17,9,5,5,13,19,21,6,Uttar Pradesh-Bilsi,Bilsi
11,RAJARAM SHAKYA,Independent,25,26,20,15,18,27,22,26,22,39,27,31,32,25,36,33,46,24,27,25,16,5,15,11,19,13,23,21,15,6,Uttar Pradesh-Bilsi,Bilsi
12,NOTA,None of the Above,43,31,40,40,28,41,33,49,43,53,45,37,35,38,38,42,85,53,26,43,41,34,45,32,17,32,37,29,55,8,Uttar Pradesh-Bilsi,Bilsi
