O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,AFZAAL KAUSAR,Samajwadi Party,2924,2973,2485,3688,3372,3877,4651,3772,4764,3873,2517,3245,3031,1774,2980,3757,5033,3160,3192,3047,2619,3002,1504,2751,2418,3867,3582,2255,3378,1628,Uttar Pradesh-Biswan,Biswan
2,NIRMAL VERMA,Bharatiya Janata Party,3784,3395,4183,3568,3906,3341,3330,3150,2606,3303,4516,4355,4353,4032,2933,1990,1174,4182,4187,4663,3856,3691,4430,3845,3746,2575,2805,3117,3522,3260,Uttar Pradesh-Biswan,Biswan
3,VANDANA BHARRGAVA,Indian National Congress,209,205,205,116,155,123,150,107,100,68,138,153,183,67,79,30,16,239,175,299,246,360,224,187,279,69,108,157,119,94,Uttar Pradesh-Biswan,Biswan
4,HASHIM ALI,Bahujan Samaj Party,880,1296,480,639,827,690,905,1083,983,682,1050,576,824,172,636,427,363,764,614,426,1216,1236,832,516,693,1033,1047,1120,977,1029,Uttar Pradesh-Biswan,Biswan
5,ADARSH,Aam Aadmi Party,36,30,14,10,24,15,17,19,13,10,24,9,17,13,4,6,4,31,20,22,27,23,19,18,18,9,20,19,14,18,Uttar Pradesh-Biswan,Biswan
6,RAM KISHOR VERMA,Janata Dal (United),9,19,4,6,10,12,14,11,6,3,16,11,14,3,4,0,1,7,15,8,9,18,16,14,15,12,1,18,12,14,Uttar Pradesh-Biswan,Biswan
7,RAMLAKHAN GAUTAM,Prajashakti Party Samdarshi,24,24,19,22,36,28,10,29,29,12,29,12,34,4,7,6,2,26,38,16,31,27,24,10,21,23,21,30,15,25,Uttar Pradesh-Biswan,Biswan
8,NATTHARAM,Independent,20,49,10,22,14,17,6,9,9,5,11,11,11,4,9,2,4,7,11,12,5,15,18,11,11,5,9,15,10,18,Uttar Pradesh-Biswan,Biswan
9,"RIAZUDDIN ""RAZU""",Independent,18,10,7,7,8,16,8,5,11,3,12,10,14,3,4,0,2,11,6,11,7,11,10,8,9,8,12,11,9,11,Uttar Pradesh-Biswan,Biswan
10,SHASHIKALA VERMA,Independent,13,14,9,10,19,11,8,14,10,8,13,10,8,1,4,3,4,5,16,12,12,17,15,14,14,10,9,15,7,11,Uttar Pradesh-Biswan,Biswan
11,SALIL SETH,Independent,35,49,59,34,27,37,28,46,37,23,54,28,42,42,30,63,13,43,53,42,43,59,235,327,61,43,37,50,19,30,Uttar Pradesh-Biswan,Biswan
12,SAHAJRAM,Independent,27,19,38,17,48,37,28,31,12,22,35,23,40,9,13,5,8,22,36,42,23,42,40,35,26,29,25,32,29,21,Uttar Pradesh-Biswan,Biswan
13,NOTA,None of the Above,63,42,60,50,75,76,44,76,45,37,61,57,54,30,31,19,20,74,64,65,64,64,58,58,55,58,44,53,46,38,Uttar Pradesh-Biswan,Biswan
