O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Anees,Bahujan Samaj Party,263,597,77,199,115,185,317,264,59,129,389,263,370,340,544,454,607,592,362,209,154,395,360,418,500,234,190,719,1049,6,Uttar Pradesh-Budhana,Budhana
2,Umesh Malik,Bharatiya Janata Party,4268,3563,727,3680,7317,4387,1294,3509,3623,2532,6037,4128,3980,3345,3782,4028,3997,3911,3122,4149,2078,2699,2355,4324,3543,1110,2734,3921,3535,416,Uttar Pradesh-Budhana,Budhana
3,Devendra Kumar,Indian National Congress,50,70,35,37,88,133,42,64,67,62,85,81,109,67,70,81,155,93,91,74,49,247,37,128,114,48,48,87,92,35,Uttar Pradesh-Budhana,Budhana
4,Rajpal Singh Baliyan,Rashtriya Lok Dal,2883,4294,8105,4244,1658,3592,6532,5659,4768,5756,2435,3635,3379,3634,4095,3975,3473,4051,4871,4056,5987,3794,5477,3716,4299,8047,5930,4067,4052,52,Uttar Pradesh-Budhana,Budhana
5,Devendra Malik Pahalwan,Aam Aadmi Party,78,49,59,34,30,17,48,42,26,45,17,21,59,39,39,17,35,22,19,32,44,26,31,24,22,53,45,34,24,1,Uttar Pradesh-Budhana,Budhana
6,Captain Neel Kumar,Jai Samta Party,4,6,15,12,5,2,8,12,3,14,2,7,10,12,8,5,13,6,6,9,6,4,5,8,16,11,13,12,9,0,Uttar Pradesh-Budhana,Budhana
7,Bheem Singh,All India Majlis-E-Ittehadul Muslimeen,21,150,428,42,14,8,171,138,140,96,20,8,15,15,10,72,16,21,18,30,78,30,95,80,59,388,288,135,43,0,Uttar Pradesh-Budhana,Budhana
8,Saleem,Aazad Samaj Party (Kanshi Ram),114,50,273,25,48,169,148,19,28,47,62,46,107,56,98,42,44,60,48,50,25,87,24,38,155,36,44,83,70,0,Uttar Pradesh-Budhana,Budhana
9,Anu Kumar,Independent,21,21,65,50,14,21,49,28,20,34,13,19,32,29,22,29,32,25,28,20,20,18,29,25,25,42,36,18,23,1,Uttar Pradesh-Budhana,Budhana
10,Arvind Kumar,Independent,10,23,5,12,10,8,12,8,13,12,12,8,14,10,6,15,16,9,6,7,8,6,19,17,9,8,13,11,14,0,Uttar Pradesh-Budhana,Budhana
11,Rajendra Kumar,Independent,19,22,12,18,42,29,15,15,13,16,24,15,58,31,23,29,43,30,23,18,19,14,15,25,26,7,17,22,40,1,Uttar Pradesh-Budhana,Budhana
12,NOTA,None of the Above,20,66,47,50,28,25,36,25,30,50,28,14,51,36,33,32,45,39,34,34,20,25,34,36,39,47,52,31,58,2,Uttar Pradesh-Budhana,Budhana
