O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Pradeep Kumar Chaudhary,Bharatiya Janata Party,2222,3412,3664,3479,3016,4280,4014,3409,2990,3148,2740,4459,4596,3527,5860,6587,4887,4189,1895,91,3878,5642,5989,6188,2964,5696,2796,3569,5267,2592,4398,2359,1784,408,Uttar Pradesh-Bulandshahr,Bulandshahr
2,Mohd. Mobin Kallu Qureshi,Bahujan Samaj Party,1169,883,1007,826,700,786,1305,1114,1271,882,1114,511,1136,1081,189,210,165,159,160,57,124,661,145,247,422,199,864,1419,1406,726,1187,945,933,144,Uttar Pradesh-Bulandshahr,Bulandshahr
3,Mohammad Yunus,Rashtriya Lok Dal,2994,2973,2566,2062,3504,1623,3421,2958,4383,4037,5080,4079,1726,3236,1243,682,1057,2383,5610,8185,3776,1186,1046,1552,5142,1807,2125,2789,1575,5189,3003,4607,2624,426,Uttar Pradesh-Bulandshahr,Bulandshahr
4,Sushil Chaudhry,Indian National Congress,55,137,76,119,51,58,102,52,79,98,90,72,59,92,95,78,117,94,97,113,97,107,158,77,54,43,59,57,72,59,75,66,63,12,Uttar Pradesh-Bulandshahr,Bulandshahr
5,Tariq Khan,All India Minorities Front,5,2,8,5,5,5,12,5,8,5,14,10,9,6,3,7,6,5,5,9,9,3,1,5,8,4,4,7,9,10,6,15,5,2,Uttar Pradesh-Bulandshahr,Bulandshahr
6,Madhu Bhati,Peace Party,3,6,5,8,3,3,10,6,4,8,10,7,3,6,2,8,10,5,3,4,5,6,11,4,3,5,6,7,7,2,6,3,7,0,Uttar Pradesh-Bulandshahr,Bulandshahr
7,Vikas Sharma,Aam Aadmi Party,8,7,6,6,7,15,23,31,25,20,27,20,39,77,112,113,85,58,43,22,74,148,113,74,33,21,14,22,73,28,35,15,8,6,Uttar Pradesh-Bulandshahr,Bulandshahr
8,Gita Rani Sharma,Independent,4,15,5,8,5,15,8,6,8,5,9,3,5,4,6,5,0,4,5,4,5,6,2,7,7,6,14,8,11,6,10,5,7,0,Uttar Pradesh-Bulandshahr,Bulandshahr
9,Mukesh Bhardwaj,Independent,6,6,5,6,5,3,8,2,9,4,12,6,6,4,1,6,1,4,5,5,3,1,2,2,4,5,6,5,7,4,6,6,10,1,Uttar Pradesh-Bulandshahr,Bulandshahr
10,Satish,Independent,18,17,17,21,24,14,24,12,19,13,20,20,9,5,4,5,4,12,13,20,9,1,1,9,27,18,21,27,21,42,9,30,24,2,Uttar Pradesh-Bulandshahr,Bulandshahr
11,Sonali Singh,Independent,14,12,22,9,14,15,22,13,15,20,24,16,13,8,2,9,2,4,4,7,4,4,7,4,11,8,14,18,12,13,16,11,11,0,Uttar Pradesh-Bulandshahr,Bulandshahr
12,NOTA,None of the Above,29,37,50,28,46,33,38,30,48,39,46,44,31,25,22,45,17,34,24,10,27,27,38,46,28,23,22,32,28,17,35,22,35,9,Uttar Pradesh-Bulandshahr,Bulandshahr
