O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Atul Kumar Dwivedi,Bahujan Samaj Party,450,267,771,715,770,959,971,903,958,1166,1187,1406,814,956,1652,1277,1342,1154,1093,1292,1354,1269,359,1157,964,936,1522,1048,1312,1259,Uttar Pradesh-Chail,Chail
2,Talat Azim,Indian National Congress,162,162,90,50,104,199,88,93,102,106,61,89,90,149,773,90,148,190,73,152,62,60,145,127,136,88,85,58,164,144,Uttar Pradesh-Chail,Chail
3,Pooja Pal,Samajwadi Party,2816,2545,2829,2829,3682,2891,3387,3725,3386,3070,2913,3080,3405,2580,2449,2824,3495,3130,3290,2823,3036,2180,2376,2973,2909,2663,2555,2776,2976,2598,Uttar Pradesh-Chail,Chail
4,Anil Kumar Kesharwani,Jansatta Dal Loktantrik,362,579,75,90,184,73,50,66,45,74,224,154,196,55,58,40,80,51,105,132,235,233,950,140,138,170,250,82,114,69,Uttar Pradesh-Chail,Chail
5,Danish Ali,Bahujan Mukti Party,25,41,107,47,48,55,64,64,58,66,80,73,92,102,108,64,58,61,52,139,105,96,45,174,81,59,152,88,457,115,Uttar Pradesh-Chail,Chail
6,Nagendra Pratap Singh Patel,Apna Dal (Soneylal),1857,2929,3597,2391,2678,2550,2598,2081,2147,2128,1806,2306,3662,3184,2710,3789,2315,2092,2438,2503,2228,2838,3061,1703,2263,2279,2274,2552,1953,2560,Uttar Pradesh-Chail,Chail
7,Mohibbul Haque,All India Majlis-E-Ittehadul Muslimeen,337,59,138,304,233,153,329,279,90,88,138,29,56,49,53,87,21,30,20,96,50,28,82,83,130,38,32,36,56,77,Uttar Pradesh-Chail,Chail
8,Rajeev Kumar,Lok Janshakti Party(Ram Vilas),13,14,55,23,20,24,17,19,29,28,28,17,17,24,29,24,26,20,9,21,13,15,11,21,25,13,25,28,15,25,Uttar Pradesh-Chail,Chail
9,Rajendra Kumar Singh Patel,Aazad Samaj Party (Kanshi Ram),56,40,89,77,53,97,85,56,68,60,70,52,52,88,62,98,44,45,52,70,25,44,59,68,151,61,46,47,54,90,Uttar Pradesh-Chail,Chail
10,Shashibhushan,Akhil Bharatiya Socialist Party,23,23,21,46,30,39,53,43,48,45,35,20,30,60,44,29,36,44,36,28,61,31,26,48,50,61,43,44,11,53,Uttar Pradesh-Chail,Chail
11,Archana Gautam,Independent,37,33,57,60,55,40,50,47,49,58,50,39,28,43,48,52,29,37,37,30,28,29,40,27,52,40,44,27,33,40,Uttar Pradesh-Chail,Chail
12,Amrawati,Independent,83,110,122,133,70,134,119,78,100,100,96,78,90,128,104,117,61,58,76,97,66,84,87,79,119,80,79,100,104,116,Uttar Pradesh-Chail,Chail
13,Vijay Kumar Ramdas Ravidas,Independent,37,25,29,41,26,49,43,29,33,52,48,49,31,39,48,38,26,33,32,34,28,20,41,33,55,45,51,34,73,67,Uttar Pradesh-Chail,Chail
14,Sushil Chauhan,Independent,24,25,42,51,46,50,78,50,47,48,43,55,46,35,54,51,43,30,60,41,63,36,19,52,61,38,35,41,53,91,Uttar Pradesh-Chail,Chail
15,Sanjay Singh,Independent,12,18,29,18,12,22,27,23,20,25,27,27,14,26,21,21,28,18,17,17,17,16,11,16,28,26,23,11,18,18,Uttar Pradesh-Chail,Chail
16,NOTA,None of the Above,40,60,58,66,57,84,57,66,73,80,78,78,50,58,89,58,75,65,55,62,66,63,49,73,94,45,72,69,42,75,Uttar Pradesh-Chail,Chail
