O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,KAILASH,Bharatiya Janata Party,2842,2728,2364,3563,3239,2341,2582,3452,3114,3156,3033,2623,2561,3607,3225,2594,3845,2750,3089,2246,3257,3468,3050,2373,3257,2166,2678,1286,2715,1580,2265,1668,2222,2992,2464,544,329,332,Uttar Pradesh-Chakia,Chakia 
2,JAINATH,Communist Party of India (Marxist),38,44,41,40,42,41,84,37,42,57,90,61,46,42,79,54,109,49,36,280,44,28,51,95,93,61,65,96,52,62,102,89,66,90,70,19,2,8,Uttar Pradesh-Chakia,Chakia 
3,JITENDRA KUMAR,Samajwadi Party,2458,2492,2673,1901,1903,2339,2639,1798,1089,2694,2542,2347,3016,2168,2107,2452,2042,1668,3350,3098,2509,1306,1970,2237,2816,3453,2826,3605,2387,3397,2608,3234,2495,2456,2895,746,48,247,Uttar Pradesh-Chakia,Chakia 
4,RAM SUMER RAM,Indian National Congress,89,136,54,58,45,49,56,53,43,39,47,56,58,63,60,61,41,42,50,55,39,28,37,29,52,68,70,64,71,62,87,59,69,86,53,14,0,3,Uttar Pradesh-Chakia,Chakia 
5,VIKAS AZAD,Bahujan Samaj Party,2223,1730,1162,1723,2086,1515,1465,829,1938,1250,1122,1043,1021,779,1300,1895,1396,1289,850,491,1073,294,995,1318,1207,1414,1500,1390,370,1051,1281,1395,592,1063,1621,701,66,25,Uttar Pradesh-Chakia,Chakia 
6,ANIL,Communist Party of India (Marxist-Leninist) (Liberation),20,21,15,44,53,31,44,14,42,24,47,39,35,38,71,39,48,20,18,24,24,15,20,28,50,30,37,33,14,54,55,21,31,34,35,9,0,2,Uttar Pradesh-Chakia,Chakia 
7,RAMKISHUN,Sarvjan Sanatan Party,23,21,5,16,19,21,18,15,20,6,15,17,6,21,23,28,11,21,19,24,14,8,16,21,19,33,21,19,18,28,27,15,21,25,26,10,1,1,Uttar Pradesh-Chakia,Chakia 
8,SUBASH SONAKAR,Jan Adhikar Party,129,77,114,168,308,231,143,107,46,248,192,125,157,120,168,178,82,140,184,446,250,182,253,75,117,55,186,26,14,34,138,52,35,109,205,10,0,36,Uttar Pradesh-Chakia,Chakia 
9,KAMALA SHANKR,Independent,16,16,12,22,20,25,21,16,16,27,18,25,22,31,26,17,24,21,16,32,28,10,13,41,33,39,30,32,35,23,41,51,29,17,29,12,0,2,Uttar Pradesh-Chakia,Chakia 
10,RAMAVADH KHARWAR,Independent,19,12,20,20,20,21,20,9,24,22,21,27,12,21,18,19,24,14,24,25,24,29,13,28,12,34,50,23,117,55,41,138,27,20,19,3,1,10,Uttar Pradesh-Chakia,Chakia 
11,NOTA,None of the Above,59,55,51,73,80,56,68,70,76,61,75,77,50,91,68,72,64,59,64,68,48,37,48,60,88,75,96,78,69,70,121,93,112,67,75,28,1,7,Uttar Pradesh-Chakia,Chakia 
