O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Abdul Mustafa Husain,Bahujan Samaj Party,534,303,155,104,232,80,55,542,154,530,586,707,495,184,331,870,678,222,148,332,101,224,501,1044,444,672,70,Uttar Pradesh-Chamraua,Chamraua
2,Ali Yusuf Ali,Indian National Congress,1039,1234,817,624,770,483,586,610,980,718,1254,866,726,463,588,190,325,1011,740,808,456,223,358,264,768,565,722,Uttar Pradesh-Chamraua,Chamraua
3,Naseer Ahmad Khan,Samajwadi Party,3350,1710,3573,4089,3831,1525,4059,3126,4721,3967,4114,3628,3886,4047,3379,3554,4656,3614,4709,4668,4715,3436,4469,3140,3567,3572,3468,Uttar Pradesh-Chamraua,Chamraua
4,Mohan Kumar Lodhi,Bharatiya Janata Party,1204,3033,2371,1325,2549,5378,2470,2833,870,2021,2832,2840,2948,3040,3213,2987,1759,3379,2070,1963,673,2519,2394,2821,2939,2633,1464,Uttar Pradesh-Chamraua,Chamraua
5,Jitender Kumar,Sabka Dal United,12,16,18,10,33,48,22,43,7,17,24,27,20,34,27,39,19,28,15,41,10,19,41,33,32,26,16,Uttar Pradesh-Chamraua,Chamraua
6,Zubair,Jagrook Janta Party,7,4,4,2,1,10,5,9,7,4,9,16,5,16,12,7,2,14,8,7,4,11,3,9,6,10,4,Uttar Pradesh-Chamraua,Chamraua
7,Zulfiqar Ali Turk,Aam Aadmi Party,8,14,16,16,7,10,7,15,14,7,11,12,17,30,16,62,19,30,13,22,9,15,6,8,14,16,5,Uttar Pradesh-Chamraua,Chamraua
8,Akhilesh Kumar,Independent,9,15,5,6,5,17,9,13,3,6,14,9,10,23,17,12,7,8,9,7,5,7,11,14,11,15,4,Uttar Pradesh-Chamraua,Chamraua
9,Kripal Singh,Independent,10,13,9,5,12,20,14,18,12,3,14,13,12,23,11,18,9,15,4,11,8,13,15,15,5,19,9,Uttar Pradesh-Chamraua,Chamraua
10,Faheem Ahmed,Independent,43,23,32,34,34,20,37,39,42,18,41,50,29,43,21,28,39,42,41,31,35,23,45,36,20,32,15,Uttar Pradesh-Chamraua,Chamraua
11,Rajpal,Independent,20,22,13,6,21,34,15,20,13,19,24,30,30,27,20,27,17,24,19,20,15,22,24,34,29,26,15,Uttar Pradesh-Chamraua,Chamraua
12,NOTA,None of the Above,21,25,30,35,31,36,29,36,18,28,32,40,29,55,38,54,46,40,35,38,41,39,39,38,38,58,32,Uttar Pradesh-Chamraua,Chamraua
