O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,NIRDOSH KUMAR DIXIT,Indian National Congress,259,232,228,131,245,252,180,146,427,645,203,212,247,221,282,362,292,158,284,180,117,208,192,99,244,224,182,156,210,136,180,22,Uttar Pradesh-Charkhari,Charkhari
2,BRIJBHUSHAN RAJPUT,Bharatiya Janata Party,3633,3849,2981,2655,3877,3476,2992,3185,2586,3676,3029,2402,2694,3534,3286,2848,3382,3168,3671,3353,2749,4508,3157,2454,3957,3520,2600,3651,3957,3534,3094,276,Uttar Pradesh-Charkhari,Charkhari
3,RAMJEEVAN,Samajwadi Party,1896,1766,2154,1962,1727,1258,1215,2203,1439,1013,2168,1990,2852,1100,1281,1566,2499,1546,1135,1244,1539,2627,2904,3190,1733,1400,1775,1991,3123,3296,1873,179,Uttar Pradesh-Charkhari,Charkhari
4,VINOD KUMAR,Bahujan Samaj Party,1293,935,1785,1229,1513,1426,1215,895,1352,1563,1432,1100,1035,1504,1711,1598,1377,1689,1750,1398,1475,496,723,1097,2106,1901,991,1119,944,1049,1160,113,Uttar Pradesh-Charkhari,Charkhari
5,KUNVARLAL,Right to Recall Party,37,23,50,33,38,42,36,29,31,33,35,35,28,35,36,31,20,28,37,33,56,25,25,23,45,47,24,50,26,19,44,3,Uttar Pradesh-Charkhari,Charkhari
6,PREMNARAYAN,Aam Aadmi Party,15,37,34,18,26,26,17,25,16,25,16,19,30,28,31,21,16,17,34,21,21,28,31,22,485,62,20,39,17,26,21,1,Uttar Pradesh-Charkhari,Charkhari
7,SANTOSH SINGH,Jan Adhikar Party,220,120,118,139,115,269,284,516,213,141,45,108,61,186,64,78,111,193,92,122,243,173,255,327,63,90,155,124,154,83,186,13,Uttar Pradesh-Charkhari,Charkhari
8,ANIL KUMAR SINGH GOUR,Independent,57,49,67,59,83,68,69,104,69,84,57,57,60,68,71,44,27,58,55,65,62,51,79,77,81,95,33,50,51,48,77,1,Uttar Pradesh-Charkhari,Charkhari
9,BHUVANENDRA NARAYAN SINGH,Independent,28,26,27,23,50,19,28,33,31,36,26,25,32,31,43,24,18,28,30,33,27,23,28,31,61,45,26,38,21,36,41,5,Uttar Pradesh-Charkhari,Charkhari
10,NOTA,None of the Above,50,69,75,52,88,74,62,88,61,104,90,56,79,107,75,54,44,70,77,62,72,69,61,50,104,95,49,70,62,88,80,16,Uttar Pradesh-Charkhari,Charkhari
