O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,Ajay Kumar,Rashtriya Lok Dal,4609,4031,4720,4697,3899,4524,3863,4198,3599,6463,3776,4205,4037,4675,4865,3783,3492,5300,4309,4667,4102,4350,4335,3723,2238,2317,1619,544,Uttar Pradesh-Chhaprauli,Chhaprauli
2,Mohd. Yunus,Indian National Congress,63,36,47,39,60,42,35,36,45,158,42,40,41,34,41,36,36,55,23,71,29,41,41,31,43,44,9,4,Uttar Pradesh-Chhaprauli,Chhaprauli
3,Sahender Singh Ramala,Bharatiya Janata Party,3349,2718,3054,3381,2763,3084,2389,3289,3621,704,3440,2818,2719,2847,3401,3900,3251,2945,2112,2980,3593,2835,3089,2654,4697,4937,777,10,Uttar Pradesh-Chhaprauli,Chhaprauli
4,Sahik,Bahujan Samaj Party,108,181,453,193,185,270,399,136,322,218,242,762,214,374,355,379,538,485,596,109,332,575,587,774,418,397,135,3,Uttar Pradesh-Chhaprauli,Chhaprauli
5,Anees,All India Majlis-E-Ittehadul Muslimeen,95,99,36,17,22,27,29,45,16,121,23,25,14,23,157,21,12,122,43,51,77,26,54,157,21,11,1,7,Uttar Pradesh-Chhaprauli,Chhaprauli
6,Kaptan,Akhil Bhartiya Lok Dal,9,4,16,8,4,4,7,4,4,4,11,5,10,3,7,5,6,16,3,28,23,12,7,24,2,5,2,0,Uttar Pradesh-Chhaprauli,Chhaprauli
7,Chandrapal,Indian Nationalist Alliance Party (India),11,4,8,7,5,8,7,13,10,11,12,9,14,12,26,11,8,15,8,8,5,11,10,9,5,10,1,0,Uttar Pradesh-Chhaprauli,Chhaprauli
8,Naresh,Bhartiya Tarak Samaj Party,8,8,10,13,7,8,7,4,7,6,12,22,11,12,3,17,14,16,5,4,13,7,10,14,14,12,3,0,Uttar Pradesh-Chhaprauli,Chhaprauli
9,Dr. Rajendra Khokhar,Aam Aadmi Party,30,16,24,63,21,12,24,11,15,16,15,18,11,18,9,15,14,16,10,21,12,14,16,22,22,26,5,0,Uttar Pradesh-Chhaprauli,Chhaprauli
10,Satveer Kashyap,Vikassheel Insaan Party,23,61,58,58,30,15,32,16,17,7,44,40,48,27,25,33,35,25,10,14,28,25,12,17,16,40,2,0,Uttar Pradesh-Chhaprauli,Chhaprauli
11,Ajay Kumar,Independent,26,14,20,16,13,16,12,15,13,17,14,14,7,9,15,11,10,20,11,14,9,12,9,12,12,21,3,1,Uttar Pradesh-Chhaprauli,Chhaprauli
12,NOTA,None of the Above,28,40,47,29,27,38,47,30,22,29,40,31,23,33,48,32,40,45,30,30,32,31,33,37,21,32,7,1,Uttar Pradesh-Chhaprauli,Chhaprauli
