O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,KULBHANU KUMAR,Communist Party of India,52,53,48,29,32,29,32,40,27,14,32,48,33,59,39,41,35,30,52,43,55,43,60,56,45,64,56,46,27,2,Uttar Pradesh-Chhata,Chhata
2,TEJPAL SINGH,Rashtriya Lok Dal,3127,2631,3646,2077,2541,2221,3817,3112,1610,1563,2701,3603,2278,3017,2255,2132,2697,2293,1821,3681,2516,2970,1930,1959,2735,3131,2388,2412,2308,52,Uttar Pradesh-Chhata,Chhata
3,POONAM DEVI,Indian National Congress,65,47,55,36,50,56,49,46,44,26,69,51,42,33,41,31,39,56,35,35,56,54,76,65,99,56,70,52,40,0,Uttar Pradesh-Chhata,Chhata
4,LAXMI NARAYAN,Bharatiya Janata Party,2753,3886,3672,4228,4818,5720,3962,5538,6516,5897,5330,4006,3932,3463,5244,4614,4250,3690,3896,3453,4174,3073,4801,5010,3629,3783,4131,2966,3435,106,Uttar Pradesh-Chhata,Chhata
5,SONPAL,Bahujan Samaj Party,716,755,881,1740,523,376,597,496,551,335,724,848,1087,1477,864,1132,796,1428,773,886,1096,816,1730,1609,955,1964,1075,1837,1792,272,Uttar Pradesh-Chhata,Chhata
6,PRAHALAD SINGH CHAUDHRY,Aam Aadmi Party,6,16,22,50,19,29,15,101,26,11,17,26,10,20,21,15,30,18,6,10,15,8,13,21,8,18,31,13,16,2,Uttar Pradesh-Chhata,Chhata
7,SUBRATI KHAN,Aazad Samaj Party (Kanshi Ram),17,13,14,21,7,3,10,15,14,4,14,19,15,17,9,8,17,58,20,11,23,14,20,17,7,37,9,12,9,0,Uttar Pradesh-Chhata,Chhata
8,ATUL,Independent,5,8,7,3,5,4,0,4,5,5,3,4,4,9,5,9,7,6,3,8,7,6,8,9,7,16,7,11,9,0,Uttar Pradesh-Chhata,Chhata
9,KARAN SINGH,Independent,14,8,11,9,4,6,21,9,5,6,20,9,16,12,11,13,22,13,6,16,9,8,23,12,10,26,17,18,15,0,Uttar Pradesh-Chhata,Chhata
10,TEJ SINGH,Independent,21,30,16,16,10,14,19,24,22,31,18,17,17,26,20,16,32,15,32,23,25,36,37,25,19,30,32,15,25,0,Uttar Pradesh-Chhata,Chhata
11,RAJIV SHARMA,Independent,19,22,21,11,71,16,16,13,12,3,11,14,12,13,13,9,17,23,24,19,18,10,10,13,19,10,23,14,16,1,Uttar Pradesh-Chhata,Chhata
12,LAKSHMINARAYAN,Independent,126,75,109,39,47,46,84,59,33,21,40,59,60,78,44,58,55,64,67,91,66,85,65,58,50,88,69,59,59,4,Uttar Pradesh-Chhata,Chhata
13,NOTA,None of the Above,53,37,42,26,31,41,31,21,25,17,33,25,27,41,42,18,33,24,41,25,37,38,44,34,46,36,47,30,30,0,Uttar Pradesh-Chhata,Chhata
