O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,state_city,constituency_from_link
1,Archana Pandey,Bharatiya Janata Party,3033,3392,2433,2179,3527,4036,2949,3842,3208,3160,2747,3764,3414,3657,1792,3526,3781,3417,3336,3733,3662,3317,2958,2964,3524,3977,3039,3610,3980,3849,1252,373,3084,618,906,2752,2248,3593,3145,3122,3372,76,Uttar Pradesh-Chhibramau,Chhibramau
2,Arvind Singh Yadav,Samajwadi Party,3498,3223,3430,4554,2503,1993,1851,3063,3200,3012,3219,2624,2794,1675,3937,2125,2849,2197,2492,2361,2901,2888,4235,3610,2374,1934,3663,2356,2659,2227,4173,3505,2188,4237,5244,2465,3314,2182,2803,3614,2755,886,Uttar Pradesh-Chhibramau,Chhibramau
3,Waheeda Bano urf Juhi Sultan,Bahujan Samaj Party,137,412,924,141,211,247,630,365,258,447,888,81,155,114,458,486,645,370,765,335,472,501,306,389,700,567,373,200,226,786,1677,3105,771,451,418,810,83,208,450,472,579,319,Uttar Pradesh-Chhibramau,Chhibramau
4,Vijay Kumar,Indian National Congress,17,11,31,7,21,23,28,32,24,23,18,21,27,57,20,14,41,79,41,35,23,19,15,20,28,34,38,27,23,44,21,44,38,20,14,70,15,28,11,29,43,3,Uttar Pradesh-Chhibramau,Chhibramau
5,Arjuman,Bahujan Mukti Party,4,4,2,7,2,10,2,9,8,3,4,4,1,4,5,3,4,8,5,3,7,2,3,3,8,2,2,4,7,12,8,4,2,1,2,3,4,1,7,7,6,1,Uttar Pradesh-Chhibramau,Chhibramau
6,Ankit Kumar Pal,Rashtriya Samaj Paksha,5,3,7,5,2,9,7,9,12,4,4,1,4,5,1,5,5,31,10,7,4,6,3,11,12,7,3,4,3,4,6,6,3,3,3,3,1,3,3,4,7,0,Uttar Pradesh-Chhibramau,Chhibramau
7,Mohd Chandan,Jan Adhikar Party,21,90,264,67,90,33,254,217,785,27,11,69,15,57,159,52,269,203,219,176,231,138,66,27,18,20,57,48,6,40,22,103,20,121,243,104,45,9,14,7,126,22,Uttar Pradesh-Chhibramau,Chhibramau
8,Dr Chandra Kant Yadav,Aam Aadmi Party,3,10,5,18,1,4,11,3,13,5,4,7,7,6,2,9,7,6,21,14,9,4,5,3,11,5,2,4,1,4,2,1,2,1,0,3,2,2,166,64,13,0,Uttar Pradesh-Chhibramau,Chhibramau
9,Laloo Yadav,Voters Party International,1,2,10,5,5,4,6,7,7,2,10,6,9,4,2,4,12,7,7,5,5,3,3,2,6,3,1,3,1,6,5,1,3,2,1,4,2,1,6,5,3,0,Uttar Pradesh-Chhibramau,Chhibramau
10,Amol Dixit,Independent,8,4,8,4,4,5,7,5,6,4,10,30,16,5,3,5,12,10,9,4,6,1,2,5,5,7,2,4,0,3,5,1,4,1,0,4,2,3,2,9,5,0,Uttar Pradesh-Chhibramau,Chhibramau
11,Imran Vegam,Independent,4,10,7,5,2,7,10,6,8,6,17,5,4,0,5,8,8,5,17,10,11,8,7,8,10,8,8,5,4,13,16,10,9,4,4,7,2,2,6,11,10,1,Uttar Pradesh-Chhibramau,Chhibramau
12,Mohd. Kamar,Independent,3,4,5,6,1,6,6,4,5,2,9,1,2,1,4,6,10,6,4,4,10,5,1,1,6,5,5,12,4,0,7,11,5,3,4,5,1,3,4,4,11,0,Uttar Pradesh-Chhibramau,Chhibramau
13,Nurul Shams,Independent,8,12,14,13,6,14,23,14,13,4,18,7,4,4,15,12,19,16,17,13,17,6,12,13,18,21,5,9,12,11,23,40,12,5,16,17,5,4,4,18,7,4,Uttar Pradesh-Chhibramau,Chhibramau
14,Sanjay,Independent,41,54,39,37,17,37,34,30,43,38,21,25,22,15,21,38,52,33,32,29,25,26,28,45,39,36,28,46,24,34,36,31,29,20,34,28,19,19,21,17,35,4,Uttar Pradesh-Chhibramau,Chhibramau
15,NOTA,None of the Above,45,53,48,43,41,62,63,60,72,28,37,52,29,26,35,34,64,52,52,47,47,38,46,65,36,46,37,42,54,32,34,15,35,27,42,36,39,37,38,37,43,6,Uttar Pradesh-Chhibramau,Chhibramau
