O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,R-43,state_city,constituency_from_link
1,RAJENDRA SEHI,Bahujan Samaj Party,1130,1444,1618,1363,1840,1464,898,1619,1280,1407,1228,1351,1128,1683,1115,1431,1321,1624,1146,621,1010,654,797,617,707,1818,1484,842,1445,1393,1103,1353,725,1524,241,636,443,619,607,508,69,87,134,Uttar Pradesh-Chillupar,Chillupar
2,RAJESH TRIPATHI,Bharatiya Janata Party,3006,1763,2233,3097,2356,1427,1927,2029,1812,2808,1869,2459,2357,3212,3099,2919,2638,2704,2921,2212,2420,2235,2860,2465,2015,2165,2863,2190,2611,2117,1908,2409,2323,2709,4056,3182,1063,2965,1110,728,763,137,200,Uttar Pradesh-Chillupar,Chillupar
3,VINAY SHANKAR,Samajwadi Party,983,2083,1938,1168,1493,2340,2371,1488,1121,1946,2056,1609,2361,1528,2015,1715,1849,1759,2423,1807,1936,2186,2119,2334,1972,2115,1652,2645,1369,2412,1828,1757,1502,2580,2930,2093,1356,1944,647,442,199,345,84,Uttar Pradesh-Chillupar,Chillupar
4,SONIYA SHUKLA,Indian National Congress,16,25,26,43,28,33,44,22,27,33,37,29,46,46,44,51,61,21,34,27,48,36,24,33,29,38,40,47,26,48,18,38,37,38,50,23,18,47,17,7,4,10,4,Uttar Pradesh-Chillupar,Chillupar
5,CHINTAMANI PANDEY,Bharatiya Apna Samaj Party,10,10,7,12,14,7,9,28,8,9,9,20,7,21,17,9,10,10,13,5,9,6,14,14,15,15,12,18,12,23,10,14,6,3,10,13,10,10,5,7,1,5,2,Uttar Pradesh-Chillupar,Chillupar
6,POONAM GUPTA,Aazad Samaj Party (Kanshi Ram),66,24,95,42,53,92,54,52,57,114,81,83,74,51,39,44,150,63,80,40,122,63,32,76,69,185,124,126,143,194,62,51,45,62,69,113,57,73,14,18,8,9,18,Uttar Pradesh-Chillupar,Chillupar
7,RAVINDRA,Jan Adhikar Party,9,13,72,5,60,94,169,78,25,32,15,15,45,354,50,19,47,20,20,25,35,15,69,21,17,34,13,26,24,49,9,13,31,17,18,15,13,35,17,3,3,18,2,Uttar Pradesh-Chillupar,Chillupar
8,SUBHASH CHANDRA DUBEY,Rashtriya Jantantrik Bharat Vikas Party,9,18,20,21,23,15,18,11,21,27,17,10,16,24,14,13,12,13,26,23,20,27,23,30,19,34,15,28,24,27,20,20,18,26,31,12,16,20,8,5,2,8,3,Uttar Pradesh-Chillupar,Chillupar
9,SURAJ KUMAR,Aam Aadmi Party,10,20,11,15,11,14,18,21,38,27,23,17,17,28,23,16,15,23,19,18,20,19,23,29,32,25,24,23,15,23,23,19,16,21,16,20,9,35,8,3,3,4,5,Uttar Pradesh-Chillupar,Chillupar
10,NOTA,None of the Above,43,53,49,65,69,27,42,57,22,61,33,51,51,80,77,63,56,67,51,29,61,35,36,60,50,66,34,48,73,40,49,62,29,55,34,46,34,41,21,15,2,9,5,Uttar Pradesh-Chillupar,Chillupar
