O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,ANIL KUMAR ANIL PRADHAN,Samajwadi Party,2518,2203,2618,2701,2128,1930,2062,3049,3204,3562,2949,2717,3048,3489,3546,2924,4044,3646,4755,4006,4257,3792,3189,5082,3794,3821,4137,3708,2478,2914,2218,2860,329,209,Uttar Pradesh-Chitrakoot,Chitrakoot
2,AMIT YADAV,Communist Party of India,98,97,81,90,85,84,45,54,59,92,54,59,55,49,72,58,60,90,114,63,81,66,77,58,72,47,65,75,38,33,20,46,8,2,Uttar Pradesh-Chitrakoot,Chitrakoot
3,CHANDRIKA PRASAD UPADHYAY,Bharatiya Janata Party,3277,3192,2769,2441,3202,3323,2146,2351,1805,2284,2131,1955,1792,1527,2538,2222,1849,2070,1856,2209,1663,2078,2815,1671,2517,2247,2684,4024,4922,4291,3410,3871,227,234,Uttar Pradesh-Chitrakoot,Chitrakoot
4,NIRMALA,Indian National Congress,97,73,75,76,117,58,66,86,45,72,55,51,72,43,53,76,74,66,58,88,47,38,56,48,61,37,57,112,91,79,46,68,3,1,Uttar Pradesh-Chitrakoot,Chitrakoot
5,PUSHPENDRA SINGH,Bahujan Samaj Party,1215,1213,1865,1738,1191,953,1311,1927,1262,994,1660,1733,2208,1698,1765,1778,1557,1229,1044,1209,1121,861,1374,860,1175,794,529,756,218,278,332,657,14,44,Uttar Pradesh-Chitrakoot,Chitrakoot
6,AVINASH CHANDRA TRIPATHI,Jan Adhikar Party,28,35,35,80,27,29,22,78,170,30,36,34,40,49,75,55,21,60,230,194,389,36,68,39,53,84,192,78,46,50,12,26,7,0,Uttar Pradesh-Chitrakoot,Chitrakoot
7,RAMBHAROSA,Bundelkhand Kranti Dal,78,84,147,41,31,33,85,69,57,83,45,31,104,32,60,104,56,108,94,50,73,43,30,21,35,28,26,26,15,10,13,22,9,3,Uttar Pradesh-Chitrakoot,Chitrakoot
8,SHIVSHARAN,Ambedkar Samaj Party,33,40,25,15,19,30,23,18,20,41,27,20,18,13,16,20,22,19,19,15,14,9,22,17,18,18,26,24,9,14,8,21,2,0,Uttar Pradesh-Chitrakoot,Chitrakoot
9,SANTOSHILAL alias PINTU,Aam Aadmi Party,39,32,40,26,35,45,30,24,39,46,36,15,44,22,24,31,23,34,37,29,27,26,52,26,36,41,27,32,33,33,22,65,1,5,Uttar Pradesh-Chitrakoot,Chitrakoot
10,HRIDAYESH KUMAR VERMA,Independent,66,59,46,70,54,54,50,49,50,64,70,49,50,55,56,50,39,67,41,36,45,30,55,35,33,35,43,41,19,22,9,43,2,1,Uttar Pradesh-Chitrakoot,Chitrakoot
11,NOTA,None of the Above,93,122,107,115,119,111,87,103,98,179,98,70,104,83,107,63,92,119,155,84,113,108,143,129,99,91,116,125,66,54,37,85,8,3,Uttar Pradesh-Chitrakoot,Chitrakoot
