O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,ANURAG SINGH,Bharatiya Janata Party,3186,3220,3721,3363,3320,3972,3340,3571,2800,3403,3454,3160,3931,3574,3428,3948,2535,3016,4558,2939,3933,2683,4467,4094,4017,4184,3778,3696,3859,3599,3378,581,Uttar Pradesh-Chunar,Chunar
2,VIJAY KUMAR ALIAS A.V.BHAIYA,Bahujan Samaj Party,1394,1185,893,715,1990,1293,1248,587,361,1205,1013,1355,879,876,1166,1169,1555,586,980,1065,900,881,897,811,757,394,641,376,431,534,1138,28,Uttar Pradesh-Chunar,Chunar
3,SEEMA DEVI,Indian National Congress,69,113,125,106,99,101,80,112,130,113,84,74,105,85,114,101,111,94,121,64,86,85,89,151,206,222,301,186,131,601,77,14,Uttar Pradesh-Chunar,Chunar
4,ANWAR ALI,Jan Adhikar Party,18,19,15,15,20,48,74,42,27,31,23,11,30,74,23,139,39,29,22,63,55,53,32,35,27,37,46,64,93,63,62,6,Uttar Pradesh-Chunar,Chunar
5,AMIT KUMAR SINGH,Vikassheel Insaan Party,101,22,95,39,132,70,87,39,70,88,464,96,57,79,53,108,62,72,31,16,27,274,98,45,72,50,66,192,50,49,70,4,Uttar Pradesh-Chunar,Chunar
6,RAMASHANKAR PRASAD SINGH,Apna Dal (Kamerawadi),2058,1598,1772,1376,1789,1514,2820,1855,1534,1827,1750,1473,2163,2193,2072,2236,2236,1816,2312,2710,1599,2172,2591,2429,2149,2304,1879,2171,1979,2191,1784,356,Uttar Pradesh-Chunar,Chunar
7,SATYENDER KUMAR ALIAS SATYENDER SINGH,Aam Aadmi Party,32,47,38,50,46,29,55,36,21,38,53,26,39,51,41,44,133,38,46,27,27,40,46,40,38,48,35,48,51,45,48,4,Uttar Pradesh-Chunar,Chunar
8,SADANAND ALIAS SATANAND VISHWAKARAMA,Moulik Adhikar Party,45,40,43,32,59,46,55,47,33,28,41,35,22,45,34,64,37,29,36,31,32,39,98,79,43,51,42,64,45,59,35,3,Uttar Pradesh-Chunar,Chunar
9,SANJAY ALIAS SANJAY SINGH PATEL,Janata Dal (United),22,24,34,24,32,27,28,22,10,25,15,21,20,23,21,20,19,16,22,15,24,17,38,88,27,33,20,26,23,38,29,1,Uttar Pradesh-Chunar,Chunar
10,DINESH ALIAS DINESH PRAKASH SINGH,Independent,39,30,38,45,47,44,45,49,28,39,31,36,45,48,42,58,62,35,35,30,23,40,40,36,39,46,42,45,64,55,48,4,Uttar Pradesh-Chunar,Chunar
11,NOTA,None of the Above,122,89,153,85,92,112,162,135,76,126,110,72,94,118,105,137,85,117,117,129,82,141,186,165,162,180,139,144,160,176,133,13,Uttar Pradesh-Chunar,Chunar
