O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,AJAY,Bharatiya Janata Party,3965,2727,3348,4499,3304,3291,2730,4124,3424,3772,3822,4220,4181,4125,4280,3800,3990,4192,3282,4695,4837,4338,4077,3656,3653,4018,3569,3532,435,Uttar Pradesh-Colonelganj,Colonelganj
2,TRILOKI NATH TIWARI,Indian National Congress,158,103,91,146,543,140,121,137,121,146,161,171,120,126,110,66,95,73,76,111,125,108,89,92,153,121,97,132,18,Uttar Pradesh-Colonelganj,Colonelganj
3,YOGESH PRATAP SINGH URF YOGESH BHAIYA,Samajwadi Party,2733,4750,4092,2536,2647,2854,3615,2582,3054,2944,3089,2448,2595,2463,1827,2429,2221,1811,2424,2069,1753,1928,1398,2359,2222,2064,1756,3312,276,Uttar Pradesh-Colonelganj,Colonelganj
4,Ranjeet,Bahujan Samaj Party,134,54,150,128,127,111,270,213,84,84,226,140,131,153,85,118,113,75,96,121,189,179,149,122,104,145,96,154,2,Uttar Pradesh-Colonelganj,Colonelganj
5,RAM KRIPAL,Jan Adhikar Party,17,3,7,13,26,16,28,19,10,22,17,17,17,24,18,16,14,14,8,21,13,15,14,12,17,13,9,23,1,Uttar Pradesh-Colonelganj,Colonelganj
6,VISHAL SINGH,Aam Aadmi Party,13,11,10,9,15,21,22,15,15,15,16,21,20,18,8,11,66,11,7,13,10,15,11,21,34,15,14,9,1,Uttar Pradesh-Colonelganj,Colonelganj
7,ARUN KUMAR SINGH,Independent,7,3,8,6,17,14,14,16,9,13,10,14,14,13,9,8,9,4,5,5,7,12,10,8,14,8,8,18,0,Uttar Pradesh-Colonelganj,Colonelganj
8,ASHOK SINGH,Independent,26,4,8,21,29,33,27,29,15,21,27,26,26,26,19,29,15,11,11,17,21,22,11,9,24,14,23,40,1,Uttar Pradesh-Colonelganj,Colonelganj
9,OM PRAKASH,Independent,29,10,13,19,25,49,28,22,32,30,32,23,32,24,20,17,30,12,19,20,19,21,15,24,29,22,19,43,0,Uttar Pradesh-Colonelganj,Colonelganj
10,NAND KUMAR URF MAGAN KUMAR SINGH,Independent,39,10,12,18,18,32,27,21,18,27,28,23,38,23,17,18,25,18,10,13,35,19,20,20,23,26,20,39,0,Uttar Pradesh-Colonelganj,Colonelganj
11,NOTA,None of the Above,90,40,57,91,93,134,93,99,100,85,104,91,105,96,60,64,98,73,58,62,87,91,80,70,87,73,79,137,2,Uttar Pradesh-Colonelganj,Colonelganj
