O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,Chandraketu Maurya,Bahujan Samaj Party,317,330,230,391,479,503,954,374,547,436,495,839,686,971,209,186,404,685,785,808,696,472,539,545,859,1132,1094,1511,1089,986,518,618,948,Uttar Pradesh-Dadraul,Dadraul
2,Tanveer Khan,Indian National Congress,25,25,34,48,33,26,45,32,35,26,31,25,61,30,26,37,37,30,43,25,24,44,42,29,44,40,59,67,56,29,57,233,38,Uttar Pradesh-Dadraul,Dadraul
3,MANVENDRA SINGH,Bharatiya Janata Party,2888,3731,4356,3988,3843,2976,3607,2676,3264,3607,2617,1969,3039,2560,1889,2858,2885,2114,3629,2436,2552,2746,3065,3248,3867,2840,2780,3011,2603,3794,2993,3719,2650,Uttar Pradesh-Dadraul,Dadraul
4,Rajesh Kumar Verma,Samajwadi Party,3274,2095,2332,3469,3418,2424,2655,2008,2209,2203,2192,2450,2166,3174,3921,3552,2890,3214,3025,1852,3019,3894,3143,2678,2438,1917,2551,3099,3647,2434,3167,2468,2008,Uttar Pradesh-Dadraul,Dadraul
5,Jitendra Pal Singh,Lok Janshakti Party(Ram Vilas),13,17,19,16,21,18,17,15,12,19,22,16,17,22,15,28,17,25,35,17,39,31,19,18,17,17,21,29,36,12,21,12,15,Uttar Pradesh-Dadraul,Dadraul
6,Nirmala Gupta,Shiv Sena,10,7,6,12,12,21,12,9,9,6,8,5,24,11,1,4,5,7,48,7,4,7,5,10,8,5,7,11,4,6,14,5,7,Uttar Pradesh-Dadraul,Dadraul
7,Pradeep Kumar Singh,Jan Adhikar Party,1,9,8,11,36,41,29,69,3,13,16,10,74,5,1,4,18,6,104,159,24,38,3,7,6,3,3,7,1,4,11,6,5,Uttar Pradesh-Dadraul,Dadraul
8,Pradeep Singh,Rashtriya Samaj Paksha,5,9,14,12,5,6,6,8,4,7,10,4,10,6,5,4,7,5,14,10,6,6,7,10,10,5,3,7,7,6,8,11,9,Uttar Pradesh-Dadraul,Dadraul
9,MUKESH,Rashtriya mahan Gantantra Party,7,118,6,11,6,4,5,9,4,5,5,13,7,8,2,6,11,5,19,6,11,22,10,3,9,3,16,4,7,8,4,8,11,Uttar Pradesh-Dadraul,Dadraul
10,Rajeev Singh,Aam Aadmi Party,18,4,19,24,8,11,31,264,56,19,24,27,12,7,6,3,8,2,13,10,5,12,11,10,20,11,17,13,8,7,6,19,9,Uttar Pradesh-Dadraul,Dadraul
11,Surpati,Voters Party International,21,14,22,27,23,19,12,15,21,12,18,15,84,15,8,11,17,15,55,14,25,78,13,10,23,98,19,19,19,12,9,9,8,Uttar Pradesh-Dadraul,Dadraul
12,Akhilesh Kumar,Independent,44,53,32,63,96,50,52,70,80,60,163,43,118,100,66,84,67,62,88,91,51,70,41,40,49,28,51,37,41,35,26,33,29,Uttar Pradesh-Dadraul,Dadraul
13,Anil Kumar Bharti,Independent,55,38,56,55,52,59,53,39,48,71,52,34,60,48,22,39,25,24,71,36,46,45,37,39,54,39,36,55,39,42,40,29,32,Uttar Pradesh-Dadraul,Dadraul
14,RAM RAHISH,Independent,13,6,12,18,22,13,15,10,8,9,14,8,18,17,4,5,9,11,23,12,13,15,22,8,17,10,14,14,15,9,10,12,14,Uttar Pradesh-Dadraul,Dadraul
15,NOTA,None of the Above,37,24,23,34,31,25,38,27,21,24,36,29,78,24,15,18,21,33,39,35,20,34,25,32,37,18,28,42,42,23,20,29,30,Uttar Pradesh-Dadraul,Dadraul
