O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,TEJPAL SINGH NAGAR,Bharatiya Janata Party,8788,8552,8440,8098,7062,7660,5317,5736,6049,8876,6008,5677,8804,6561,4604,6856,3925,4866,5560,4618,5330,5490,6556,5620,8711,8874,6253,6090,5962,6807,5237,6570,6459,1602,Uttar Pradesh-Dadri,Dadri
2,DEEPAK KUMAR BHATI CHOTIWALA,Indian National Congress,250,268,244,221,137,201,390,510,131,162,143,91,127,139,77,91,61,109,92,54,110,106,99,80,284,130,69,99,117,215,153,176,209,40,Uttar Pradesh-Dadri,Dadri
3,MANBIR SINGH,Bahujan Samaj Party,433,274,212,613,1162,1264,3929,2334,1299,723,1307,1326,1542,2219,1729,503,479,1094,1796,1712,1424,1499,1930,2069,653,1195,1407,939,327,1215,294,434,765,287,Uttar Pradesh-Dadri,Dadri
4,RAJKUMAR BHATI,Samajwadi Party,1265,1146,701,1346,1001,2193,2008,3024,2282,1480,3502,1569,1461,3057,4963,1469,6009,4460,2598,4932,4808,4180,2549,2651,1097,1923,1920,2244,1027,1632,1046,1424,1987,706,Uttar Pradesh-Dadri,Dadri
5,CHAMAN SINGH,Mihir Sena,5,6,6,6,10,18,23,26,321,12,28,9,13,23,18,2,20,16,12,16,19,16,9,18,6,14,11,9,0,14,6,8,5,5,Uttar Pradesh-Dadri,Dadri
6,JAGDISH SINGH,Sarv Samaj Party,4,1,0,0,4,5,9,3,10,6,6,6,4,1,6,3,5,6,6,6,9,9,12,6,2,5,7,2,10,5,2,5,8,0,Uttar Pradesh-Dadri,Dadri
7,RAGHWENDRA KUMAR SRIVASTAVA,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),3,0,0,3,3,9,5,12,4,7,6,1,5,6,4,2,4,3,4,4,3,1,4,8,1,6,4,12,9,6,7,9,5,1,Uttar Pradesh-Dadri,Dadri
8,VINAY NAGAR,Bahujan Andolan Party,6,3,0,1,33,5,6,5,4,5,9,1,6,3,0,2,0,0,0,4,7,1,6,1,0,1,1,1,1,11,3,3,13,1,Uttar Pradesh-Dadri,Dadri
9,SANJAY,Aam Aadmi Party,157,176,171,76,46,135,166,137,368,40,105,53,54,270,56,21,27,29,28,22,98,138,70,46,129,115,121,98,137,155,672,291,336,70,Uttar Pradesh-Dadri,Dadri
10,HEMANT SHARMA,Shiv Sena,2,1,2,7,7,5,8,12,9,7,11,6,9,66,5,8,11,9,15,7,7,13,7,14,4,10,16,1,2,4,6,2,4,3,Uttar Pradesh-Dadri,Dadri
11,ANNU KHAN,Independent,16,27,13,11,2,18,9,7,12,3,11,6,6,11,11,2,8,13,7,12,9,4,8,10,2,9,8,11,1,4,4,1,8,3,Uttar Pradesh-Dadri,Dadri
12,AMIT BASOYA,Independent,1,8,2,6,8,13,12,9,17,6,26,13,13,23,15,7,21,16,12,33,30,29,34,27,4,8,12,7,4,13,2,2,6,2,Uttar Pradesh-Dadri,Dadri
13,TRILOCHAN NARAYAN SINGH,Independent,5,5,3,8,13,17,31,34,33,12,19,26,23,36,22,1,8,20,11,25,23,8,34,34,4,21,10,15,2,30,7,8,12,5,Uttar Pradesh-Dadri,Dadri
14,SANJAY KUMAR SHARMA,Independent,9,2,1,4,14,5,17,19,24,16,41,15,24,23,21,28,16,19,11,19,19,24,18,17,5,26,22,12,3,8,31,8,27,8,Uttar Pradesh-Dadri,Dadri
15,NOTA,None of the Above,74,80,61,41,57,63,57,65,52,59,68,66,65,85,45,42,49,57,50,58,39,65,62,58,86,81,53,54,52,61,46,77,79,22,Uttar Pradesh-Dadri,Dadri
