O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,state_city,constituency_from_link
1,Arvind Kumar Singh Gope,Samajwadi Party,2671,2742,2692,2847,2090,1662,1294,1591,3686,2153,1496,1110,3102,1974,3325,2434,3550,3554,3107,2827,3514,4128,2174,2346,3024,2879,3955,2801,2753,2697,2666,2536,2295,2964,2266,2084,377,Uttar Pradesh-Dariyabad,Dariyabad
2,Chitra Verma,Indian National Congress,113,82,108,130,168,74,38,46,47,53,40,52,33,60,58,45,53,44,26,53,39,40,38,50,48,98,61,110,79,91,60,40,68,54,33,46,18,Uttar Pradesh-Dariyabad,Dariyabad
3,Jagprasad Rawat,Bahujan Samaj Party,1141,1298,1318,694,1128,1323,928,839,220,626,577,1241,1224,1277,556,358,419,531,537,1115,444,464,1396,553,560,1147,853,1320,1000,735,683,328,395,325,316,251,168,Uttar Pradesh-Dariyabad,Dariyabad
4,Satish Chandra Sharma,Bharatiya Janata Party,3528,3988,3830,3876,3472,3153,2831,2908,3217,3960,3763,3402,3049,3127,3369,3222,2867,3445,1929,3917,2391,2706,3082,4155,3773,4289,2703,4054,4135,3860,4627,4443,4385,4204,3646,3946,731,Uttar Pradesh-Dariyabad,Dariyabad
5,Kunwar Mukesh Pratap Singh,Aam Aadmi Party,53,52,55,60,37,38,58,59,40,93,83,51,47,44,68,89,55,61,40,70,36,31,26,69,46,47,42,52,50,54,76,54,73,68,55,60,10,Uttar Pradesh-Dariyabad,Dariyabad
6,Gopi Chandra,Aazad Samaj Party (Kanshi Ram),35,33,19,35,19,25,37,22,17,28,26,35,21,16,25,45,31,20,13,20,16,11,22,32,16,34,23,33,27,22,31,29,29,16,22,23,11,Uttar Pradesh-Dariyabad,Dariyabad
7,Deepak Rajput,Sabka Dal United,21,26,19,13,14,11,67,21,24,22,20,28,27,23,30,34,21,28,9,33,17,9,13,13,16,17,3,16,20,15,11,19,16,8,17,13,5,Uttar Pradesh-Dariyabad,Dariyabad
8,Mubashshir Ahmad,All India Majlis-E-Ittehadul Muslimeen,37,41,42,24,54,33,55,32,82,83,42,36,93,32,220,334,287,161,136,83,116,138,69,52,21,20,77,17,29,21,27,28,29,36,17,25,8,Uttar Pradesh-Dariyabad,Dariyabad
9,Ram Ji Tiwari,Rashtrawadi Kisan Kranti Dal,17,22,27,14,35,40,36,28,36,35,39,27,36,34,28,28,23,19,13,30,19,5,20,16,9,14,9,17,24,13,20,29,14,19,17,23,1,Uttar Pradesh-Dariyabad,Dariyabad
10,Ritesh Kumar Singh,Independent,124,147,150,206,418,835,2421,659,114,421,544,612,167,715,128,78,121,71,71,113,78,39,240,66,42,45,58,93,42,64,60,96,128,65,36,46,24,Uttar Pradesh-Dariyabad,Dariyabad
11,NOTA,None of the Above,62,77,56,67,65,64,127,56,54,101,67,78,68,49,98,71,81,69,42,85,46,36,53,68,53,65,57,61,60,52,64,69,70,55,61,36,20,Uttar Pradesh-Dariyabad,Dariyabad
