O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,ARJUN SINGH,Samajwadi Party,2537,2390,3307,3139,2891,2694,2118,2493,2414,2305,2057,3800,2660,3483,2312,2184,2855,2736,2657,2402,3405,2747,4094,4360,2452,2408,3088,1558,1863,3879,4896,3474,2823,2599,908,Uttar Pradesh-Dataganj,Dataganj
2,ATIF KHAN,Indian National Congress,109,128,146,70,18,117,152,36,53,48,66,181,72,112,59,39,61,62,52,89,69,177,28,35,37,59,39,17,28,78,18,21,90,26,17,Uttar Pradesh-Dataganj,Dataganj
3,RACHIT GUPTA,Bahujan Samaj Party,400,526,729,554,476,380,614,436,1157,768,930,410,365,500,409,544,664,553,516,429,639,795,147,668,485,415,1322,503,1005,458,867,224,735,692,239,Uttar Pradesh-Dataganj,Dataganj
4,RAJEEV SINGH URF BABBU BHAIYA,Bharatiya Janata Party,3732,3418,3373,2640,2913,3139,3435,2974,3109,3185,3314,2170,3636,3045,4602,3551,3177,2887,2825,3721,2573,3291,2104,2119,3523,4208,2614,4576,2871,2497,1906,3324,3283,2844,878,Uttar Pradesh-Dataganj,Dataganj
5,OMVEER,Vikassheel Insaan Party,46,33,45,24,24,33,23,22,40,27,48,40,25,35,49,37,34,30,31,64,41,28,14,21,36,70,21,27,19,22,14,33,35,20,13,Uttar Pradesh-Dataganj,Dataganj
6,KIRPA SHANKAR,Bahujan Mukti Party,11,7,11,5,11,9,12,8,15,5,8,9,7,5,9,11,16,5,10,22,7,8,5,7,8,16,8,7,15,8,5,11,12,9,4,Uttar Pradesh-Dataganj,Dataganj
7,GANESH,Jan Adhikar Party,14,26,125,6,6,31,24,9,13,13,14,7,3,3,25,31,86,12,17,16,6,36,23,11,31,22,42,5,321,123,7,13,228,130,71,Uttar Pradesh-Dataganj,Dataganj
8,DHEERPAL KASHYAP,Aam Aadmi Party,2,8,23,4,10,4,7,4,8,11,4,21,0,7,16,4,7,6,10,8,9,8,4,2,13,9,7,7,10,7,8,3,11,10,6,Uttar Pradesh-Dataganj,Dataganj
9,BRAJPAL SINGH,Jan Seva Sahayak Party,8,6,13,5,12,6,9,4,10,3,6,4,4,1,9,9,8,10,7,7,7,10,5,6,4,7,5,2,5,12,5,4,15,7,5,Uttar Pradesh-Dataganj,Dataganj
10,MUNNA LAL,Rashtra Uday Party,25,22,37,8,14,13,15,46,22,17,12,18,5,8,8,9,154,17,7,10,7,11,3,18,66,28,23,25,13,19,6,32,38,27,15,Uttar Pradesh-Dataganj,Dataganj
11,RAGHUNANDAN,Bharatiya Subhash Sena,9,16,11,9,7,7,18,9,25,15,10,3,10,9,20,10,21,9,13,13,12,15,4,6,17,16,6,10,10,13,8,16,20,14,9,Uttar Pradesh-Dataganj,Dataganj
12,RAJEEV KUMAR,Garib Berozgar Vikas Party,34,39,31,16,24,31,21,27,32,30,32,25,33,18,41,27,32,35,22,51,27,17,16,20,32,45,28,49,15,41,20,44,49,37,34,Uttar Pradesh-Dataganj,Dataganj
13,RAJEEV PAL,Rashtriya Samaj Paksha,16,30,28,5,18,42,15,13,29,12,81,25,18,21,15,18,28,17,26,30,20,32,7,13,30,29,24,19,25,31,22,19,43,27,26,Uttar Pradesh-Dataganj,Dataganj
14,SUBHASH CHANDRA YADAV,Rashtriya Parivartan Dal,25,18,8,7,16,19,11,7,23,14,18,40,9,7,13,15,16,7,13,7,12,15,10,13,13,16,6,8,7,16,12,9,26,7,13,Uttar Pradesh-Dataganj,Dataganj
15,NOTA,None of the Above,37,38,46,45,44,53,35,34,44,34,44,46,26,30,41,48,39,47,41,52,47,56,23,29,41,48,32,31,28,53,63,47,67,41,32,Uttar Pradesh-Dataganj,Dataganj
