O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Kartikey Rana,Samajwadi Party,1994,2057,2279,3153,2661,3856,823,1046,3228,823,1326,1853,1385,2881,1113,2229,3003,4712,6837,4166,5031,6590,2924,1799,4335,4646,4938,1717,3106,Uttar Pradesh-Deoband,Deoband
2,BRIJESH,Bharatiya Janata Party,2939,3188,3615,2932,2683,2027,3154,4117,3856,4955,4785,4767,5597,3791,5358,4720,1720,3367,629,3371,2378,1058,4272,4591,2515,1485,776,3732,1100,Uttar Pradesh-Deoband,Deoband
3,CHOUDHARY RAJENDRA SINGH,Bahujan Samaj Party,2556,2480,2354,3117,2050,2477,3260,3324,1696,1779,986,1141,1229,974,1956,2211,3724,216,340,427,673,200,1253,2436,1473,2430,2029,2962,773,Uttar Pradesh-Deoband,Deoband
4,RAHAT KHALIL,Indian National Congress,26,73,39,53,35,37,40,31,16,28,38,19,28,20,23,41,43,56,120,40,60,59,30,33,24,28,22,21,12,Uttar Pradesh-Deoband,Deoband
5,UMAIR MADANI,All India Majlis-E-Ittehadul Muslimeen,71,127,65,27,87,244,41,10,126,17,49,69,14,189,29,98,130,177,371,149,189,224,67,63,230,282,222,37,96,Uttar Pradesh-Deoband,Deoband
6,JAHEER,Jansatta Party,8,18,10,9,12,17,9,7,7,9,9,8,7,16,1,8,7,6,2,5,12,4,8,15,10,13,9,11,7,Uttar Pradesh-Deoband,Deoband
7,NAUSHAD,Sanyukt Vikas Party,28,41,20,16,16,25,22,29,30,16,11,15,12,34,20,15,24,5,1,4,5,5,1,28,18,18,10,15,4,Uttar Pradesh-Deoband,Deoband
8,PRAVEEN KUMAR DHIMAN,Aam Aadmi Party,10,21,13,11,13,7,12,11,4,13,2,12,7,5,6,11,10,6,2,3,7,3,6,13,14,8,3,5,3,Uttar Pradesh-Deoband,Deoband
9,YOGESH PRATAP SINGH,Aazad Samaj Party (Kanshi Ram),136,103,50,123,46,88,65,61,68,66,47,39,105,34,36,44,152,6,12,16,13,5,26,66,87,52,47,155,96,Uttar Pradesh-Deoband,Deoband
10,VIJENDRA,Independent,22,24,25,31,24,21,23,31,37,30,20,36,26,25,16,25,18,8,12,7,7,10,9,26,20,20,17,29,17,Uttar Pradesh-Deoband,Deoband
11,NOTA,None of the Above,15,35,28,29,30,28,19,17,45,35,23,28,21,25,21,27,28,17,19,15,23,9,20,35,34,37,20,19,25,Uttar Pradesh-Deoband,Deoband
