O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,GANESH CHANDRA,Bharatiya Janata Party,3214,3061,2357,2524,2447,3008,2089,2584,2372,3059,2773,2638,2546,1537,1887,2069,1793,2359,1730,2709,1586,2294,2676,2815,2925,2575,2837,3148,2632,2858,2753,2115,2226,817,Uttar Pradesh-Dhanghata,Dhanghata 
2,SHANTI DEVI,Indian National Congress,116,76,56,59,67,68,66,42,64,50,91,55,63,56,55,58,57,58,46,76,44,59,60,63,63,49,55,47,54,55,31,51,39,16,Uttar Pradesh-Dhanghata,Dhanghata 
3,SANTOSH,Bahujan Samaj Party,628,1188,1334,966,884,593,1049,1253,1028,1024,1517,1424,954,1316,1609,1313,1177,1259,1139,1291,1110,1259,1367,1587,1685,1212,1125,1092,1889,1275,1232,848,1545,363,Uttar Pradesh-Dhanghata,Dhanghata 
4,AMRIT KUMAR,Vikassheel Insaan Party,36,40,40,41,48,30,38,55,22,34,28,26,33,45,229,220,32,93,250,260,41,37,35,29,37,41,27,43,59,41,27,164,55,29,Uttar Pradesh-Dhanghata,Dhanghata 
5,ALAGU PRASAD,Suheldev Bharatiya Samaj Party,2235,2053,2294,2125,3054,3058,2444,1971,2157,1542,2155,1539,2482,3134,2334,1625,1963,2089,2187,2106,2553,2368,2200,2205,1919,1848,2057,2220,1249,1575,1543,2513,2648,520,Uttar Pradesh-Dhanghata,Dhanghata 
6,KUSUM,Sarvjan Awaz Party,16,19,17,14,19,15,20,13,17,14,23,10,15,50,59,17,12,41,36,30,26,20,23,39,17,24,14,10,20,25,9,29,21,17,Uttar Pradesh-Dhanghata,Dhanghata 
7,GIRAJESH,Aam Aadmi Party,22,23,22,36,22,32,26,26,51,29,43,13,34,24,20,11,16,12,15,24,21,29,22,26,17,30,19,17,21,17,18,31,29,6,Uttar Pradesh-Dhanghata,Dhanghata 
8,NARENDRA DEV,Jan Adhikar Party,21,72,41,188,207,96,85,13,36,38,12,21,97,462,270,59,383,55,247,104,347,203,16,231,124,192,82,26,69,12,90,40,14,5,Uttar Pradesh-Dhanghata,Dhanghata 
9,BHAJURARAM URF BHAJURAM,Independent,40,46,38,34,43,27,37,22,20,28,28,30,31,52,49,34,33,45,35,39,32,27,38,34,26,38,34,25,20,38,18,27,44,11,Uttar Pradesh-Dhanghata,Dhanghata 
10,YASHAVANT,Independent,183,167,140,203,226,216,157,116,125,135,171,95,165,203,236,121,132,167,180,209,203,192,169,190,154,169,141,142,109,133,109,152,177,37,Uttar Pradesh-Dhanghata,Dhanghata 
11,LAUTAN PRASAD,Shoshit Samaj Dal,20,22,41,34,28,17,20,19,18,28,27,24,21,25,33,31,30,27,14,29,24,18,26,27,27,18,17,16,38,27,23,26,30,6,Uttar Pradesh-Dhanghata,Dhanghata 
12,HARILAL,Independent,30,19,25,19,21,19,11,12,9,17,29,17,10,9,27,6,11,16,13,25,19,11,12,17,18,7,17,16,7,17,15,17,15,6,Uttar Pradesh-Dhanghata,Dhanghata 
13,NOTA,None of the Above,76,57,60,62,52,46,49,53,40,71,66,43,54,48,81,49,31,61,53,76,47,57,67,55,63,54,58,58,73,64,58,49,66,17,Uttar Pradesh-Dhanghata,Dhanghata 
