O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,ASLAM ALI,Samajwadi Party,3516,1116,1199,1289,3153,2286,2585,4593,3357,2762,1692,3729,4745,1828,838,496,5359,2429,2856,6294,3512,5712,4263,6194,2533,6849,4788,1131,5396,4189,7149,3800,494,Uttar Pradesh-Dhaulana,Dhaulana
2,DHARMESH SINGH TOMAR,Bharatiya Janata Party,3929,6477,4826,5228,4379,4718,5830,4535,4906,6728,5929,5024,4045,5160,5945,6282,1991,5224,4810,2791,4149,2838,2319,653,3614,243,1839,2748,1476,2404,629,2725,49,Uttar Pradesh-Dhaulana,Dhaulana
3,CHANDRA MOHAN,Aam Aadmi Party,14,22,21,16,18,68,54,43,44,46,46,15,9,5,12,14,6,4,9,13,36,8,18,5,25,6,14,29,15,10,6,15,0,Uttar Pradesh-Dhaulana,Dhaulana
4,BASID,Bahujan Samaj Party,1985,1062,1627,1825,1401,1415,722,256,618,300,1998,873,835,628,603,1324,1369,1067,1770,561,1389,439,795,426,959,863,2032,2198,175,558,177,603,20,Uttar Pradesh-Dhaulana,Dhaulana
5,BRIJESH KORI,Swatantra Jantaraj Party,5,7,8,7,4,7,16,3,3,9,9,4,3,2,4,2,4,3,7,3,7,5,2,5,4,6,2,3,6,4,6,6,0,Uttar Pradesh-Dhaulana,Dhaulana
6,PRAMOD,Independent,22,8,12,8,17,7,10,19,13,8,13,17,33,19,10,11,20,15,21,22,24,44,10,15,10,42,20,8,18,18,18,18,3,Uttar Pradesh-Dhaulana,Dhaulana
7,ARIF,All India Majlis-E-Ittehadul Muslimeen,68,13,17,14,74,20,19,48,14,20,10,129,181,19,21,15,387,26,24,103,148,293,222,238,18,442,125,19,163,144,290,175,18,Uttar Pradesh-Dhaulana,Dhaulana
8,ARVIND SHARMA,Indian National Congress,119,210,183,86,162,44,55,57,83,91,62,36,70,110,33,43,51,80,58,42,60,55,99,25,60,35,31,52,23,48,27,54,3,Uttar Pradesh-Dhaulana,Dhaulana
9,KULDEEP,Independent,17,24,20,22,29,16,17,10,9,20,26,15,25,21,23,28,21,23,19,15,18,28,12,11,27,16,10,9,17,13,10,24,3,Uttar Pradesh-Dhaulana,Dhaulana
10,KEERTY PRATAP SINGH,Independent,17,15,30,19,13,6,11,11,3,12,22,11,10,16,10,18,18,12,18,7,12,6,9,8,13,12,14,9,12,6,12,21,0,Uttar Pradesh-Dhaulana,Dhaulana
11,ASAMA,Independent,10,5,3,11,2,7,4,1,1,4,4,6,5,5,2,8,10,1,5,3,4,6,4,2,3,7,4,2,4,3,6,4,1,Uttar Pradesh-Dhaulana,Dhaulana
12,NAZIM,Jan Adhikar Party,6,3,6,6,4,2,5,2,4,2,6,2,0,3,3,3,7,2,4,2,4,8,2,1,4,4,1,4,3,0,4,2,2,Uttar Pradesh-Dhaulana,Dhaulana
13,TRIVEDI,Nagrik Chetna Party,15,13,10,10,8,5,16,3,6,7,6,2,4,2,7,3,4,6,4,7,4,7,3,1,7,2,2,7,5,3,2,4,0,Uttar Pradesh-Dhaulana,Dhaulana
14,NOTA,None of the Above,18,17,21,36,25,21,46,59,27,39,36,24,23,19,12,21,38,23,45,34,26,32,16,33,28,35,28,22,39,49,37,17,2,Uttar Pradesh-Dhaulana,Dhaulana
