O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,ANAND MOHAN URF DHEER MOHAN TRIVEDI,Bahujan Samaj Party,594,325,642,1019,1259,887,1059,728,1099,437,449,695,986,608,488,677,657,333,229,207,168,520,691,196,383,271,432,57,Uttar Pradesh-Dhaurahra,Dhaurahra
2,JITENDRI DEVI,Indian National Congress,52,34,36,49,41,50,34,35,47,41,35,53,41,41,93,45,52,27,58,70,24,42,46,35,47,27,34,27,Uttar Pradesh-Dhaurahra,Dhaurahra
3,VARUN SINGH,Samajwadi Party,3565,3791,3612,2985,5066,2754,3142,2870,2995,2391,3687,4357,3329,2938,3617,3879,2562,2942,3135,3426,2441,2593,2633,3048,3539,2724,2982,1546,Uttar Pradesh-Dhaurahra,Dhaurahra
4,VINOD SHANKAR,Bharatiya Janata Party,4710,4853,4963,4204,2512,4337,3459,3414,3973,4696,4106,3289,3693,4057,4548,4345,4903,3322,4790,3740,3988,3211,4174,5349,3906,5024,3795,2042,Uttar Pradesh-Dhaurahra,Dhaurahra
5,MULANDER KUMAR AWASTHI,Shiv Sena,107,82,94,102,66,76,71,106,148,129,151,102,105,85,69,55,82,111,89,92,75,56,85,91,72,108,90,67,Uttar Pradesh-Dhaurahra,Dhaurahra
6,ARVIND KUMAR,"Adarsh Janta Party,",35,33,39,56,34,38,22,34,32,38,34,37,33,15,25,30,36,23,48,39,23,22,32,42,43,31,28,30,Uttar Pradesh-Dhaurahra,Dhaurahra
7,MUKESH KUMAR,Independent,38,35,43,43,31,45,49,44,44,51,51,47,39,23,34,41,56,45,52,63,32,31,37,35,45,48,36,21,Uttar Pradesh-Dhaurahra,Dhaurahra
8,REKHA DEVI,Independent,42,28,25,43,38,53,47,49,35,34,44,52,39,40,42,55,57,27,63,57,35,37,45,135,61,63,49,25,Uttar Pradesh-Dhaurahra,Dhaurahra
9,VINOD KUMAR,Independent,51,48,37,89,46,44,43,39,50,43,37,42,36,33,30,44,32,31,47,53,25,28,32,42,36,30,38,30,Uttar Pradesh-Dhaurahra,Dhaurahra
10,NOTA,None of the Above,92,85,78,125,120,109,54,98,128,90,115,97,77,52,69,88,69,71,124,132,74,63,67,96,93,79,68,65,Uttar Pradesh-Dhaurahra,Dhaurahra
