O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,AWADHESH KUMAR SINGH,Indian National Congress,49,113,188,56,25,111,48,63,56,50,43,26,65,53,47,40,60,55,46,52,54,47,66,44,52,30,40,51,20,43,20,Uttar Pradesh-Didarganj,Didarganj
2,KAMALKANT,Samajwadi Party,2455,3358,2611,2764,3016,3006,2174,1888,3314,2753,2048,1759,2939,2718,2714,2481,2425,2005,2743,2027,2400,1846,2153,1905,1524,2295,1841,2829,1958,2155,1730,Uttar Pradesh-Didarganj,Didarganj
3,KRISHNAMURARI,Bharatiya Janata Party,1662,1875,1367,1322,1750,1857,2387,1962,1971,1972,1873,1017,1995,1535,2306,2364,2132,2510,2444,2807,2465,1636,2541,1484,2836,1292,1827,2420,1452,1754,1805,Uttar Pradesh-Didarganj,Didarganj
4,BHUPENDRA,Bahujan Samaj Party,969,1731,1752,1272,1164,1629,1344,1359,1861,1783,1103,1823,1924,1487,1214,1668,1124,1559,1281,1396,1906,1841,1697,1851,2012,1597,1142,1457,1164,1637,1135,Uttar Pradesh-Didarganj,Didarganj
5,ZAVED,All India Majlis-E-Ittehadul Muslimeen,232,132,47,65,42,63,59,98,81,37,35,367,56,69,47,11,83,26,30,31,42,56,34,60,39,42,79,25,91,58,61,Uttar Pradesh-Didarganj,Didarganj
6,JITENDRA,Bahujan Mukti Party,1,9,5,12,8,3,9,2,13,14,3,5,5,11,4,5,5,12,3,12,9,9,6,5,6,4,7,5,3,7,7,Uttar Pradesh-Didarganj,Didarganj
7,MAHENDRA PRASAD BIND,Peoples Party of India (Democratic),9,18,15,10,12,29,23,18,18,27,12,10,23,14,21,13,15,47,15,48,28,29,19,17,25,11,11,6,8,19,11,Uttar Pradesh-Didarganj,Didarganj
8,RASHMI VISHWAKARMA,Aam Aadmi Party,10,11,4,5,12,6,9,5,9,12,8,4,10,7,9,7,11,7,12,10,10,12,14,4,7,7,10,12,2,12,2,Uttar Pradesh-Didarganj,Didarganj
9,LALMAN YADAV,Sanatan Sanskriti Raksha Dal,8,20,9,3,9,7,10,3,116,8,11,7,9,10,6,4,9,13,13,12,13,16,13,7,9,8,6,5,9,10,7,Uttar Pradesh-Didarganj,Didarganj
10,HUZAIFA AMIR,Rashtriya Ulama Council,191,129,230,162,144,191,132,152,229,156,166,793,419,405,28,35,412,20,38,15,14,506,187,495,343,724,1082,258,1066,431,915,Uttar Pradesh-Didarganj,Didarganj
11,GULAB,Independent,5,10,10,2,7,4,6,10,8,5,8,8,11,6,5,10,5,8,9,7,12,11,12,66,10,116,9,13,6,12,5,Uttar Pradesh-Didarganj,Didarganj
12,JALALUDDIN,Independent,15,21,11,6,14,13,24,17,16,22,79,11,23,25,10,28,13,15,25,19,19,14,22,13,19,13,9,16,4,14,17,Uttar Pradesh-Didarganj,Didarganj
13,MOHAMMAD NADEEN KHAN,Independent,23,28,11,18,14,21,32,28,14,13,11,15,26,16,15,31,20,34,26,34,36,33,30,22,16,21,17,24,7,16,20,Uttar Pradesh-Didarganj,Didarganj
14,VIPENDRA,Independent,19,35,24,22,27,36,25,25,22,23,23,5,42,26,33,34,24,22,31,28,55,14,19,20,33,14,12,35,19,28,17,Uttar Pradesh-Didarganj,Didarganj
15,NOTA,None of the Above,18,35,20,23,25,27,37,20,20,28,20,8,31,20,30,32,30,29,37,34,46,24,47,42,38,20,30,34,14,27,17,Uttar Pradesh-Didarganj,Didarganj
