O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,ASHOK KUMAR TEWARI,Bahujan Samaj Party,718,981,535,697,698,860,933,507,454,631,621,741,185,312,462,760,422,517,249,424,403,585,386,476,388,509,274,499,628,578,379,747,977,855,855,Uttar Pradesh-Domariyaganj,Domariyaganj
2,KANTI,Indian National Congress,86,51,76,65,105,75,59,50,27,44,42,44,29,64,158,267,38,80,71,34,91,48,45,42,24,35,32,66,54,96,49,104,78,117,100,Uttar Pradesh-Domariyaganj,Domariyaganj
3,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,2362,2904,2548,2975,2153,2423,3357,2245,2103,2056,1685,2978,1080,2614,3096,2070,2288,3552,3347,3050,2962,2092,1222,2162,2547,2558,1577,2085,2388,2107,1903,2666,2591,2290,2059,Uttar Pradesh-Domariyaganj,Domariyaganj
4,SAIYADA KHATOON,Samajwadi Party,2033,1985,2397,2067,2228,2474,1889,2282,2634,2543,3027,1660,3718,4885,3356,1218,2816,2326,2410,2665,2584,2928,3597,2617,2056,1962,1924,2302,1736,1744,2062,2016,2369,2108,1968,Uttar Pradesh-Domariyaganj,Domariyaganj
5,ABDUL HANNAN CHAUDHARY,Republican Bahujan Sena,32,27,33,21,22,32,28,20,15,21,10,14,19,24,16,16,37,42,22,25,28,28,26,16,14,26,15,28,25,21,19,23,32,28,21,Uttar Pradesh-Domariyaganj,Domariyaganj
6,Er. QAZI IMRAN LATEEF,Aam Aadmi Party,8,6,4,5,13,1,9,5,12,7,3,9,9,12,6,11,7,6,14,6,10,8,123,13,5,7,6,15,22,3,6,7,14,10,9,Uttar Pradesh-Domariyaganj,Domariyaganj
7,IRFAN AHMAD MALIK,All India Majlis-E-Ittehadul Muslimeen,50,28,74,51,72,142,52,63,183,94,216,88,102,196,268,821,256,53,95,87,139,190,166,101,95,84,174,95,17,36,54,43,48,39,53,Uttar Pradesh-Domariyaganj,Domariyaganj
8,PAWAN KUMAR,Janata Dal (United),33,50,49,10,116,16,28,9,7,9,5,6,2,6,4,6,5,12,20,6,21,8,9,8,11,4,7,5,8,4,7,17,13,5,15,Uttar Pradesh-Domariyaganj,Domariyaganj
9,SHAILENDRA URF RAJU SRIVASTAV,Shiv Sena,148,219,63,105,129,72,102,24,45,147,166,82,39,39,74,309,25,46,64,78,114,113,64,114,36,134,49,119,296,104,54,89,149,165,122,Uttar Pradesh-Domariyaganj,Domariyaganj
10,SAILENDRA KUMAR,Bahujan Maha Party,11,14,18,11,12,6,8,16,8,10,8,10,8,10,15,13,17,26,13,10,19,5,11,2,7,6,5,19,8,15,10,12,15,10,10,Uttar Pradesh-Domariyaganj,Domariyaganj
11,RAJESH KUMAR AGRAHARI,Independent,38,30,50,42,28,22,40,44,28,32,12,31,12,28,18,24,43,83,32,56,63,24,28,31,26,24,20,36,46,33,35,42,47,42,46,Uttar Pradesh-Domariyaganj,Domariyaganj
12,RAM UGRH,Independent,38,36,41,31,25,22,33,23,24,24,27,31,10,26,11,19,17,41,43,31,27,29,9,25,23,34,19,25,33,25,20,57,33,38,28,Uttar Pradesh-Domariyaganj,Domariyaganj
13,SHIV KUMAR,Independent,21,20,27,24,20,23,23,14,104,19,13,30,11,18,10,32,15,24,19,14,23,16,7,18,11,14,14,22,15,14,7,20,28,14,14,Uttar Pradesh-Domariyaganj,Domariyaganj
14,NOTA,None of the Above,54,44,36,40,21,35,53,16,29,36,26,38,15,24,17,35,36,40,27,40,40,27,14,20,20,18,31,39,39,30,23,51,37,39,33,Uttar Pradesh-Domariyaganj,Domariyaganj
