O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Ajay Singh,Bahujan Samaj Party,941,336,339,183,88,338,410,1143,1395,1095,619,645,899,1009,1096,898,1179,858,908,1482,504,196,474,469,429,1642,570,1354,2175,2359,478,137,Uttar Pradesh-Etah,Etah
2,Gunjan Mishra,Indian National Congress,67,69,52,57,90,66,128,72,46,31,32,70,56,40,37,36,95,39,26,37,37,15,20,37,34,42,45,21,33,39,8,1,Uttar Pradesh-Etah,Etah
3,Jugendra Singh Yadav,Samajwadi Party,3001,1435,3144,1981,1449,1866,2854,1601,2316,2396,1385,3528,2955,2979,3696,4326,2750,3450,2801,2314,2255,2980,2216,3651,3821,2365,1865,3052,2187,2060,734,88,Uttar Pradesh-Etah,Etah
4,Vipin kumar David,Bharatiya Janata Party,2835,4268,3475,4180,4452,3120,2261,3836,3687,4960,4738,2086,3723,4749,2088,2406,2398,2238,2970,3595,3733,2808,4151,2752,2594,2724,3253,1571,2861,2300,62,185,Uttar Pradesh-Etah,Etah
5,Umeshkant,Aam Aadmi Party,17,12,25,20,16,9,6,21,23,25,30,12,22,30,18,12,16,20,22,26,27,20,18,18,17,11,21,19,25,11,1,0,Uttar Pradesh-Etah,Etah
6,Mahipal,Voters Party International,2,6,4,5,4,4,1,11,0,8,8,2,3,7,10,2,2,1,6,7,7,6,5,8,4,10,9,5,8,4,1,0,Uttar Pradesh-Etah,Etah
7,Roop kishor Shakya,Jan Adhikar Party,8,2,8,6,1,5,2,3,9,9,6,2,40,25,10,7,7,41,26,22,99,7,7,21,118,8,110,21,10,9,1,2,Uttar Pradesh-Etah,Etah
8,Omendra Singh,Independent,0,1,2,2,1,1,2,1,1,3,1,2,1,3,7,2,4,2,6,2,5,2,3,5,6,3,1,5,1,1,1,0,Uttar Pradesh-Etah,Etah
9,Durgesh Kumar,Independent,3,2,2,2,0,0,2,0,3,8,5,5,6,5,13,1,0,2,8,6,6,4,3,6,4,9,7,6,11,6,0,0,Uttar Pradesh-Etah,Etah
10,Ravendr Singh,Independent,4,2,11,5,5,1,3,1,5,5,3,2,9,4,15,2,3,5,5,16,7,5,8,5,4,10,9,7,13,11,2,0,Uttar Pradesh-Etah,Etah
11,Rajiv Kumar,Independent,4,0,4,4,1,1,0,1,2,7,3,3,3,1,10,3,2,6,7,3,5,1,1,6,6,6,3,7,6,5,0,0,Uttar Pradesh-Etah,Etah
12,Vijendr Singh,Independent,3,1,7,3,1,2,0,1,6,6,3,1,10,12,10,9,5,4,11,13,8,8,5,9,6,12,19,7,16,8,0,0,Uttar Pradesh-Etah,Etah
13,Satyaprakash,Independent,11,1,6,9,3,0,3,1,15,38,15,10,17,27,21,14,13,19,32,22,30,8,30,21,18,38,33,23,24,15,0,2,Uttar Pradesh-Etah,Etah
14,Sahab Singh,Independent,15,4,6,12,7,5,11,3,15,29,15,12,28,22,40,32,18,32,28,36,27,17,36,45,32,27,27,21,25,29,8,1,Uttar Pradesh-Etah,Etah
15,Sukhvendra Singh,Independent,6,2,2,7,0,2,4,1,5,10,3,21,8,10,15,3,4,7,7,12,7,4,9,5,7,12,11,6,12,15,1,0,Uttar Pradesh-Etah,Etah
16,NOTA,None of the Above,19,18,14,23,12,8,13,20,22,44,17,18,27,32,40,24,33,20,39,29,30,12,22,21,18,50,26,25,43,45,6,3,Uttar Pradesh-Etah,Etah
