O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Kuldeep Gupta,Bahujan Samaj Party,1620,1520,1708,1088,910,2030,1816,1201,1087,982,1246,682,1966,1315,910,829,851,635,896,752,1024,1413,1150,2187,2980,2199,2237,1209,2116,1440,2151,1448,518,51,Uttar Pradesh-Etawah,Etawah
2,Mohd Rashid,Indian National Congress,26,38,34,26,23,33,42,30,51,27,41,32,44,19,29,73,127,97,66,59,85,39,47,44,37,39,60,32,29,27,44,48,7,1,Uttar Pradesh-Etawah,Etawah
3,Sarita,Bharatiya Janata Party,2334,2991,3115,2288,1887,2355,2795,4038,3975,2789,3918,3305,3339,3047,3659,4793,1985,2487,2147,2986,3457,3643,3957,3694,2838,3922,3182,2497,1639,1766,2841,2901,822,140,Uttar Pradesh-Etawah,Etawah
4,Sarvesh Kumar Shakya,Samajwadi Party,3950,3252,3129,3927,4219,2347,2207,3070,2118,2718,2149,3382,2311,2757,1983,2861,3824,5205,5374,4194,3458,3338,3696,3251,2391,2322,1729,1692,1964,1555,1300,1410,156,16,Uttar Pradesh-Etawah,Etawah
5,Bobby,Jansatta Dal Loktantrik,20,27,26,21,17,22,15,19,18,19,14,9,8,11,9,13,19,22,21,24,12,12,14,20,24,20,23,22,15,30,40,37,5,0,Uttar Pradesh-Etawah,Etawah
6,Shiv Pratap Singh,Aam Aadmi Party,6,8,11,7,7,4,9,15,18,28,13,2,14,20,10,16,12,3,5,8,4,22,18,7,15,24,19,19,6,14,13,10,6,0,Uttar Pradesh-Etawah,Etawah
7,Shyam Singh,Sabka Dal United,10,9,6,8,6,5,19,32,14,12,19,6,1,2,6,3,5,6,2,3,4,5,8,5,7,15,3,7,5,4,5,41,29,0,Uttar Pradesh-Etawah,Etawah
8,Satya Prakash,Jan Adhikar Party,122,174,156,96,40,39,90,188,141,42,6,181,16,109,23,7,22,16,15,39,16,18,75,17,13,19,12,6,11,14,9,10,2,0,Uttar Pradesh-Etawah,Etawah
9,Partibha Shakya,Independent,10,14,13,19,15,14,12,8,13,15,10,4,2,11,6,3,2,7,8,11,5,10,11,21,6,10,17,10,17,11,9,14,5,0,Uttar Pradesh-Etawah,Etawah
10,Manoj,Independent,15,15,16,15,10,14,13,11,14,18,18,9,2,4,4,5,6,5,7,5,3,6,10,11,15,19,15,8,10,7,16,17,9,0,Uttar Pradesh-Etawah,Etawah
11,Sharad Bhadauriya,Independent,7,9,11,11,13,19,11,7,5,9,8,2,2,1,6,4,3,7,4,8,6,9,7,11,2,12,11,5,6,5,10,7,8,0,Uttar Pradesh-Etawah,Etawah
12,NOTA,None of the Above,56,30,44,33,43,49,34,24,17,47,33,23,19,22,24,29,23,24,35,28,26,40,23,47,31,54,52,32,54,46,75,42,23,0,Uttar Pradesh-Etawah,Etawah
