O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,VIJAY PAL SINGH,Samajwadi Party,2202,1860,2172,2147,1731,2965,3314,4061,3026,4150,4709,4640,2901,3252,2172,2085,2289,2519,4747,3255,5446,3974,1678,3420,3897,2802,3123,4067,Uttar Pradesh-Faridpur,Faridpur
2,VISHAL SAGAR,Indian National Congress,28,35,39,55,100,40,52,34,89,37,39,61,143,41,30,51,72,137,74,43,136,49,60,104,53,36,49,50,Uttar Pradesh-Faridpur,Faridpur
3,SHALINI SINGH,Bahujan Samaj Party,289,576,340,517,1199,480,925,421,331,419,494,662,309,393,349,642,1161,773,98,77,71,534,218,460,374,657,991,674,Uttar Pradesh-Faridpur,Faridpur
4,PROF. SHYAM BIHARI LAL,Bharatiya Janata Party,5011,4348,3734,4082,3905,3829,3706,3081,2709,2818,2084,2015,2976,2911,3037,3287,3408,5028,2199,3547,1669,3447,4660,3559,2941,2998,3697,1169,Uttar Pradesh-Faridpur,Faridpur
5,AMISH SAGAR,Lok Dal,55,133,88,84,82,91,98,102,43,60,62,39,63,56,29,41,76,57,16,19,5,68,107,59,42,48,69,62,Uttar Pradesh-Faridpur,Faridpur
6,ULFAT,Jan Seva Sahayak Party,5,10,16,14,10,5,9,15,8,8,3,6,4,10,8,5,6,18,3,7,3,14,14,6,5,5,8,1,Uttar Pradesh-Faridpur,Faridpur
7,JANAK PRASAD,Aam Aadmi Party,21,13,18,18,9,17,62,7,10,3,10,5,9,9,2,13,8,17,7,3,2,23,10,5,15,8,16,5,Uttar Pradesh-Faridpur,Faridpur
8,PREMPAL SAGAR,VANCHITSAMAJ INSAAF PARTY,9,4,9,9,9,3,9,7,5,5,3,10,1,8,4,6,6,6,1,1,2,8,5,4,8,7,6,14,Uttar Pradesh-Faridpur,Faridpur
9,SUSHIL KUMAR GAUTAM,Bahujan Mukti Party,13,11,18,15,11,8,14,15,21,16,10,10,4,19,9,19,14,15,14,12,10,8,10,10,15,16,14,8,Uttar Pradesh-Faridpur,Faridpur
10,MAHENDRA,Independent,30,42,43,36,40,33,30,32,24,22,14,17,26,47,22,37,26,49,9,15,5,27,48,30,31,40,47,15,Uttar Pradesh-Faridpur,Faridpur
11,PRIYANKA KUMARI,Independent,24,23,24,26,27,30,23,17,23,22,20,20,20,24,18,21,11,31,5,9,4,13,33,26,23,20,28,17,Uttar Pradesh-Faridpur,Faridpur
12,SUNEETA SINGH,Independent,9,19,16,19,15,11,7,9,13,16,7,9,12,11,9,15,16,23,4,11,6,17,14,8,19,21,11,8,Uttar Pradesh-Faridpur,Faridpur
13,NOTA,None of the Above,47,39,63,57,60,58,49,80,45,69,62,72,63,72,48,48,41,69,30,35,41,55,40,75,68,56,58,29,Uttar Pradesh-Faridpur,Faridpur
