O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,AYUV AHMAD,Bahujan Samaj Party,994,930,1205,227,351,825,195,262,206,254,252,419,335,539,821,1200,682,977,1101,1328,745,833,981,1010,936,927,841,761,137,7,Uttar Pradesh-Fatehpur,Fatehpur   
2,Chandra Prakash,Samajwadi Party,2541,2820,3832,4452,3142,4706,2506,2460,3214,4648,4131,2174,2169,3014,3436,2923,3322,3614,3280,3353,3547,4572,2862,3512,3532,3632,3529,2598,1923,264,Uttar Pradesh-Fatehpur,Fatehpur   
3,MOHSIN AHMAD,Indian National Congress,67,56,64,44,51,111,50,54,59,49,56,55,57,67,63,59,60,71,51,77,70,87,49,70,56,47,76,75,43,4,Uttar Pradesh-Fatehpur,Fatehpur   
4,VIKRAM SINGH,Bharatiya Janata Party,3239,2799,2771,2220,3379,2290,3009,2833,3467,1737,2089,3919,4738,3707,3566,3209,3604,3599,2604,2869,2667,2565,3202,2603,2654,2446,3478,3845,2365,251,Uttar Pradesh-Fatehpur,Fatehpur   
5,AVINASH RAO,Peoples Party of India (Democratic),54,46,34,33,12,26,19,17,24,10,17,23,32,55,51,50,61,65,68,69,39,39,67,67,38,32,73,88,34,4,Uttar Pradesh-Fatehpur,Fatehpur   
6,PHOOL SINGH LODHI,Bahujan Mukti Party,11,7,7,5,5,11,6,2,5,1,3,7,10,15,18,16,15,26,6,13,12,9,16,14,16,13,14,18,5,1,Uttar Pradesh-Fatehpur,Fatehpur   
7,BRAJBHAAN,Aam Aadmi Party,6,17,9,4,7,18,27,8,7,5,1,7,11,7,13,20,15,21,12,15,8,13,12,13,15,21,26,21,15,1,Uttar Pradesh-Fatehpur,Fatehpur   
8,BHOLA SINGH,Jan Adhikar Party,39,19,7,9,6,15,3,5,15,2,5,5,10,21,47,19,23,26,20,19,20,15,16,15,22,18,16,26,7,0,Uttar Pradesh-Fatehpur,Fatehpur   
9,RATNA SINGH,Bhartiya Shakti Chetna Party,20,18,15,6,15,14,27,17,11,4,4,14,26,23,20,20,14,26,10,14,27,25,18,17,23,21,16,21,2,0,Uttar Pradesh-Fatehpur,Fatehpur   
10,VIMAL KUMAR,Apni Zindgi Apna Dal,29,24,17,14,4,15,19,17,21,11,10,25,11,25,34,29,31,33,22,27,37,24,36,21,34,30,25,35,14,0,Uttar Pradesh-Fatehpur,Fatehpur   
11,KULDEEP SINGH,Independent,36,37,35,18,13,27,9,10,6,10,16,13,17,45,67,348,53,52,30,33,64,47,77,53,58,78,106,58,26,1,Uttar Pradesh-Fatehpur,Fatehpur   
12,NOTA,None of the Above,68,82,50,30,32,42,28,38,29,15,38,45,41,73,80,89,94,100,61,88,72,84,81,59,74,72,92,81,44,4,Uttar Pradesh-Fatehpur,Fatehpur   
