O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,Babulal,Bharatiya Janata Party,3888,3029,2962,2529,2651,3143,2690,3501,2867,3075,3436,2951,5386,3964,3006,3529,3129,2519,2537,5944,3081,4849,3829,3556,6116,4668,5908,3769,2966,3433,2608,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
2,Brijesh Kumar,Rashtriya Lok Dal,1865,1203,961,2858,4094,1757,1410,1284,2247,1705,1125,1548,1422,1314,2706,2803,3324,3452,2885,1124,2734,1703,753,4143,1278,2534,2371,1179,2986,2363,1377,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
3,Mukesh Kumar,Bahujan Samaj Party,1874,2484,2443,2056,656,3854,3453,1947,2791,1916,2913,2702,602,3162,1852,1746,1569,957,1524,1534,2220,1416,4511,665,1973,1476,932,2165,768,825,544,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
4,Hemant Singh,Indian National Congress,24,28,32,62,40,63,42,29,35,36,18,31,39,31,36,30,19,27,38,62,53,23,57,43,42,39,75,35,33,34,28,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
5,Jagdish,Aazad Samaj Party (Kanshi Ram),48,5,8,14,16,23,40,27,7,7,13,22,12,35,26,10,6,40,11,33,32,13,21,17,10,6,10,6,20,7,2,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
6,Sangeeta,Bharatiya Majdoor Janta Party,15,12,6,27,15,24,18,12,22,8,11,20,10,21,11,17,4,5,7,19,12,8,28,7,15,4,14,13,4,7,1,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
7,Hina Naz Sheravani,VANCHITSAMAJ INSAAF PARTY,17,7,10,31,31,21,6,10,17,13,6,14,12,9,20,16,13,12,13,17,33,8,5,34,9,8,13,9,14,9,6,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
8,Dr.Kumrendra Singh,Independent,3,4,4,8,18,17,17,32,17,10,8,16,10,5,5,6,5,4,9,18,10,6,10,11,12,6,9,11,1,12,2,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
9,Yogendra Singh Chahar,Independent,6,5,7,17,16,23,13,7,11,9,6,10,8,4,9,9,8,4,14,14,13,4,13,14,5,8,3,7,8,7,5,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
10,Lekhraj,Independent,24,24,44,43,24,57,31,11,37,20,26,34,15,27,16,27,18,16,27,41,38,22,45,23,16,28,8,21,18,15,8,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
11,Saurabh Singh Parmar,Independent,26,13,15,34,56,40,16,17,33,10,7,24,24,7,13,33,28,24,36,31,37,18,17,56,27,28,21,9,27,13,8,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
12,NOTA,None of the Above,58,29,49,52,74,96,56,54,51,41,37,54,103,56,41,47,34,31,38,92,61,42,71,67,52,34,36,50,52,39,19,Uttar Pradesh-Fatehpur Sikri,Fatehpur Sikri
