O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,ALAUDDIN,Bahujan Samaj Party,1099,1218,1175,918,961,894,1036,984,1016,1622,1700,878,1334,1149,936,885,1240,665,986,703,1239,598,648,939,832,883,1291,778,916,918,1401,Uttar Pradesh-Gainsari,Gainsari
2,DR. ISHTIYAQ AHAMAD KHAN,Indian National Congress,110,66,249,158,178,149,120,63,81,96,79,62,58,85,79,78,100,59,96,126,191,177,451,155,130,151,144,143,87,173,83,Uttar Pradesh-Gainsari,Gainsari
3,DR. SHIV PRATAP YADAV,Samajwadi Party,2211,1881,2629,2265,2859,2170,3029,2532,2077,2290,2387,2027,2021,2249,1970,2106,2278,2515,2446,2614,2571,2625,3295,2579,2541,2676,2625,2590,2643,2058,2172,Uttar Pradesh-Gainsari,Gainsari
4,"SHAILESH KUMAR SINGH ""SHAILU""",Bharatiya Janata Party,2512,3100,3017,2464,2033,2012,2130,2691,2388,2191,2184,2042,2277,2256,2161,2383,2107,2155,1990,2179,1501,2241,1417,2448,2219,2688,2178,2331,2540,1951,1656,Uttar Pradesh-Gainsari,Gainsari
5,THANESHWAR NATH,Bharatiya Subhash Sena,62,59,80,42,44,46,56,79,55,48,55,37,40,46,51,49,40,27,40,38,20,22,24,60,37,52,39,49,50,41,58,Uttar Pradesh-Gainsari,Gainsari
6,NAND KUMAR PANDEY,Lok Dal,15,17,25,25,17,7,5,14,16,17,12,15,13,15,15,14,15,8,13,15,7,12,5,31,14,17,17,8,16,13,11,Uttar Pradesh-Gainsari,Gainsari
7,RAM SARAN,Republican Sena,18,15,49,15,20,14,12,21,18,22,25,7,14,18,16,15,14,8,13,18,4,13,15,36,18,14,15,10,15,7,21,Uttar Pradesh-Gainsari,Gainsari
8,SHAHABUDDIN,All India Majlis-E-Ittehadul Muslimeen,82,88,101,41,71,91,110,128,119,82,72,49,45,122,16,28,87,82,123,260,120,403,258,130,47,136,171,102,116,76,37,Uttar Pradesh-Gainsari,Gainsari
9,SATYA PRAKASH,Samyak Party,10,18,20,30,14,18,10,40,27,32,27,29,14,13,23,30,27,18,45,23,14,20,24,37,16,27,19,25,17,16,19,Uttar Pradesh-Gainsari,Gainsari
10,AYESHA,Independent,32,41,53,47,32,15,24,27,25,38,30,22,22,28,20,17,20,22,19,27,19,9,20,56,32,53,38,17,26,26,22,Uttar Pradesh-Gainsari,Gainsari
11,NOTA,None of the Above,69,65,94,62,46,36,47,91,79,60,56,53,51,52,60,35,38,39,65,64,30,40,32,97,41,61,70,35,61,41,74,Uttar Pradesh-Gainsari,Gainsari
