O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Jawahar Lal Rajput,Bharatiya Janata Party,2700,3160,2866,3122,4196,3952,3564,3277,2421,3443,3358,3372,3603,3980,3834,4057,3470,3560,4201,4160,3979,3443,5030,3770,4341,3968,4244,3821,3119,4034,3494,113,Uttar Pradesh-Garautha,Garautha
2,Deep Narayan Singh (Deepak Yadav),Samajwadi Party,2244,2161,3277,2172,1942,2499,2686,2647,3695,3118,3095,2516,2588,2638,3176,2789,3039,2526,2673,2344,1835,2869,2005,2140,2351,2195,2358,2298,3288,2829,1832,222,Uttar Pradesh-Garautha,Garautha
3,Neha,Indian National Congress,89,105,51,79,77,113,55,51,46,69,48,41,31,74,69,137,97,153,81,81,100,155,99,87,90,206,164,112,291,161,272,5,Uttar Pradesh-Garautha,Garautha
4,Bira Singh,Bahujan Samaj Party,1050,1254,630,1075,744,1151,826,1291,417,412,563,986,846,813,1355,1061,1030,1392,1032,1272,765,918,1090,756,344,1286,1138,1269,838,990,480,170,Uttar Pradesh-Garautha,Garautha
5,Gauri Shankar Bidua,"Kisan Raksha Party,",16,16,9,22,7,11,17,22,8,3,5,12,10,21,16,11,7,35,15,20,18,41,18,8,6,19,19,28,15,21,14,0,Uttar Pradesh-Garautha,Garautha
6,Pushpendra Lodha Chandar,Aam Aadmi Party,9,10,8,13,7,10,16,6,7,8,1,106,8,15,10,3,6,7,5,9,7,7,4,2,11,12,7,14,7,8,11,0,Uttar Pradesh-Garautha,Garautha
7,Poonam Singh,Akhil Bharatiya Socialist Party,6,9,13,14,3,4,6,4,5,3,5,10,9,9,5,8,8,10,6,10,9,11,7,4,4,7,2,12,13,7,11,0,Uttar Pradesh-Garautha,Garautha
8,Rajendra Pal,Jan Adhikar Party,29,89,24,200,59,155,69,84,27,103,125,127,30,329,189,67,27,16,36,19,21,17,24,28,21,24,25,6,32,7,24,9,Uttar Pradesh-Garautha,Garautha
9,Arun Kumar,Independent,9,6,3,14,6,6,11,10,4,10,8,11,2,5,7,10,7,12,7,6,5,8,11,2,4,7,13,13,7,15,5,0,Uttar Pradesh-Garautha,Garautha
10,Krishna Kumar,Independent,15,4,10,8,5,4,7,5,4,9,19,7,6,5,6,10,9,10,5,10,8,14,6,3,4,7,0,10,7,9,5,1,Uttar Pradesh-Garautha,Garautha
11,Gyadeen,Independent,17,10,6,3,10,7,13,7,5,2,8,13,5,9,14,3,6,9,11,15,13,12,8,6,5,17,14,12,14,16,9,1,Uttar Pradesh-Garautha,Garautha
12,Pushpendra Singh,Independent,21,21,10,25,19,14,12,18,2,7,10,13,9,18,22,19,16,18,17,19,10,18,19,10,7,18,22,29,27,24,15,1,Uttar Pradesh-Garautha,Garautha
13,Prem Kumari Khangar,Independent,15,23,20,24,10,16,13,13,10,10,10,14,13,28,26,18,31,17,22,25,29,27,12,11,4,17,25,27,32,28,32,3,Uttar Pradesh-Garautha,Garautha
14,Manvendra Singh,Independent,46,31,27,31,31,40,37,32,26,31,33,20,37,28,32,34,45,21,32,37,36,55,37,11,24,38,43,35,70,45,49,1,Uttar Pradesh-Garautha,Garautha
15,NOTA,None of the Above,106,66,68,70,61,68,74,65,57,69,53,69,82,69,79,76,96,112,115,138,133,139,108,49,53,123,110,98,129,122,103,6,Uttar Pradesh-Garautha,Garautha
