O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,Nigar Fatma,Bahujan Samaj Party,105,84,209,292,232,110,191,167,341,267,446,203,301,459,558,481,720,491,562,533,482,416,583,674,566,539,893,92,Uttar Pradesh-Gaura,Gaura
2,Prabhat Kumar Verma,Bharatiya Janata Party,2843,3209,2258,2088,2201,1714,3466,2571,2423,3499,3647,2656,3105,2546,2658,3470,3146,2276,2966,2914,2330,2726,3230,2077,1926,2487,2844,101,Uttar Pradesh-Gaura,Gaura
3,Ram Pratap Singh,Indian National Congress,2374,2292,2108,2302,2509,1916,1414,1528,1071,960,1467,1549,862,706,1195,509,871,737,523,620,405,554,694,563,418,880,461,8,Uttar Pradesh-Gaura,Gaura
4,Sanjay Kumar,Samajwadi Party,710,325,1414,1141,801,668,1877,1865,2189,2335,2064,1334,1826,2005,1976,2325,2316,2021,2320,1945,2310,2107,2477,2495,2475,2011,2729,77,Uttar Pradesh-Gaura,Gaura
5,Ram Vilas,Jan Adhikar Party,25,25,24,28,17,12,19,26,27,36,41,17,40,41,41,63,32,36,36,39,37,35,39,41,45,72,39,1,Uttar Pradesh-Gaura,Gaura
6,Vijay Prakash,Shiv Sena,18,18,12,19,10,6,27,18,13,8,23,14,70,35,34,26,27,18,16,22,15,9,21,22,13,26,20,0,Uttar Pradesh-Gaura,Gaura
7,Shaym Narayan,Jansatta Dal Loktantrik,12,11,6,8,4,4,10,2,11,10,14,12,11,15,8,19,14,14,10,48,18,10,22,11,8,9,12,0,Uttar Pradesh-Gaura,Gaura
8,Sanjay Kumar Pathak,Aam Aadmi Party,12,13,9,10,12,7,13,12,11,17,24,12,18,21,19,11,14,14,10,13,14,12,19,13,11,8,14,0,Uttar Pradesh-Gaura,Gaura
9,Pramod Kumar,Independent,16,9,11,15,5,16,11,11,12,22,22,15,21,22,21,17,11,16,13,18,10,15,20,15,21,13,23,1,Uttar Pradesh-Gaura,Gaura
10,Shiv Kumar,Independent,49,47,51,63,36,40,44,30,26,39,56,40,46,46,54,45,39,33,22,40,27,31,47,31,27,35,31,3,Uttar Pradesh-Gaura,Gaura
11,Shiv Baran,Independent,23,23,27,20,17,18,47,20,23,45,41,24,30,39,43,31,27,23,28,34,18,29,45,37,18,28,22,3,Uttar Pradesh-Gaura,Gaura
12,NOTA,None of the Above,63,39,51,43,36,29,54,44,33,58,75,29,45,66,90,65,49,50,31,55,46,46,59,41,53,44,59,5,Uttar Pradesh-Gaura,Gaura
