O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,state_city,constituency_from_link
1,Atul Garg,Bharatiya Janata Party,4380,4210,5506,4268,4788,4382,4154,4161,2530,3593,3138,3487,2979,5457,4155,2452,2881,4837,4123,4155,4146,1516,140,971,3132,4187,2834,4114,4654,4885,4253,5507,3122,4423,4545,4278,4358,5341,3799,Uttar Pradesh-Ghaziabad,Ghaziabad
2,Krishan Kumar,Bahujan Samaj Party,679,1237,120,627,748,937,1027,417,963,1065,781,1306,1388,425,1238,2426,3064,1113,1294,380,1274,111,29,132,1394,1272,299,592,678,194,258,369,1534,729,472,929,728,151,174,Uttar Pradesh-Ghaziabad,Ghaziabad
3,Vishal Verma,Samajwadi Party,657,752,444,601,349,981,1007,922,1482,813,1990,1069,638,575,418,291,408,564,347,1276,348,4039,6282,5400,511,386,2949,608,488,1127,1500,420,1983,456,921,449,271,355,375,Uttar Pradesh-Ghaziabad,Ghaziabad
4,SUSHANT GOYAL,Indian National Congress,79,124,195,168,155,155,302,574,241,364,508,217,142,258,139,241,262,339,177,275,166,489,331,413,196,162,259,370,699,593,621,457,379,342,249,308,339,249,241,Uttar Pradesh-Ghaziabad,Ghaziabad
5,Naresh Kumar,Rashtriya Samaj Paksha,6,1,7,18,6,3,75,7,4,3,16,8,4,0,2,3,4,5,11,4,1,4,8,5,4,6,2,2,4,4,2,5,8,3,1,2,1,0,1,Uttar Pradesh-Ghaziabad,Ghaziabad
6,Nimit,Aam Aadmi Party,40,46,106,49,34,47,66,40,28,55,30,41,27,33,35,35,67,70,42,40,37,14,14,6,78,50,29,76,107,57,32,51,62,54,54,49,52,50,68,Uttar Pradesh-Ghaziabad,Ghaziabad
7,Pradeep Kumar Pathak,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),4,1,8,1,3,6,0,7,1,1,2,6,1,1,4,3,2,45,3,7,2,0,2,2,0,5,1,3,14,0,2,1,4,1,0,3,3,1,3,Uttar Pradesh-Ghaziabad,Ghaziabad
8,RAKESH SURI,Right to Recall Party,3,2,0,6,3,3,1,8,2,3,1,5,0,3,3,2,4,1,3,3,0,2,2,2,2,4,1,3,3,1,3,1,4,1,1,2,3,1,2,Uttar Pradesh-Ghaziabad,Ghaziabad
9,Amit Sharma,Independent,1,0,0,5,2,3,4,5,5,1,5,5,0,4,1,1,2,3,5,6,13,2,2,2,14,13,14,6,6,1,4,1,4,1,4,2,0,2,1,Uttar Pradesh-Ghaziabad,Ghaziabad
10,Ashutosh Gupta,Independent,5,15,0,4,2,8,7,8,4,0,12,6,4,4,2,5,5,7,5,4,2,3,2,2,0,4,2,2,3,2,0,0,6,1,1,1,1,2,2,Uttar Pradesh-Ghaziabad,Ghaziabad
11,Pintu Singh,Independent,531,40,0,1,5,13,11,18,14,1,12,4,2,8,1,6,5,2,7,4,6,6,7,4,4,3,7,3,1,2,1,1,8,3,2,3,4,2,1,Uttar Pradesh-Ghaziabad,Ghaziabad
12,Rajnish Kumar Thakur,Independent,9,7,2,1,4,4,5,14,2,1,2,4,1,2,1,3,3,4,2,2,2,1,2,7,2,2,2,0,3,3,3,1,7,2,2,1,1,1,1,Uttar Pradesh-Ghaziabad,Ghaziabad
13,Rani Dev Shree,Independent,11,9,2,10,17,17,8,9,11,7,12,38,4,5,4,14,8,4,14,29,5,7,3,6,5,6,8,3,6,2,4,6,14,4,1,10,2,1,4,Uttar Pradesh-Ghaziabad,Ghaziabad
14,Sudhir Kumar,Independent,11,6,1,7,11,9,8,9,7,4,7,6,5,4,7,9,14,16,27,8,5,9,4,3,8,8,8,4,5,6,2,4,12,5,5,8,1,1,2,Uttar Pradesh-Ghaziabad,Ghaziabad
15,NOTA,None of the Above,37,26,59,52,34,34,29,34,11,27,41,32,21,35,27,23,32,53,37,27,29,18,13,20,21,29,28,44,42,28,22,35,29,34,30,36,30,48,26,Uttar Pradesh-Ghaziabad,Ghaziabad
