O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Dr. Anil Kumar Maurya,Bharatiya Janata Party,3445,2905,3509,2974,2902,2610,2707,3064,3416,2801,3200,3007,3320,2486,2817,3501,2414,4239,4100,2855,2402,2955,2433,2848,3126,3405,3213,2310,2978,2879,2672,2827,2610,2190,Uttar Pradesh-Ghorawal,Ghorawal
2,Mohan Singh Kushwaha,Bahujan Samaj Party,684,1015,854,1268,2085,2238,1344,1129,1162,994,1621,1353,937,1275,1694,2135,2194,898,1285,872,1346,1092,1461,1441,1793,1226,1731,1218,1712,1521,1027,1738,1419,1052,Uttar Pradesh-Ghorawal,Ghorawal
3,Ramesh Chandra Dubey,Samajwadi Party,2250,2317,2019,2943,2491,2271,2486,2404,2176,2922,2471,2640,1349,1853,2461,1971,2155,1961,1809,2553,3157,2485,1831,2280,2370,2468,2414,1838,2423,2300,1891,2100,1887,1829,Uttar Pradesh-Ghorawal,Ghorawal
4,Videshwari Singh Rathore,Indian National Congress,321,401,219,149,183,105,116,116,94,131,204,254,1748,575,155,124,98,600,188,99,68,136,387,68,88,92,51,2338,714,100,65,199,109,76,Uttar Pradesh-Ghorawal,Ghorawal
5,ANITA,Janata Dal (United),24,19,13,10,14,8,15,18,11,21,29,14,37,8,8,23,9,26,25,14,12,8,10,10,9,16,19,52,30,11,6,13,10,6,Uttar Pradesh-Ghorawal,Ghorawal
6,Ramashankar,Aam Aadmi Party,10,18,13,17,6,10,6,6,13,10,5,12,21,9,15,10,10,15,26,21,12,14,6,10,18,16,27,20,18,11,6,8,19,5,Uttar Pradesh-Ghorawal,Ghorawal
7,RANI SINGH,Jan Adhikar Party,21,29,49,58,77,31,14,16,17,37,14,17,30,5,39,112,146,37,53,239,57,188,21,35,69,169,136,52,25,36,95,19,14,16,Uttar Pradesh-Ghorawal,Ghorawal
8,Ram Charan,"Rashtrawadi Party of India,",12,16,19,21,15,5,16,13,25,22,22,11,20,5,14,14,17,31,34,14,12,12,12,14,12,20,9,15,14,19,11,9,9,6,Uttar Pradesh-Ghorawal,Ghorawal
9,Surajeet Singh,Apna Dal (Kamerawadi),22,22,15,21,31,50,27,14,20,23,12,27,27,15,35,71,36,34,35,30,15,24,18,16,27,19,21,30,22,12,11,29,10,17,Uttar Pradesh-Ghorawal,Ghorawal
10,Suresh,Communist Party of India (Marxist-Leninist) (Liberation),25,27,37,65,22,26,13,23,45,127,43,36,40,18,21,20,20,46,37,17,20,25,15,40,37,41,41,55,32,27,5,17,15,11,Uttar Pradesh-Ghorawal,Ghorawal
11,Beerbal,Independent,54,60,53,80,58,55,22,39,55,53,50,51,34,30,30,39,29,92,84,31,53,32,29,36,44,33,40,53,75,40,31,30,19,27,Uttar Pradesh-Ghorawal,Ghorawal
12,Rajesh Kumar,Independent,136,92,63,76,69,111,48,54,75,68,65,95,69,42,45,90,70,125,111,144,96,114,65,75,96,81,84,50,75,92,306,64,42,41,Uttar Pradesh-Ghorawal,Ghorawal
13,NOTA,None of the Above,235,169,200,130,136,107,98,148,146,161,120,145,177,86,99,111,84,224,280,95,80,87,76,129,123,128,96,182,201,75,80,141,61,71,Uttar Pradesh-Ghorawal,Ghorawal
