O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,state_city,constituency_from_link
1,DARA SINGH CHAUHAN,Samajwadi Party,1980,2304,1707,1463,2545,3520,2666,2192,2096,2633,3470,3252,5054,2161,1902,2647,2310,3120,2370,2688,2783,3176,1758,2424,2784,5558,2403,4415,4733,3258,2885,2391,2927,2323,4565,3550,2511,471,37,315,Uttar Pradesh-Ghosi,Ghosi
2,PRIYANKA,Indian National Congress,39,66,51,35,24,90,60,63,41,48,53,29,40,57,126,84,58,95,55,73,43,48,33,59,34,38,46,53,64,57,65,61,39,38,31,42,51,7,0,2,Uttar Pradesh-Ghosi,Ghosi
3,VASIM EKBAL ALIAS CHUNNU,Bahujan Samaj Party,828,1058,881,2103,2437,1348,1436,1000,1096,1931,2126,745,1251,1903,1399,1446,1808,1991,1713,2033,1037,1412,814,1884,1507,1004,1385,862,712,1021,2259,1300,1081,1246,1091,2004,2368,409,8,16,Uttar Pradesh-Ghosi,Ghosi
4,VIJAY KUMAR RAJBHAR,Bharatiya Janata Party,2668,2506,3787,2225,1216,2048,2900,4057,3275,2701,1712,2309,1417,2932,2656,2599,2051,2239,2783,2166,2662,2036,3074,2080,1934,1282,2335,686,1594,3126,1764,3123,1440,1952,1796,1973,2218,258,260,54,Uttar Pradesh-Ghosi,Ghosi
5,DEENANATH,Vikassheel Insaan Party,66,31,59,45,11,33,69,79,36,29,6,34,19,33,42,40,26,34,41,39,52,33,57,36,27,13,35,12,16,27,23,44,20,29,23,21,62,4,8,0,Uttar Pradesh-Ghosi,Ghosi
6,PANKAJ KUMAR,Aam Aadmi Party,15,9,10,9,13,15,21,10,12,12,5,12,9,10,26,40,32,35,16,11,9,6,8,20,12,4,5,8,2,6,12,30,16,12,8,11,13,1,2,0,Uttar Pradesh-Ghosi,Ghosi
7,FUZAIL AHMAD,Peace Party,10,3,14,9,15,16,27,33,36,13,83,35,31,9,24,14,9,17,10,9,24,29,16,13,35,69,22,33,66,60,8,5,18,14,190,76,20,3,2,0,Uttar Pradesh-Ghosi,Ghosi
8,VIKRAM CHAUHAN,Janata Dal (United),21,10,17,10,6,7,13,50,22,26,4,11,10,12,27,15,11,37,29,13,42,21,15,15,5,5,19,9,5,10,12,27,12,10,7,18,17,2,1,2,Uttar Pradesh-Ghosi,Ghosi
9,HRIDYANARAYAN RAI,Watan Janta Party,15,13,12,23,15,15,15,7,14,17,16,15,11,15,30,26,16,29,14,13,26,14,20,33,13,13,53,13,7,22,20,17,29,37,8,16,29,1,0,0,Uttar Pradesh-Ghosi,Ghosi
10,KISHUNDEV CHAUHAN,Independent,11,9,11,6,7,11,14,15,7,11,9,4,9,9,19,15,10,19,48,11,18,13,9,14,8,7,14,8,8,15,4,8,11,8,14,14,20,1,0,0,Uttar Pradesh-Ghosi,Ghosi
11,NOTA,None of the Above,30,33,40,39,26,21,44,34,29,44,14,23,15,26,30,44,36,49,49,23,35,39,31,42,28,28,36,13,16,35,36,35,33,47,27,46,61,2,6,1,Uttar Pradesh-Ghosi,Ghosi
