O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,MOHD. ZAKI,Bahujan Samaj Party,353,203,218,175,104,103,90,101,72,81,94,165,752,90,161,228,213,193,232,154,204,301,123,159,170,131,128,171,275,195,86,Uttar Pradesh-Gonda,Gonda
2,PRATEEK BHUSHAN SINGH,Bharatiya Janata Party,3606,3331,4276,3761,3575,3064,2380,2440,2321,3192,1722,2129,1441,2577,3916,4138,3683,3685,3719,2786,3335,3282,3281,4344,3271,3715,3522,2399,2112,3341,1672,Uttar Pradesh-Gonda,Gonda
3,RAMA KASHYAP,Indian National Congress,160,116,127,108,49,62,44,30,44,37,35,50,38,55,89,115,118,124,125,127,145,125,67,71,89,135,103,70,71,114,52,Uttar Pradesh-Gonda,Gonda
4,SURAJ SINGH,Samajwadi Party,2977,2845,2220,2866,2203,2019,2659,3312,3140,2449,3916,3291,4451,1843,1819,2359,2912,2883,2798,3749,3822,3198,2423,2520,3276,2898,2072,3612,3635,3031,1763,Uttar Pradesh-Gonda,Gonda
5,AJAY KUMAR PRABHAKAR,Aam Aadmi Party,27,13,30,21,13,16,26,15,12,15,16,11,13,7,30,12,14,36,25,38,32,22,26,15,25,25,21,24,26,17,13,Uttar Pradesh-Gonda,Gonda
6,KALPRAM,Lok Janshakti Party(Ram Vilas),9,5,7,8,3,12,1,0,4,1,2,2,3,1,15,5,10,6,11,9,11,6,8,4,8,15,7,4,6,4,3,Uttar Pradesh-Gonda,Gonda
7,JAMAL AHMAD,Republican Sena,11,9,10,9,2,3,6,1,1,2,4,5,4,2,10,10,14,18,7,11,11,10,8,6,13,11,16,7,5,12,7,Uttar Pradesh-Gonda,Gonda
8,SANTOSH KUMAR,Naitik Party,21,11,17,3,11,5,3,1,4,3,2,7,9,5,11,15,18,14,18,21,16,17,13,9,19,20,10,13,9,19,9,Uttar Pradesh-Gonda,Gonda
9,KANHAIYA LAL,Independent,26,29,31,25,13,13,2,4,5,5,9,10,10,11,20,23,28,31,24,40,34,53,23,21,30,33,40,29,16,39,22,Uttar Pradesh-Gonda,Gonda
10,RAZIA BANO,Independent,15,14,19,8,7,6,4,6,7,3,6,8,6,5,14,17,13,16,17,20,15,30,16,9,19,20,19,12,18,13,6,Uttar Pradesh-Gonda,Gonda
11,RAM BHAWAN,Independent,7,8,14,7,3,8,2,2,4,0,3,2,5,1,8,11,4,10,8,11,13,11,4,9,7,13,16,11,15,5,5,Uttar Pradesh-Gonda,Gonda
12,SUNDARI PANDEY,Independent,10,6,16,7,3,1,2,1,1,3,2,1,2,4,14,14,16,22,17,36,7,13,10,13,8,8,9,7,6,12,6,Uttar Pradesh-Gonda,Gonda
13,SURAJ SINGH,Independent,21,17,11,10,8,5,5,5,5,3,2,9,9,7,10,22,17,16,19,22,23,21,15,10,16,21,17,16,19,14,19,Uttar Pradesh-Gonda,Gonda
14,SURYA MANI,Independent,16,13,14,13,3,2,1,4,5,3,1,5,5,6,13,18,12,21,15,22,16,17,23,11,11,22,17,20,6,14,9,Uttar Pradesh-Gonda,Gonda
15,SANJAY KUMAR,Independent,31,19,34,19,7,11,4,3,6,4,2,10,12,8,22,38,27,42,20,21,30,23,22,25,33,31,31,20,20,28,13,Uttar Pradesh-Gonda,Gonda
16,NOTA,None of the Above,44,33,52,27,19,27,26,16,19,18,16,26,19,20,30,52,37,53,29,35,43,37,25,36,38,47,39,29,41,28,19,Uttar Pradesh-Gonda,Gonda
