O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,ADITYANATH,Bharatiya Janata Party,5540,5348,5681,4652,6660,4904,5848,4678,4516,3573,4186,4724,5492,4494,6468,3746,4846,3976,3512,4192,5026,4758,4344,4772,4674,5751,4248,3032,4758,5198,5511,5518,5309,3026,1209,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
2,CHANDRA SHEKHAR,Aazad Samaj Party (Kanshi Ram),133,396,374,483,292,366,211,108,274,135,194,205,363,207,137,297,344,376,532,217,69,54,155,181,70,128,170,68,106,97,92,210,374,79,46,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
3,AJAI SHANKER SRIVASTAVA,Anarakshit Samaj Party,19,22,19,22,11,26,9,18,6,13,10,11,7,13,21,21,19,8,32,15,5,13,12,10,9,8,15,12,9,4,17,11,10,8,1,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
4,SANT DHARAMVEER CHOTIWALA,Independent,10,10,8,11,11,10,5,3,8,4,0,6,4,7,9,4,7,1,5,5,3,2,4,4,5,6,7,1,5,9,10,3,8,9,3,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
5,RAM DAVAN MAURYA,Right to Recall Party,12,45,26,32,22,21,10,5,16,8,12,7,12,14,17,9,27,16,19,12,2,5,1,2,8,7,12,7,4,10,8,13,51,11,4,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
6,JASKARAN RAJ,Janta Rakshak Party,8,23,16,9,8,9,3,3,1,3,3,6,7,3,6,5,11,4,1,7,2,2,2,5,9,6,12,2,5,2,4,1,39,5,1,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
7,QAZI MOHD. RASHID,Independent,3,8,4,8,3,7,8,0,2,6,1,1,5,6,8,5,8,2,7,3,3,7,3,2,6,1,6,5,3,8,6,3,5,4,2,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
8,SURAJ KUMAR YADAV,Independent,5,11,13,6,6,4,5,4,5,3,2,5,2,8,7,5,7,2,4,3,6,3,2,1,11,2,5,2,2,5,13,8,13,6,0,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
9,Dr. CHETNA PANDEY,Indian National Congress,60,75,91,46,93,71,80,104,90,58,130,222,112,86,64,56,53,28,97,67,53,63,69,55,90,100,70,58,138,107,90,80,111,45,30,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
10,VIJAY KUMAR SRIVASTAVA,Aam Aadmi Party,27,25,27,14,43,20,29,32,14,12,22,25,26,44,33,23,14,34,17,35,16,18,19,32,31,30,26,24,23,11,19,28,16,16,7,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
11,KHWAJA SHAMSUDDIN,Bahujan Samaj Party,343,376,323,435,348,590,292,134,310,168,148,181,336,211,182,130,331,51,175,203,88,102,124,213,130,229,79,101,149,311,160,333,404,174,76,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
12,SUBHAWATI UPENDRA DUTT SHUKLA,Samajwadi Party,1076,1404,1818,2330,1367,2427,1935,2275,1795,941,1096,1702,1209,2249,1300,3612,1962,2901,3804,1750,1109,1711,2275,2692,985,1526,2112,1105,1064,1669,1504,1355,1868,634,334,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
13,YUVRAJ SHARMA,Bharatiya Jan Jagriti Party,2,6,8,6,6,7,7,3,2,2,2,4,3,3,10,3,9,2,3,2,0,1,2,1,5,1,6,0,3,4,4,2,3,3,0,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
14,NOTA,None of the Above,56,43,51,41,43,35,42,38,32,35,28,37,38,38,41,30,51,15,22,30,25,22,29,26,44,26,25,23,24,33,45,32,42,38,7,Uttar Pradesh-Gorakhpur Urban,Gorakhpur Urban
