O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,UPENDRA KUMAR SINGH,Bahujan Samaj Party,1041,803,508,673,1130,631,1522,774,1603,936,1104,952,601,1128,1127,1039,1536,961,666,1134,1350,1337,1176,1325,779,1025,824,931,770,761,235,272,28,Uttar Pradesh-Gyanpur,Gyanpur
2,RAM KISHORE BIND,Samajwadi Party,1823,2877,2615,1807,2017,2477,1893,1727,2713,2476,3140,1668,909,1661,1697,1186,2097,1934,1970,1768,1430,1956,1606,2109,2882,2352,2404,2025,1865,2930,3071,1258,207,Uttar Pradesh-Gyanpur,Gyanpur
3,SURESH CHANDRA MISHRA,Indian National Congress,68,60,54,50,48,44,38,41,41,52,50,62,25,43,34,71,49,39,42,41,47,46,52,55,69,44,69,335,101,67,50,46,3,Uttar Pradesh-Gyanpur,Gyanpur
4,DHARMRAJ,Swarna Bharat Party,23,16,19,17,30,18,23,19,22,15,16,27,38,18,24,24,27,16,21,23,17,45,25,14,14,14,22,15,16,21,16,8,0,Uttar Pradesh-Gyanpur,Gyanpur
5,RAMDHANI,Bhartiya Manav Samaj Party,50,44,92,103,33,45,38,52,45,29,79,33,24,44,36,37,70,38,45,32,27,111,146,34,73,35,42,72,18,36,31,16,0,Uttar Pradesh-Gyanpur,Gyanpur
6,VIJAY MISHRA,Pragatisheel Manav Samaj Party,1371,1206,1712,1393,1170,1101,1225,1033,1063,851,598,1047,666,734,667,1199,1447,855,1032,1171,1210,1280,1238,1171,940,1318,1701,1123,1012,937,767,532,12,Uttar Pradesh-Gyanpur,Gyanpur
7,VIPUL DUBEY,Nirbal Indian Shoshit Hamara Aam Dal,2199,2156,1845,2166,2028,2110,2047,1888,1762,2049,2052,1931,3210,2963,2699,2382,2348,2387,2409,2852,2567,2121,2794,2080,1536,1618,2034,1599,2658,1778,3015,3927,41,Uttar Pradesh-Gyanpur,Gyanpur
8,SVATANTR KUMAR,Anjaan Aadmi Party,25,31,26,25,19,21,33,35,25,20,24,31,35,31,32,32,29,15,27,36,28,21,30,20,27,21,28,24,18,25,18,20,2,Uttar Pradesh-Gyanpur,Gyanpur
9,VIRENDRA TIRPATHI URF DABANG,Independent,46,38,45,35,28,42,38,34,55,29,31,29,40,58,51,68,49,44,48,51,41,42,43,41,47,34,36,47,28,39,22,30,3,Uttar Pradesh-Gyanpur,Gyanpur
10,NOTA,None of the Above,93,57,80,72,69,54,94,77,81,61,73,80,63,119,81,105,113,76,91,103,72,74,98,76,67,80,68,62,58,59,40,68,3,Uttar Pradesh-Gyanpur,Gyanpur
