O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,JAMAL ALAM,Communist Party of India,104,84,86,52,76,94,99,66,44,105,107,96,61,81,103,93,117,135,108,134,124,85,99,47,81,74,52,53,66,70,78,79,91,73,64,24,Uttar Pradesh-Hamirpur,Hamirpur
2,DR. MANOJ KUMAR,Bharatiya Janata Party,3165,2382,1798,3078,2621,2622,2800,3218,2914,2253,2845,3301,4565,4247,3780,2810,3039,3724,3104,3380,3057,2217,2823,1935,2867,2946,3537,1875,3278,3334,2764,3329,2821,2805,2796,1033,Uttar Pradesh-Hamirpur,Hamirpur
3,RAJKUMARI SINGH,Indian National Congress,581,284,484,400,321,549,583,705,627,889,357,516,443,417,810,731,921,818,513,735,691,438,490,229,295,170,234,163,225,213,225,249,294,400,252,121,Uttar Pradesh-Hamirpur,Hamirpur
4,RAM PRAKASH,Samajwadi Party,2224,2532,1997,1870,2361,2493,2087,2975,2172,1321,1053,1349,1417,1879,1851,1806,2026,2062,1699,2701,2487,2222,1995,2713,2485,2351,3069,4558,3283,1853,2698,1410,3228,1725,2794,487,Uttar Pradesh-Hamirpur,Hamirpur
5,RAM PHOOL NISHAD,Bahujan Samaj Party,1419,1183,1609,1793,2042,1712,1429,643,1384,2153,2028,1377,1338,1552,1401,2064,955,1086,1400,1184,1140,1476,990,585,1184,1410,594,919,840,1472,1258,1830,1259,1213,830,405,Uttar Pradesh-Hamirpur,Hamirpur
6,ANANTRAM,Bhartiya Shakti Chetna Party,30,39,32,28,38,51,70,24,37,46,56,87,78,82,80,94,79,92,54,82,63,107,58,18,29,39,32,19,20,56,33,48,36,52,52,32,Uttar Pradesh-Hamirpur,Hamirpur
7,BHAVANEEDEEN,Rashtriya Shoshit Samaj Party,28,30,30,27,27,28,37,19,30,40,23,23,20,23,44,36,40,48,26,49,35,31,48,18,20,20,7,15,12,31,37,26,20,34,24,6,Uttar Pradesh-Hamirpur,Hamirpur
8,RAJENDRA KUMAR,Desh Shakti Party,33,25,38,16,23,35,38,16,12,31,20,19,21,28,39,38,30,40,42,56,26,27,71,12,25,23,15,9,16,36,23,30,21,28,26,11,Uttar Pradesh-Hamirpur,Hamirpur
9,VIJAY DWIVEDI,Jan Adhikar Party,22,253,144,50,44,63,86,38,49,21,34,34,37,130,66,160,179,51,57,459,199,232,353,140,122,44,89,90,110,425,133,79,24,116,52,7,Uttar Pradesh-Hamirpur,Hamirpur
10,NOTA,None of the Above,65,79,53,56,65,67,89,44,47,54,64,65,51,75,111,84,74,69,115,112,106,77,85,41,69,51,45,30,41,82,84,82,59,72,58,28,Uttar Pradesh-Hamirpur,Hamirpur
