O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,RAKESH SINGH,Bharatiya Janata Party,3273,3217,2118,2741,2966,2542,2375,2732,2674,2149,2961,3095,2605,2956,2529,2584,3350,3199,2957,2829,2306,3783,2738,3701,3940,3050,2174,205,Uttar Pradesh-Harchandpur,Harchandpur
2,RAHUL RAJPOOT,Samajwadi Party,3188,2950,3161,3811,2481,3014,2963,3073,3338,4179,3326,3014,4299,3454,4215,4029,3834,3299,3267,3737,3353,2957,3574,3697,3944,3377,2006,436,Uttar Pradesh-Harchandpur,Harchandpur
3,SHER BAHADUR,Bahujan Samaj Party,156,250,322,286,207,345,307,226,191,165,381,256,211,464,593,205,270,147,175,382,356,143,318,220,169,279,270,9,Uttar Pradesh-Harchandpur,Harchandpur
4,SURENDRA VIKRAM SINGH,Indian National Congress,498,522,434,691,1069,1026,489,508,529,312,658,500,295,466,605,354,472,671,611,1195,1361,363,356,374,551,976,257,45,Uttar Pradesh-Harchandpur,Harchandpur
5,GIRJA SHANKAR,Sabka Dal United,15,17,20,47,31,22,24,16,19,13,21,12,16,21,24,14,14,10,11,31,33,15,7,24,28,30,10,4,Uttar Pradesh-Harchandpur,Harchandpur
6,RAM MOHAN SAHU,Parivartan Samaj Party,24,11,11,14,14,20,22,7,18,18,20,19,16,17,21,9,11,13,9,22,15,11,13,21,24,14,10,0,Uttar Pradesh-Harchandpur,Harchandpur
7,RAM SWAROOP,Bahujan Mukti Party,11,8,4,8,5,5,8,8,8,5,12,8,6,9,13,7,7,6,8,12,9,2,7,6,7,13,5,2,Uttar Pradesh-Harchandpur,Harchandpur
8,VIMAL KISHOR,Aam Aadmi Party,9,33,41,30,15,18,49,19,19,3,13,23,17,16,8,4,7,17,6,10,27,2,5,15,3,12,3,0,Uttar Pradesh-Harchandpur,Harchandpur
9,SUSHMA,Log Party,4,5,14,13,8,9,10,8,3,6,13,9,12,10,16,8,8,6,5,12,10,10,3,14,27,83,8,2,Uttar Pradesh-Harchandpur,Harchandpur
10,ASHOK KUMAR,Independent,8,5,13,8,6,4,13,11,4,9,3,5,9,8,7,7,8,4,5,13,15,8,7,10,3,12,8,0,Uttar Pradesh-Harchandpur,Harchandpur
11,BACHCHU LAL,Independent,16,8,16,8,10,17,11,9,7,12,12,13,6,6,12,8,9,9,4,10,16,6,7,13,6,16,5,3,Uttar Pradesh-Harchandpur,Harchandpur
12,RAKESH KUMAR,Independent,16,14,21,20,20,18,20,15,16,14,14,17,14,14,14,10,21,14,20,18,24,19,12,17,25,43,13,1,Uttar Pradesh-Harchandpur,Harchandpur
13,RAHUL KUMAR,Independent,31,11,21,29,18,22,27,26,24,29,37,25,32,25,21,19,26,26,21,29,21,12,14,19,36,26,15,3,Uttar Pradesh-Harchandpur,Harchandpur
14,RUPESH CHANDRA VISHWAKARMA,Independent,78,41,49,74,42,43,35,39,38,79,83,79,100,57,40,70,54,72,70,53,54,49,53,65,85,56,35,6,Uttar Pradesh-Harchandpur,Harchandpur
15,NOTA,None of the Above,91,95,67,90,56,72,61,61,80,84,88,102,124,70,99,95,128,102,93,71,81,108,54,105,132,128,63,9,Uttar Pradesh-Harchandpur,Harchandpur
