O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,AJAY SINGH,Bharatiya Janata Party,1935,2317,2876,2188,1977,2020,2206,1911,1908,2755,2372,2616,3430,3017,2689,2719,3009,2271,2806,2850,3137,2793,3374,2735,2596,2410,2291,2633,2382,2761,2064,2030,1943,2304,1840,300,210,256,Uttar Pradesh-Harraiya,Harraiya
2,TARAYAMBAK NATH,Samajwadi Party,2290,1883,2049,2419,2406,2350,1748,2347,2617,2020,2216,1822,2343,1844,2005,2027,1601,1554,1807,1289,1483,1666,1763,1657,1944,2131,2071,2021,1497,1497,1955,2366,2131,1996,1783,83,199,137,Uttar Pradesh-Harraiya,Harraiya
3,RAJ KISHOR SINGH,Bahujan Samaj Party,1669,1827,1445,876,1408,1509,1402,1209,1571,1639,1188,1332,859,1279,1601,1498,1347,1155,1698,1442,1620,1300,1509,1816,1983,1934,1596,1865,2212,2091,1963,1752,2113,1800,1557,144,91,140,Uttar Pradesh-Harraiya,Harraiya
4,LABONI SINGH,Indian National Congress,55,44,48,42,36,39,52,55,52,77,55,46,31,39,70,60,49,63,266,69,51,45,47,39,34,65,46,46,59,67,48,41,53,54,44,0,3,11,Uttar Pradesh-Harraiya,Harraiya
5,DEEP KUMAR,Vikassheel Insaan Party,189,7,10,6,11,14,30,13,15,6,47,39,30,20,22,37,65,107,35,182,29,61,37,102,46,25,19,20,14,12,12,20,13,9,36,1,0,0,Uttar Pradesh-Harraiya,Harraiya
6,SURESH KUMAR SINGH,Aam Aadmi Party,24,11,18,2,12,10,11,9,15,11,12,13,11,19,10,5,14,10,9,10,11,16,12,23,5,13,6,10,12,12,12,9,12,23,13,1,2,0,Uttar Pradesh-Harraiya,Harraiya
7,ADYA SHARAN CHAUDHARY,Independent,17,13,14,8,13,10,15,9,9,18,13,14,10,13,12,12,11,9,16,11,9,7,7,12,8,27,10,11,15,7,18,12,8,16,14,1,0,1,Uttar Pradesh-Harraiya,Harraiya
8,CHANDRAMANI (SUDAMA JI),Independent,18,20,27,8,23,24,22,11,24,8,32,32,21,16,18,24,71,22,38,17,33,20,34,21,15,107,44,43,68,45,34,23,30,28,21,0,1,2,Uttar Pradesh-Harraiya,Harraiya
9,SHRAVAN KUMAR,Independent,19,22,13,10,26,16,21,16,12,16,29,30,10,18,23,7,14,21,13,12,15,27,25,14,11,14,12,19,26,8,23,15,12,19,12,0,1,2,Uttar Pradesh-Harraiya,Harraiya
10,NOTA,None of the Above,56,48,54,32,44,35,50,30,34,60,45,66,51,61,62,40,34,54,42,41,52,61,62,59,48,54,42,51,43,39,46,58,40,44,44,7,6,8,Uttar Pradesh-Harraiya,Harraiya
