O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,AASIM SABRI,Indian National Congress,439,59,32,39,27,34,40,36,36,35,25,38,45,31,38,47,32,46,47,38,53,42,60,68,41,48,73,158,17,2,2,Uttar Pradesh-Hasanpur,Hasanpur
2,PHIRERAM,Bahujan Samaj Party,2314,875,942,2141,381,308,612,339,1339,1648,1264,1718,1861,1968,2187,1380,1432,867,687,549,1722,2142,2213,364,1437,523,818,1155,798,10,84,Uttar Pradesh-Hasanpur,Hasanpur
3,MAHENDRA,Bharatiya Janata Party,3333,5305,6383,4696,4723,1912,2855,4204,5457,5354,1708,2810,2807,4205,4379,5333,4653,4636,7035,6076,4953,5429,4315,1616,4878,2362,1528,2456,3374,544,522,Uttar Pradesh-Hasanpur,Hasanpur
4,MUKHYA GURJAR,Samajwadi Party,2194,2442,1859,2103,4040,6767,5225,4534,3316,2326,5435,4915,4136,2597,2048,1527,1781,2593,1820,1883,2410,1568,1663,6508,3488,5701,5364,5335,1503,130,189,Uttar Pradesh-Hasanpur,Hasanpur
5,ABRAR AHMAD,Aazad Samaj Party (Kanshi Ram),12,21,18,35,31,54,36,41,33,42,38,110,34,58,41,27,35,31,29,22,41,38,23,35,55,31,55,34,13,1,1,Uttar Pradesh-Hasanpur,Hasanpur
6,AMAR SINGH,Aam Aadmi Party,4,10,97,37,15,7,18,27,11,9,9,12,7,10,12,13,21,12,10,27,11,28,15,11,25,16,9,12,4,1,0,Uttar Pradesh-Hasanpur,Hasanpur
7,AHTESHAM RZA HASHMI,All India Majlis-E-Ittehadul Muslimeen,33,213,28,58,397,267,211,844,55,9,219,237,46,22,19,11,20,9,13,13,66,40,8,651,245,396,681,113,26,0,11,Uttar Pradesh-Hasanpur,Hasanpur
8,OMKAR,Lok Dal,7,12,5,4,4,1,6,7,12,9,5,6,2,10,11,10,5,8,10,11,5,9,16,8,4,6,1,4,5,0,0,Uttar Pradesh-Hasanpur,Hasanpur
9,KAMAL SINGH,Rashtriya Parivartan Dal,7,11,10,11,5,2,4,5,7,16,8,13,5,13,12,7,8,10,12,10,7,11,15,10,9,7,4,10,8,0,2,Uttar Pradesh-Hasanpur,Hasanpur
10,ABDUL KHALIQ,Naki Bharatiya Ekta Party,19,16,30,41,10,9,9,20,30,30,21,13,12,21,26,23,23,25,22,30,18,17,21,21,33,14,12,15,14,0,1,Uttar Pradesh-Hasanpur,Hasanpur
11,VIKAR AHMAD,Vikas India Party,28,20,33,23,9,21,12,26,47,33,24,18,19,15,31,23,19,33,22,20,24,22,33,32,42,27,13,18,19,1,0,Uttar Pradesh-Hasanpur,Hasanpur
12,ANGOORI,Independent,59,61,88,103,28,28,14,82,71,70,53,45,42,36,62,47,47,83,75,71,52,58,85,38,75,56,30,40,45,1,5,Uttar Pradesh-Hasanpur,Hasanpur
13,SURAJ,Independent,63,47,122,497,23,15,18,131,96,80,32,34,36,42,33,28,41,39,36,57,29,51,80,25,150,31,15,30,24,0,1,Uttar Pradesh-Hasanpur,Hasanpur
14,NOTA,None of the Above,40,37,48,32,42,26,31,51,49,73,55,38,22,26,57,59,56,63,60,49,47,44,49,35,40,34,45,38,27,1,5,Uttar Pradesh-Hasanpur,Hasanpur
