O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,OM PRAKASH PANDEY,Bharatiya Janata Party,2629,2323,2503,1426,1755,2513,2568,2562,2758,2332,2329,1935,2857,3130,1725,3275,3418,3663,2590,2204,2200,2136,1549,1369,1891,2744,1713,2442,1513,881,225,20,Uttar Pradesh-Isauli,Isauli
2,MOHD TAHIR KHAN,Samajwadi Party,2475,2735,2366,3471,2710,2694,2019,1450,1451,1642,1419,2769,1326,1973,3448,2179,1060,1164,2493,2184,1864,2080,3840,3482,3239,1688,2322,2991,3175,1413,120,52,Uttar Pradesh-Isauli,Isauli
3,BRIJMOHAN,Indian National Congress,73,57,79,59,66,57,58,67,64,44,71,54,108,99,116,95,60,76,67,70,72,81,76,111,89,110,155,55,61,53,2,0,Uttar Pradesh-Isauli,Isauli
4,YASH BHADRA SINGH,Bahujan Samaj Party,2021,1618,2058,1381,1763,1286,2329,3440,3376,2629,2953,1899,1618,1456,1272,1318,2274,1920,2007,1518,1683,1194,1257,1292,1463,1986,1721,1337,953,720,154,98,Uttar Pradesh-Isauli,Isauli
5,ASHOK KUMAR,Apna Desh Party,41,19,25,12,27,29,29,52,51,30,42,28,26,22,17,13,26,30,19,20,21,19,20,20,28,21,22,21,15,8,3,1,Uttar Pradesh-Isauli,Isauli
6,FIRADAUS BANO,Aam Aadmi Party,24,19,14,10,8,11,18,27,24,22,14,24,14,9,11,10,7,14,5,13,9,10,24,10,10,15,18,17,22,4,0,1,Uttar Pradesh-Isauli,Isauli
7,MAHJAHAR,All India Majlis-E-Ittehadul Muslimeen,31,93,37,51,75,75,72,34,56,36,86,115,27,54,277,64,31,27,134,56,131,43,228,299,159,93,96,222,421,53,0,129,Uttar Pradesh-Isauli,Isauli
8,NUTAN PANDEY,Independent,23,10,19,14,9,18,14,13,29,24,16,21,7,7,17,10,14,16,9,14,15,15,13,12,9,19,20,12,13,4,1,1,Uttar Pradesh-Isauli,Isauli
9,FIROZ KHAN,Independent,47,23,35,19,24,19,26,27,47,34,24,24,23,16,25,22,21,35,30,19,23,25,33,18,20,21,26,23,27,3,1,1,Uttar Pradesh-Isauli,Isauli
10,NOTA,None of the Above,73,53,62,34,46,39,71,67,98,68,66,61,62,43,45,52,54,76,51,47,51,53,38,47,35,44,63,61,46,13,4,0,Uttar Pradesh-Isauli,Isauli
