O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,JITENDAR KUMAR,Bahujan Samaj Party,244,284,520,331,455,363,211,314,316,334,198,224,196,206,283,608,600,712,629,284,316,559,67,179,262,276,201,297,189,452,76,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
2,VIJAY KUMAR,Indian National Congress,1967,1860,2391,2151,1718,1959,2807,2096,2349,2994,3286,2559,2907,2629,1480,1092,841,634,652,1619,2333,2582,3314,2981,2619,2904,2055,1764,2541,2815,429,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
3,VIMLESH KUMARI,Samajwadi Party,698,1001,1101,995,896,723,794,1325,924,1018,645,648,755,1247,1095,1282,1349,1166,925,902,872,793,840,921,562,971,1151,1068,518,374,198,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
4,SURESH KUMAR,Bharatiya Janata Party,3926,2957,2174,2926,3617,3074,2038,3070,2613,2375,3126,2748,3636,2930,2947,3690,2272,2586,2525,3041,3059,3099,2619,3028,3265,3437,3040,2757,2805,2998,733,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
5,TILAK RAJ,Aam Aadmi Party,67,63,46,84,46,45,45,58,64,41,71,51,70,53,57,105,30,63,116,86,60,68,32,56,57,70,69,59,51,65,15,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
6,DINESH KUMAR,Janata Dal (United),8,10,12,15,11,11,5,21,8,12,8,11,19,8,12,14,7,9,15,18,15,13,7,8,10,14,8,21,9,5,2,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
7,BABULAL,India Praja Bandhu Party,8,6,6,12,6,4,3,12,6,9,10,5,8,13,11,9,5,14,12,11,13,10,28,3,10,14,10,7,7,17,1,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
8,SIYARAM,Vikassheel Insaan Party,12,13,16,14,10,6,6,14,17,9,11,9,2,12,16,12,7,13,16,11,7,40,4,9,15,16,12,14,9,15,3,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
9,PUTTI LAL,Independent,56,47,34,71,33,37,27,42,41,47,54,35,30,63,41,47,25,37,44,48,43,36,34,39,37,48,58,45,42,50,5,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
10,MAHENDRA RAWAT,Independent,65,56,33,69,38,55,27,44,48,42,30,42,41,61,52,55,24,47,47,46,51,60,18,38,35,70,55,43,32,55,14,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
11,SHUSHIL KUMAR,Independent,22,23,24,33,19,22,13,20,23,27,17,21,26,28,25,31,20,20,28,22,29,23,9,23,28,27,19,19,14,30,5,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
12,HARISHCHANDRA,Independent,31,37,25,57,30,38,21,30,34,51,42,19,33,39,36,22,20,20,25,26,38,49,13,32,42,50,39,27,24,29,3,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
13,NOTA,None of the Above,77,104,84,98,89,67,53,64,68,81,76,58,53,79,75,70,42,45,50,64,78,77,39,60,72,58,75,53,78,66,5,0,Uttar Pradesh-Jagdishpur,Jagdishpur 
