O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,AJAY RAJBHAR,Indian National Congress,49,48,52,38,91,45,81,69,46,46,77,66,48,58,47,30,27,39,52,34,50,59,57,35,50,50,57,40,59,60,Uttar Pradesh-Jangipur,Jangipur
2,DR. MUKESH SINGH,Bahujan Samaj Party,1785,1391,1645,1379,1503,1737,1070,1854,2629,2435,2117,2376,2360,1632,1271,1391,1617,2097,2090,1642,2002,965,1002,1254,1193,881,1310,1064,827,1029,Uttar Pradesh-Jangipur,Jangipur
3,RAM NARESH KUSHWAHA,Bharatiya Janata Party,2100,1560,1378,2441,2615,2207,2475,1847,2452,1572,1807,2212,1695,1854,2487,3267,1837,1678,2235,2266,1919,3517,3008,2865,1695,3072,2770,2534,2675,1494,Uttar Pradesh-Jangipur,Jangipur
4,DR. RAM BADAN SINGH,Communist Party of India,68,48,44,104,104,69,72,58,77,73,54,130,71,58,58,73,44,68,78,64,65,85,72,62,56,85,78,68,88,57,Uttar Pradesh-Jangipur,Jangipur
5,VIRENDRA KUMAR YADAV,Samajwadi Party,3253,3800,1959,3056,3472,3258,3809,3189,2535,3250,3458,3038,4423,4259,4555,3226,3106,3621,3047,3618,3923,4401,4101,3330,4172,3444,2596,3185,2900,2107,Uttar Pradesh-Jangipur,Jangipur
6,KALICHARAN SINGH YADAV,Aam Aadmi Party,17,18,17,15,33,28,33,24,22,25,25,28,23,24,33,22,41,34,16,23,15,23,23,25,23,29,31,23,37,5,Uttar Pradesh-Jangipur,Jangipur
7,JAI SINGH,Aazad Samaj Party (Kanshi Ram),12,11,9,7,40,12,17,16,14,11,29,16,5,19,16,15,19,9,37,15,20,9,11,8,11,18,9,11,10,7,Uttar Pradesh-Jangipur,Jangipur
8,DUNIYA RAM,Bahujan Mukti Party,6,7,9,6,8,7,10,7,5,8,6,26,5,9,9,3,7,4,16,6,6,7,6,8,4,11,7,10,19,4,Uttar Pradesh-Jangipur,Jangipur
9,MANISH KUMAR CHAUDHARY,Vikassheel Insaan Party,8,9,5,6,16,5,8,5,35,10,9,40,41,11,9,13,9,9,24,49,5,24,28,45,9,102,40,16,19,4,Uttar Pradesh-Jangipur,Jangipur
10,YOGENDRA KUSHWAHA,Jan Adhikar Party,49,52,50,20,48,36,21,10,31,36,26,85,54,189,69,153,212,116,264,85,85,105,72,102,244,207,7,28,104,23,Uttar Pradesh-Jangipur,Jangipur
11,HARINDAR,Sarv Rajya Party,18,5,44,12,9,17,11,13,13,15,3,16,10,6,13,10,15,16,42,26,10,5,13,14,7,10,8,8,10,15,Uttar Pradesh-Jangipur,Jangipur
12,MANJU LATA,Independent,18,10,9,15,18,14,13,14,18,16,16,21,8,21,16,13,14,20,16,10,9,18,13,10,13,22,15,6,17,11,Uttar Pradesh-Jangipur,Jangipur
13,RAM BACHAN SINGH YADAV,Independent,36,60,17,41,78,43,79,47,46,55,50,73,30,29,26,15,30,41,35,22,21,11,17,9,24,34,13,11,19,29,Uttar Pradesh-Jangipur,Jangipur
14,NOTA,None of the Above,33,27,23,44,57,24,46,59,50,49,37,55,34,37,38,33,30,42,46,39,31,43,43,43,30,41,39,32,25,30,Uttar Pradesh-Jangipur,Jangipur
