O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,AVTAR SINGH BHADANA,Rashtriya Lok Dal,1011,726,3426,3775,2516,1660,2178,3120,2219,2083,2169,2489,2196,3468,1992,480,1251,2282,1121,654,1759,966,1007,731,2014,2095,3372,2971,2235,2359,392,Uttar Pradesh-Jewar,Jewar
2,DHIRENDRA SINGH,Bharatiya Janata Party,3802,4548,3278,2473,2659,3298,2826,2489,2202,3580,5178,4039,3967,1605,5699,4069,4017,5291,3857,4403,5479,4971,3187,5479,4427,3397,3464,4601,3751,4084,635,Uttar Pradesh-Jewar,Jewar
3,NARENDER KUMAR,Bahujan Samaj Party,1306,1143,1430,1548,1235,1203,1479,2040,1865,2458,1171,1243,1193,1486,1650,2606,1166,336,2265,1123,1590,2320,2222,1710,1444,1314,751,1302,1669,563,320,Uttar Pradesh-Jewar,Jewar
4,MANOJ,Indian National Congress,167,229,169,108,343,125,142,148,404,164,68,83,80,94,68,37,53,55,71,21,39,53,110,29,53,32,50,105,38,30,14,Uttar Pradesh-Jewar,Jewar
5,NEERU WALIA,Sarv Samaj Party,6,7,2,27,7,7,7,9,14,12,14,8,12,4,11,10,20,15,6,7,11,10,9,4,7,4,13,5,4,5,0,Uttar Pradesh-Jewar,Jewar
6,POONAM,Aam Aadmi Party,35,69,5,14,14,10,16,24,11,18,36,14,29,29,26,9,11,12,14,71,19,15,9,11,13,8,11,13,15,6,2,Uttar Pradesh-Jewar,Jewar
7,MANOJ KUMAR SHARMA,Loktantrik Janshakti Party,2,11,6,7,3,5,5,6,9,2,10,5,2,5,4,5,10,12,3,1,3,1,2,5,8,5,14,9,0,8,0,Uttar Pradesh-Jewar,Jewar
8,TRILOK CHAND SHARMA,Independent,3,3,13,6,9,6,12,8,6,10,8,9,7,8,12,4,5,15,12,3,12,2,8,5,6,13,9,8,5,3,2,Uttar Pradesh-Jewar,Jewar
9,DHANIRAM,Independent,5,0,27,14,73,8,20,18,98,10,9,9,3,9,6,5,8,7,6,5,8,3,3,1,5,6,8,4,2,8,1,Uttar Pradesh-Jewar,Jewar
10,VIJAY,Independent,4,2,11,10,8,6,12,15,11,9,8,8,7,9,9,13,10,8,6,4,8,10,11,8,7,5,6,5,2,3,1,Uttar Pradesh-Jewar,Jewar
11,VEER SINGH,Independent,13,10,26,19,24,13,26,20,19,44,29,18,25,28,27,41,41,15,31,17,25,39,26,27,87,28,14,34,19,15,7,Uttar Pradesh-Jewar,Jewar
12,SUNIL GAUTAM,Independent,12,6,41,27,33,25,26,25,21,35,53,40,32,34,65,42,43,64,28,37,40,44,27,28,40,27,15,38,23,21,9,Uttar Pradesh-Jewar,Jewar
13,NOTA,None of the Above,43,53,73,62,52,56,46,65,47,72,56,54,63,78,87,36,57,81,40,49,88,56,50,39,53,53,40,77,26,34,6,Uttar Pradesh-Jewar,Jewar
