O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,ANAND KUMAR,Samajwadi Party,3328,2654,3523,2225,1906,1839,4490,3590,4394,3805,3507,3398,2273,3322,2808,3875,3366,3257,3484,2792,3242,3018,2828,2880,3486,2552,2353,2588,4008,4387,2544,2925,1929,183,Uttar Pradesh-Kaiserganj,Kaiserganj
2,GEETA DEVI,Indian National Congress,67,35,62,79,64,57,41,47,39,36,52,84,79,81,57,42,55,56,66,56,44,61,54,49,53,57,61,46,26,30,50,45,53,5,Uttar Pradesh-Kaiserganj,Kaiserganj
3,GAURAV VERMA,Bharatiya Janata Party,3853,3433,3452,4381,5113,4522,2045,2758,2490,1891,3006,2994,4393,3108,3202,1676,1695,2620,3079,2061,1705,2784,2693,2256,1890,4027,3440,3278,2008,1532,2287,2069,2786,758,Uttar Pradesh-Kaiserganj,Kaiserganj
4,BAQAULLAH,Bahujan Samaj Party,292,664,279,490,388,361,174,306,102,161,376,556,407,516,319,178,571,399,854,295,561,422,1528,766,538,383,252,472,203,156,279,248,280,41,Uttar Pradesh-Kaiserganj,Kaiserganj
5,MOHMMAD ASLAM,SOCIAL DEMOCRATIC PARTY OF INDIA,22,20,12,33,28,19,11,19,8,21,25,35,21,19,16,14,15,16,47,23,24,31,43,53,37,32,22,25,84,142,30,21,20,0,Uttar Pradesh-Kaiserganj,Kaiserganj
6,MO BILAL ANSARI,All India Majlis-E-Ittehadul Muslimeen,24,8,69,21,18,35,189,42,165,30,54,44,15,36,109,166,89,125,40,12,230,231,126,184,226,114,333,325,581,558,323,175,52,9,Uttar Pradesh-Kaiserganj,Kaiserganj
7,SRIKANT GUPTA,Rashtriya Bhagidari Party,4,13,4,12,15,7,4,3,8,4,17,20,9,9,10,10,5,14,26,15,9,23,39,11,14,15,19,27,17,13,20,9,18,0,Uttar Pradesh-Kaiserganj,Kaiserganj
8,MOHD. SALMAN,Aam Aadmi Party,8,10,6,8,7,8,3,3,6,6,7,7,9,90,6,10,10,24,18,11,20,7,9,6,8,6,7,8,7,9,11,1,13,1,Uttar Pradesh-Kaiserganj,Kaiserganj
9,HAJRATDEEN ANSARI,Jansatta Dal Loktantrik,7,6,12,13,10,10,10,7,0,2,0,11,8,14,8,10,3,9,15,5,19,14,8,5,7,9,10,20,50,8,4,8,13,1,Uttar Pradesh-Kaiserganj,Kaiserganj
10,HARISHCHANDRA VISHWAKARMA,Moulik Adhikar Party,7,9,3,10,9,7,0,4,4,6,8,12,11,9,9,9,13,6,25,4,10,3,11,5,4,8,11,4,13,9,4,13,15,2,Uttar Pradesh-Kaiserganj,Kaiserganj
11,BABU LAL,Independent,10,6,6,20,13,10,8,5,8,14,7,21,17,10,7,8,10,13,23,17,33,26,15,10,10,21,30,22,16,12,26,12,15,1,Uttar Pradesh-Kaiserganj,Kaiserganj
12,MUNNI,Independent,15,12,8,18,22,12,7,11,5,13,12,33,20,18,10,7,14,17,29,11,28,29,30,20,14,12,19,16,10,13,12,15,16,4,Uttar Pradesh-Kaiserganj,Kaiserganj
13,LALLI RAM,Independent,24,30,12,34,39,30,19,32,18,21,18,40,47,37,33,28,16,24,39,22,28,49,35,38,22,44,45,33,15,24,22,19,25,6,Uttar Pradesh-Kaiserganj,Kaiserganj
14,VINOD KUMAR,Independent,16,29,21,29,31,21,17,22,16,13,13,41,32,28,23,16,14,29,37,18,40,17,15,24,21,33,38,37,16,23,17,18,29,1,Uttar Pradesh-Kaiserganj,Kaiserganj
15,NOTA,None of the Above,93,88,51,91,81,69,59,74,52,70,89,125,68,104,66,64,44,64,128,106,66,73,76,75,67,69,68,91,48,67,45,63,63,7,Uttar Pradesh-Kaiserganj,Kaiserganj
