O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,state_city,constituency_from_link
1,UMAKANTI,Indian National Congress,108,133,147,285,206,120,131,172,157,167,240,408,304,341,373,359,885,1017,1745,872,631,709,922,777,674,182,345,232,345,234,582,134,348,436,163,227,24,Uttar Pradesh-Kalpi,Kalpi
2,VINOD CHATURVEDI,Samajwadi Party,1911,1358,2064,1968,1940,2378,1531,1516,1047,1954,2569,1650,1576,2225,1724,2305,614,613,432,1546,871,3529,2673,3306,1747,2000,1918,2811,1937,1664,2556,1622,2908,2462,1802,2031,302,Uttar Pradesh-Kalpi,Kalpi
3,SHYAM PAL,Bahujan Samaj Party,1636,1686,1424,2158,1486,1491,1929,1856,1577,2524,2009,1947,1654,2392,2157,1756,1901,1444,1881,1715,1500,755,661,771,2302,2095,2513,2836,1695,1705,1524,1790,1770,1772,1649,2048,424,Uttar Pradesh-Kalpi,Kalpi
4,ARUN KUMAR,Desh Shakti Party,42,19,22,27,29,22,25,24,28,23,35,31,27,18,34,36,25,35,27,40,39,15,5,25,39,34,39,40,46,29,16,24,39,37,35,38,17,Uttar Pradesh-Kalpi,Kalpi
5,CHHOTE SINGH,Nirbal Indian Shoshit Hamara Aam Dal,2227,1943,1130,2256,1680,1855,2331,1966,3320,1418,1703,1858,2192,713,2139,1259,2051,3064,1214,1884,3287,1864,2168,2201,1415,1412,1473,615,1795,1442,864,1672,1716,2284,2497,1306,525,Uttar Pradesh-Kalpi,Kalpi
6,JISHAN,Jan Adhikar Party,13,22,32,27,60,93,35,22,23,184,112,35,45,22,41,62,37,50,24,110,45,35,62,53,62,35,142,36,39,38,169,28,44,80,145,385,18,Uttar Pradesh-Kalpi,Kalpi
7,RAIS AHMAD,RASHTRIYA VIKLANG PARTY,2,3,2,7,8,11,6,7,16,6,11,11,4,7,20,6,7,10,2,9,13,4,2,9,11,8,14,7,14,11,10,8,14,10,12,13,3,Uttar Pradesh-Kalpi,Kalpi
8,RAJIV KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),9,12,9,5,9,9,10,7,9,13,13,19,3,7,41,11,41,15,5,14,13,4,6,7,42,9,10,4,41,75,9,9,9,34,21,14,2,Uttar Pradesh-Kalpi,Kalpi
9,ROHIT TRIPATHI,"Rashtrawadi Party of India,",14,11,7,8,8,7,21,13,13,14,14,18,6,8,31,14,12,12,4,14,24,6,16,6,21,11,20,2,30,23,13,9,19,16,15,12,3,Uttar Pradesh-Kalpi,Kalpi
10,Veerendra Singh Parihar,Rashtriya Jan Manch,34,25,20,16,14,23,23,33,27,25,31,33,25,12,49,21,30,26,19,40,59,14,18,26,42,46,30,24,47,43,16,26,21,55,44,40,9,Uttar Pradesh-Kalpi,Kalpi
11,AINUL HASAN MANSOORI,Independent,262,269,118,168,174,201,250,152,256,139,198,186,261,84,315,193,241,280,169,235,525,144,212,250,175,228,192,89,379,228,78,200,176,318,447,199,153,Uttar Pradesh-Kalpi,Kalpi
12,ANJANA DEVI,Independent,33,36,23,17,21,22,26,20,28,30,27,33,19,14,43,21,23,28,16,32,60,18,21,38,40,31,33,38,52,31,18,29,28,58,49,29,21,Uttar Pradesh-Kalpi,Kalpi
13,SHYAM KISHOR,Independent,30,29,32,39,29,32,44,32,38,41,35,39,33,32,44,26,37,37,33,29,43,18,20,15,50,37,28,55,123,372,22,47,25,56,46,39,9,Uttar Pradesh-Kalpi,Kalpi
14,SUNDAR,Jan Adhikar Party,24,22,19,19,19,23,32,34,27,38,40,34,21,18,51,23,11,22,17,69,23,36,18,24,130,98,34,61,91,47,36,25,30,65,61,60,9,Uttar Pradesh-Kalpi,Kalpi
15,NOTA,None of the Above,33,33,29,28,28,38,39,41,39,44,49,38,36,32,58,36,45,60,51,78,77,50,39,39,53,45,52,56,77,45,48,37,29,77,67,45,26,Uttar Pradesh-Kalpi,Kalpi
