O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Afaq Ali Khan,Bahujan Samaj Party,1086,1795,1066,1142,349,1461,1153,803,605,417,824,1482,719,806,1802,435,1948,2685,1779,2430,2345,1119,186,59,1612,1852,66,934,771,785,599,536,229,298,Uttar Pradesh-Kanth,Kanth
2,Mohd Israr,Indian National Congress,19,49,26,37,22,24,26,33,20,20,32,27,23,28,59,49,40,39,46,39,31,61,16,43,26,42,394,51,29,23,40,44,0,8,Uttar Pradesh-Kanth,Kanth
3,Kamal Akhtar,Samajwadi Party,4271,5199,3090,3639,5747,2126,3381,2357,2840,5468,3411,2525,3243,3532,3387,5935,3525,3154,1987,3425,3979,2984,5951,6638,3277,2936,5375,5899,5005,4541,6647,7687,132,888,Uttar Pradesh-Kanth,Kanth
4,Rajesh Kumar Singh,Bharatiya Janata Party,3122,865,4222,3750,2749,3197,3836,4761,2968,758,3554,4137,4110,2876,3632,1567,2723,3262,5135,3933,2037,4053,1656,706,3263,3569,1848,1252,1665,2437,1017,1183,437,773,Uttar Pradesh-Kanth,Kanth
5,Kailash Kumar Saini,Loktanter Suraksha Party,92,6,235,28,35,65,133,201,70,32,34,194,185,47,189,12,16,51,219,30,18,31,12,9,45,42,59,20,9,39,9,13,5,20,Uttar Pradesh-Kanth,Kanth
6,Tirilok Chandra Diwaker,Aam Aadmi Party,10,6,12,7,3,3,8,8,17,6,7,11,11,8,6,7,7,8,24,22,9,7,5,3,8,13,9,11,7,6,3,5,0,2,Uttar Pradesh-Kanth,Kanth
7,Nar Singh Saini,Jan Adhikar Party,11,4,5,19,4,7,10,10,7,5,6,7,13,2,7,4,0,9,13,3,10,11,1,1,7,4,3,7,1,3,4,3,0,1,Uttar Pradesh-Kanth,Kanth
8,Nadir Ali Mansoori,Peace Party,14,3,10,2,2,4,3,3,8,4,4,3,2,7,5,5,5,5,8,5,3,4,5,3,12,3,1,7,4,4,1,6,0,1,Uttar Pradesh-Kanth,Kanth
9,Rajesh Kumar,Rashtriya Samaj Paksha,34,4,13,2,5,7,11,8,10,13,34,9,32,11,24,8,7,30,61,16,6,7,3,7,10,21,4,18,7,3,6,5,0,1,Uttar Pradesh-Kanth,Kanth
10,Raisuddin,All India Majlis-E-Ittehadul Muslimeen,152,170,79,45,107,30,39,39,99,254,30,11,28,87,51,223,215,40,24,22,105,76,68,145,44,17,93,94,172,112,74,136,1,3,Uttar Pradesh-Kanth,Kanth
11,Mohd Aslam,Independent,10,4,12,1,2,1,6,16,7,6,7,7,15,8,6,9,13,11,19,11,13,9,5,3,15,8,6,18,5,4,6,10,3,0,Uttar Pradesh-Kanth,Kanth
12,Omkar Singh,Independent,23,9,20,47,103,34,129,34,7,5,13,13,14,18,5,23,32,48,121,14,9,10,5,10,11,20,6,14,15,12,5,14,2,2,Uttar Pradesh-Kanth,Kanth
13,Dushyant Singh,Independent,19,3,14,7,9,14,15,28,27,5,16,10,23,17,8,15,8,16,24,28,16,18,7,3,15,18,8,17,12,9,11,11,1,3,Uttar Pradesh-Kanth,Kanth
14,Mujfafar Khan,Independent,27,16,25,17,17,14,28,28,19,29,22,6,21,27,22,45,21,23,13,22,29,21,10,18,22,15,21,52,25,20,29,34,2,3,Uttar Pradesh-Kanth,Kanth
15,Humaira Akhtar,Independent,11,7,9,6,5,5,17,8,9,7,12,6,8,8,7,9,6,12,14,22,9,7,8,6,6,8,9,12,8,5,8,6,2,1,Uttar Pradesh-Kanth,Kanth
16,NOTA,None of the Above,30,30,44,36,20,17,27,32,24,36,26,22,33,33,29,43,32,38,29,56,44,39,21,36,46,34,29,28,15,32,32,29,3,6,Uttar Pradesh-Kanth,Kanth
