O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,R-43,state_city,constituency_from_link
1,KANHAIYA PRASAD,Bahujan Samaj Party,432,219,435,595,718,701,666,592,490,618,463,556,568,595,570,565,459,813,639,760,479,657,544,491,569,593,552,956,497,1171,636,938,821,608,685,609,482,965,1184,573,668,267,17,Uttar Pradesh-Kapilvastu,Kapilvastu 
2,DEVENDRA KUMAR GUDDU,Indian National Congress,50,28,40,72,42,36,35,25,33,55,46,55,50,44,39,57,65,67,49,47,40,42,42,48,59,88,67,82,103,79,76,70,60,84,53,77,119,91,72,61,78,43,0,Uttar Pradesh-Kapilvastu,Kapilvastu 
3,VIJAY KUMAR,Samajwadi Party,2757,2655,3054,2385,2121,2287,2379,2458,2468,2825,3000,2515,1662,2764,1112,1747,2432,1830,2008,2161,1934,1563,1878,1994,2163,2209,2946,2093,2483,1447,2557,2096,2799,1678,1925,1872,1529,1779,2751,1573,1900,1231,140,Uttar Pradesh-Kapilvastu,Kapilvastu 
4,SHYAMDHANI RAHI,Bharatiya Janata Party,1117,2452,2344,2792,2944,2412,1873,2226,1988,2015,2803,2878,3616,3536,4504,3634,3600,3516,2609,2100,2922,3321,2532,4012,3658,3320,2850,4259,1789,3228,2269,3319,2941,3771,2651,2853,3803,2861,2507,3555,2893,1952,241,Uttar Pradesh-Kapilvastu,Kapilvastu 
5,BHAGGAN,Sabka Dal United,17,44,46,46,59,30,29,34,33,44,48,59,102,53,91,75,74,65,114,67,48,84,255,67,46,42,47,69,34,52,56,62,78,166,74,60,59,67,52,53,43,40,13,Uttar Pradesh-Kapilvastu,Kapilvastu 
6,BHALU ALIAS SANJAY,Samajhdar Party,9,9,13,12,15,6,8,7,10,7,9,16,9,12,19,19,9,20,14,9,11,14,7,25,7,5,8,19,14,16,9,13,13,25,13,18,15,14,6,14,7,4,1,Uttar Pradesh-Kapilvastu,Kapilvastu 
7,MAHESH KUMAR RAO,Aam Aadmi Party,3,9,14,6,14,8,15,8,5,19,4,13,9,26,17,13,14,11,13,10,9,18,15,12,8,5,8,12,15,10,16,14,10,28,13,14,19,18,13,20,12,5,2,Uttar Pradesh-Kapilvastu,Kapilvastu 
8,SHAMBHOO PRASAD,Bahujan Mukti Party,5,7,20,14,8,7,11,13,13,12,10,17,18,13,19,18,12,16,15,10,7,8,15,11,19,9,20,14,10,15,24,23,27,29,20,18,16,11,15,13,14,15,3,Uttar Pradesh-Kapilvastu,Kapilvastu 
9,SANJAY KUMAR,Bahujan Maha Party,17,18,23,23,17,25,10,8,18,22,19,19,23,17,14,20,18,26,12,18,27,16,7,9,10,20,29,21,18,27,17,15,23,19,21,19,14,16,22,16,13,20,0,Uttar Pradesh-Kapilvastu,Kapilvastu 
10,PINGAL PRASAD,Independent,12,12,33,24,19,13,7,16,10,17,5,22,20,15,15,30,24,36,29,18,15,23,14,13,16,19,20,30,20,19,20,35,34,33,22,21,28,21,26,17,19,23,2,Uttar Pradesh-Kapilvastu,Kapilvastu 
11,NOTA,None of the Above,35,53,69,48,56,51,47,30,33,43,48,54,62,61,67,84,71,59,67,59,53,46,48,44,50,65,42,56,47,78,52,53,55,86,63,53,38,60,54,42,60,35,1,Uttar Pradesh-Kapilvastu,Kapilvastu 
