O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,ARVIND KUMAR SHUKLA,Bahujan Samaj Party,476,315,304,1080,851,556,1355,787,1208,666,1288,765,991,1346,801,723,599,838,882,753,823,1042,418,523,733,627,1097,31,Uttar Pradesh-Karachhana,Karachhana
2,UJJWAL RAMAN SINGH,Samajwadi Party,2414,2505,2896,2889,1887,3636,2207,2881,3310,3558,3135,3195,3432,2611,2615,4202,3691,3066,2862,2562,3021,3047,3377,2992,2670,2592,2148,352,Uttar Pradesh-Karachhana,Karachhana
3,PIYUSH RANJAN NISHAD,Bharatiya Janata Party,2885,3714,4704,3499,4994,2768,3060,3135,3114,3332,3195,3351,3163,2905,4075,2766,2478,3379,2940,3412,3020,3515,2652,2610,3320,3502,3226,623,Uttar Pradesh-Karachhana,Karachhana
4,RINKI PATEL,Indian National Congress,66,98,119,91,103,179,106,103,574,362,80,185,240,152,187,56,177,120,54,195,211,142,176,133,107,162,142,10,Uttar Pradesh-Karachhana,Karachhana
5,AJEET KUMAR PATEL,Pragatisheel Samaj Party,17,14,43,29,32,37,23,29,39,24,39,42,29,38,26,22,36,28,18,32,21,27,24,21,22,27,26,3,Uttar Pradesh-Karachhana,Karachhana
6,ANIL KUMAR SINGH,Bahujan Mukti Party,6,4,7,19,9,12,16,16,26,24,12,35,30,30,11,39,27,21,39,72,56,133,38,25,17,14,14,2,Uttar Pradesh-Karachhana,Karachhana
7,OM GURU CHARAN DAS,Sanatan Sanskriti Raksha Dal,9,8,14,16,14,12,13,11,21,25,14,21,27,25,23,13,25,21,17,21,9,17,20,19,23,21,17,3,Uttar Pradesh-Karachhana,Karachhana
8,JAGANNATH PATEL,Aam Aadmi Party,15,15,21,26,20,18,16,18,13,22,31,33,20,19,20,17,12,33,15,25,15,19,15,25,16,29,12,1,Uttar Pradesh-Karachhana,Karachhana
9,DHANRAJ SINGH,Yuva Vikas Party,5,6,7,16,8,11,13,12,17,15,9,21,15,11,15,9,20,5,13,10,10,9,8,16,11,24,15,1,Uttar Pradesh-Karachhana,Karachhana
10,RAJUPAL,Rashtriya Shoshit Samaj Party,16,18,19,18,30,21,24,20,27,26,17,30,30,25,17,17,35,20,14,17,19,20,25,11,18,26,28,7,Uttar Pradesh-Karachhana,Karachhana
11,PRAMOD KUMAR,Independent,19,16,51,22,40,34,35,43,55,26,40,35,28,28,32,32,42,28,24,37,25,27,24,26,31,46,36,6,Uttar Pradesh-Karachhana,Karachhana
12,VINAY KUMAR,Independent,21,18,34,23,22,37,36,33,43,32,44,41,44,35,28,50,75,38,34,20,23,31,26,29,25,41,28,3,Uttar Pradesh-Karachhana,Karachhana
13,NOTA,None of the Above,54,52,82,52,87,68,65,107,90,47,69,64,92,94,58,69,80,70,43,54,62,65,56,57,77,76,89,11,Uttar Pradesh-Karachhana,Karachhana
