O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,Mohd. Arif,Bahujan Samaj Party,361,1284,1378,714,1083,698,1458,412,788,891,1039,1215,617,742,1034,263,340,578,440,458,1064,1164,1040,53,316,702,91,65,1241,675,732,Uttar Pradesh-Kasganj,Kasganj
2,Kuldeep Kumar,Indian National Congress,449,540,246,248,419,123,203,135,233,252,336,238,289,144,107,113,221,145,166,88,152,124,36,53,88,137,99,86,116,285,74,Uttar Pradesh-Kasganj,Kasganj
3,Devendra Singh,Bharatiya Janata Party,1903,3000,3702,2417,2713,3648,4619,5296,3720,3667,4467,4017,2994,1129,3570,5867,5802,3847,5577,4198,4653,4288,3088,2850,5144,4514,4535,3816,4717,5924,3417,Uttar Pradesh-Kasganj,Kasganj
4,Man Pal Singh,Samajwadi Party,5501,2130,1677,3229,4071,2860,1492,2012,2570,2060,2033,2111,2729,3956,2392,1629,1589,3597,1611,1667,1304,3027,3110,6115,1660,1799,2013,2272,1706,996,1567,Uttar Pradesh-Kasganj,Kasganj
5,Avdhesh,India Janshakti Party,37,15,20,25,31,19,6,19,17,56,11,10,17,22,13,12,11,20,14,15,14,24,13,18,9,10,11,13,6,16,11,Uttar Pradesh-Kasganj,Kasganj
6,Indrapal,Rashtriya Surya Prakash Party,20,6,9,9,10,10,6,9,8,6,5,4,8,13,4,6,5,9,3,2,4,5,3,5,0,2,1,1,3,7,8,Uttar Pradesh-Kasganj,Kasganj
7,Prabhoo Dayal Rajpoot,Aazad Samaj Party (Kanshi Ram),15,9,14,13,14,15,9,2,14,5,10,10,8,11,4,8,11,14,5,4,8,22,9,6,5,5,1,4,7,5,9,Uttar Pradesh-Kasganj,Kasganj
8,Manpal,Aam Aadmi Party,24,19,17,23,38,12,6,5,20,14,11,16,11,13,25,16,18,10,14,23,7,28,9,6,21,14,8,42,28,19,16,Uttar Pradesh-Kasganj,Kasganj
9,Rubi,Bahujan Mukti Party,22,24,35,19,30,27,12,20,15,13,16,32,15,18,20,18,15,19,14,20,11,20,9,8,11,7,3,7,11,15,21,Uttar Pradesh-Kasganj,Kasganj
10,Narendra Kumar,Independent,33,28,54,32,41,33,23,20,27,34,26,16,23,23,29,32,22,29,41,32,29,31,12,9,8,14,5,5,14,33,28,Uttar Pradesh-Kasganj,Kasganj
11,Prem Singh,Independent,30,34,42,22,60,29,25,11,43,27,25,17,22,23,21,23,26,20,25,28,16,23,17,4,8,5,8,6,13,30,21,Uttar Pradesh-Kasganj,Kasganj
12,NOTA,None of the Above,72,58,60,48,77,58,44,50,46,29,37,35,43,38,34,29,34,34,23,39,38,52,32,39,26,28,28,23,28,37,43,Uttar Pradesh-Kasganj,Kasganj
