O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,Tahir Vano,Indian National Congress,64,63,77,82,65,83,85,72,76,73,45,304,68,81,85,67,54,65,102,65,71,71,76,78,92,64,83,70,115,95,79,79,69,Uttar Pradesh-Katra Bazar,Katra Bazar
2,Bawan Singh,Bharatiya Janata Party,3094,3878,3009,3110,3331,2396,4283,3702,4186,2512,2636,2939,3265,3358,3456,2778,3318,3066,3651,3894,3461,2575,3489,3837,3923,3292,4177,3630,3642,3965,3530,3728,2969,Uttar Pradesh-Katra Bazar,Katra Bazar
3,Baijnath,Samajwadi Party,3883,3030,4223,3197,2824,3559,2624,2807,2425,3245,2501,2879,3325,2556,3001,2915,2649,3556,2909,2598,2977,3211,2708,2336,2406,2148,2351,2185,2403,3428,2804,2475,1327,Uttar Pradesh-Katra Bazar,Katra Bazar
4,Vinod Kumar,Bahujan Samaj Party,464,341,319,221,232,380,453,516,367,248,521,308,411,523,554,676,705,626,727,945,1018,655,716,618,694,537,730,637,484,562,633,718,643,Uttar Pradesh-Katra Bazar,Katra Bazar
5,Vijay Pra,Aam Aadmi Party,37,13,10,7,7,5,20,16,11,6,14,7,20,22,32,19,128,24,11,19,13,28,23,16,30,15,11,28,31,28,18,38,18,Uttar Pradesh-Katra Bazar,Katra Bazar
6,Umakant,Independent,4,9,4,6,9,6,6,5,6,4,1,3,6,12,8,8,5,8,5,7,9,1,6,5,12,6,4,8,11,7,9,8,5,Uttar Pradesh-Katra Bazar,Katra Bazar
7,Kapil Dev,Independent,10,6,17,11,59,5,9,6,6,2,2,5,8,11,4,4,4,7,7,9,9,7,7,0,7,9,13,10,16,9,8,13,9,Uttar Pradesh-Katra Bazar,Katra Bazar
8,Pradeep Kumar,Independent,22,17,16,15,9,9,13,16,16,8,11,3,12,17,13,9,16,18,9,14,30,10,13,15,22,13,13,15,16,22,17,13,8,Uttar Pradesh-Katra Bazar,Katra Bazar
9,Bhagauti,Independent,21,9,14,12,14,20,15,11,14,20,11,21,7,20,14,22,16,9,10,18,19,15,17,11,17,16,16,17,34,40,25,22,20,Uttar Pradesh-Katra Bazar,Katra Bazar
10,Retindra Pal Singh,Independent,55,39,37,31,31,35,40,36,21,33,29,26,29,29,38,29,20,31,32,40,42,22,35,31,30,29,34,42,26,37,44,34,31,Uttar Pradesh-Katra Bazar,Katra Bazar
11,Renu Devi,Independent,55,40,61,36,31,31,28,37,25,66,54,32,26,28,42,33,29,42,27,37,32,36,25,26,25,26,33,29,24,41,32,26,36,Uttar Pradesh-Katra Bazar,Katra Bazar
12,Vivek,Independent,41,29,28,32,22,27,36,34,34,28,25,32,27,24,33,21,18,35,35,29,39,33,36,24,24,37,34,32,30,41,45,44,32,Uttar Pradesh-Katra Bazar,Katra Bazar
13,NOTA,None of the Above,63,56,72,64,42,56,62,65,53,73,42,48,39,56,60,40,48,69,44,51,57,72,66,55,75,68,75,61,74,96,84,65,50,Uttar Pradesh-Katra Bazar,Katra Bazar
