O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,Tufani Saroj,Samajwadi Party,2534,2906,2891,2566,3130,3025,1845,3053,3822,3062,2355,2144,3340,3202,3465,2658,2157,2935,2578,3265,2651,2031,2603,3202,2107,1353,2684,2262,2065,2482,1748,2095,3016,2868,2378,671,Uttar Pradesh-Kerakat,Kerakat 
2,Dinesh Chaudhary,Bharatiya Janata Party,1991,2675,2014,2816,1697,2182,2351,2798,1290,1235,1544,2223,2548,3116,2514,3144,2292,2183,2326,2771,2763,2540,2708,1960,2502,2726,2171,2307,2401,2278,3901,2694,2170,2769,1442,767,Uttar Pradesh-Kerakat,Kerakat 
3,Rajesh,Indian National Congress,85,92,83,74,70,53,70,71,48,56,82,90,79,51,87,85,99,149,71,83,64,65,97,66,130,58,53,69,57,76,104,72,78,62,45,10,Uttar Pradesh-Kerakat,Kerakat 
4,Lalbahadur,Bahujan Samaj Party,1136,1243,1542,1801,1539,1118,1713,935,1195,1470,2532,2323,1732,935,1266,1649,1009,950,1032,1411,1464,1912,1060,1751,1707,2186,1575,1601,1487,1294,1076,1465,1282,1618,1263,108,Uttar Pradesh-Kerakat,Kerakat 
5,Pappu,Vikassheel Insaan Party,65,27,26,33,38,39,76,221,30,16,40,37,94,14,198,320,111,100,37,79,162,32,290,107,22,34,27,18,25,58,66,52,27,26,29,12,Uttar Pradesh-Kerakat,Kerakat 
6,Ravi Prakash,Bahujan Mukti Party,12,10,9,13,13,16,9,9,7,9,7,14,22,8,16,28,11,9,16,25,31,7,14,11,11,20,14,13,14,8,10,8,17,10,12,1,Uttar Pradesh-Kerakat,Kerakat 
7,Ram Bachan,Bharat Swabhiman Party,14,9,11,8,6,6,16,7,7,11,14,19,11,5,10,22,8,17,12,12,15,15,14,12,6,8,26,13,11,12,13,13,22,9,7,5,Uttar Pradesh-Kerakat,Kerakat 
8,Sushma Devi,Bharatrashtra Democratic Party,21,9,26,27,24,17,29,9,15,22,21,28,27,2,17,32,16,11,15,29,23,30,29,27,19,20,26,22,29,21,18,32,33,12,9,2,Uttar Pradesh-Kerakat,Kerakat 
9,Sanjay Prasad,Bhartiya Shakti Chetna Party,17,9,11,19,9,13,16,17,11,8,9,17,18,2,9,17,9,11,11,11,23,16,10,23,22,17,24,20,39,24,35,24,25,14,8,4,Uttar Pradesh-Kerakat,Kerakat 
10,Subas,Independent,16,19,21,29,22,13,34,29,14,6,18,33,30,11,16,30,14,25,25,17,36,22,34,16,24,13,27,24,33,32,18,21,22,24,14,2,Uttar Pradesh-Kerakat,Kerakat 
11,NOTA,None of the Above,43,52,75,109,66,50,57,62,48,55,38,83,69,36,56,74,43,60,50,73,66,62,54,65,47,44,83,69,70,93,56,68,70,58,37,5,Uttar Pradesh-Kerakat,Kerakat 
