O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,OMPRAKASH GIHAR,Indian National Congress,115,100,176,152,127,98,101,211,101,218,244,75,93,112,93,77,134,126,78,120,144,87,142,142,166,112,171,76,85,58,30,Uttar Pradesh-Khaga,Khaga
2,KRISHNA PASWAN,Bharatiya Janata Party,2911,4024,3456,3613,3694,2573,3273,3449,2983,3267,3039,3378,3718,2968,2618,3596,2863,2185,2666,2450,2979,1994,1851,2010,2050,2485,2210,2153,2104,581,415,Uttar Pradesh-Khaga,Khaga
3,DASHARATH LAL,Bahujan Samaj Party,1019,808,661,614,933,559,696,817,788,697,472,298,462,460,557,1197,744,1036,1150,419,593,631,1124,869,782,600,891,949,975,173,93,Uttar Pradesh-Khaga,Khaga
4,RAM KRISHNA HEGDE,Communist Party of India,86,64,68,78,106,90,88,83,116,91,80,57,80,63,82,70,81,66,51,67,83,46,58,53,72,85,43,58,71,26,8,Uttar Pradesh-Khaga,Khaga
5,RAMTHIRTH PARAMHANS,Samajwadi Party,3316,2390,3129,2740,2280,2203,2573,1889,3292,2982,2342,1810,2156,2786,2310,1781,2907,2773,3176,1913,1815,3036,3684,2447,2499,2545,3273,3076,2903,1080,511,Uttar Pradesh-Khaga,Khaga
6,AJAY KUMAR,Shiv Sena,40,27,21,26,26,24,36,30,35,36,21,24,29,22,33,29,25,26,20,36,32,20,33,14,22,33,23,22,28,27,7,Uttar Pradesh-Khaga,Khaga
7,AJAY CHAODHARY,Bhartiya Shakti Chetna Party,19,16,10,16,20,24,20,12,29,10,17,6,19,17,12,8,12,26,19,16,30,15,14,4,9,21,16,5,14,4,1,Uttar Pradesh-Khaga,Khaga
8,ARVIND KUMAR,Sabka Dal United,28,40,6,20,24,18,222,65,99,27,11,13,20,10,26,73,9,18,11,25,18,8,17,13,16,16,21,10,13,12,0,Uttar Pradesh-Khaga,Khaga
9,NILAM SONI,Vikassheel Insaan Party,14,10,8,16,12,14,16,6,23,10,15,19,64,8,11,15,12,13,15,175,155,8,14,8,25,14,14,8,100,85,2,Uttar Pradesh-Khaga,Khaga
10,RAM BARAN GAUTAM,Peoples Party of India (Democratic),43,21,8,16,38,23,43,40,41,38,32,31,43,14,28,38,37,29,16,47,68,18,35,26,47,41,28,26,50,24,7,Uttar Pradesh-Khaga,Khaga
11,VIJAY KUMAR,Aam Aadmi Party,23,15,8,16,20,12,19,25,29,24,21,25,29,19,19,21,18,27,17,33,25,12,25,10,15,27,17,24,36,14,4,Uttar Pradesh-Khaga,Khaga
12,KESHAN LAL,Independent,23,16,11,14,26,16,23,23,31,16,24,15,23,18,17,25,14,20,17,26,19,23,22,11,22,21,22,16,31,4,0,Uttar Pradesh-Khaga,Khaga
13,MAIKOO LAL,Independent,56,17,22,28,35,43,49,36,43,26,46,26,50,19,53,70,37,48,43,44,43,41,49,30,30,45,40,42,59,13,7,Uttar Pradesh-Khaga,Khaga
14,SURENDRA,Independent,31,32,9,28,51,49,46,42,78,44,52,31,95,54,59,45,37,43,34,68,48,36,37,24,54,52,29,33,39,10,3,Uttar Pradesh-Khaga,Khaga
15,NOTA,None of the Above,85,66,52,59,106,63,92,88,123,62,96,52,94,82,108,97,48,47,63,82,81,58,57,49,65,84,55,52,61,29,5,Uttar Pradesh-Khaga,Khaga
