O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,RAJANI,Indian National Congress,58,60,41,108,103,56,63,56,66,68,68,61,47,68,58,70,37,80,70,65,112,87,44,63,59,72,76,56,62,73,55,86,32,Uttar Pradesh-Khajani,Khajani 
2,RUPAWATI BELDAR,Samajwadi Party,1324,1512,1724,1612,1472,1610,1711,1292,1584,2229,1079,1548,1426,1859,1172,1630,1633,1507,881,1827,1228,1360,1488,1257,1952,2560,1888,2195,2065,1471,1393,2034,957,Uttar Pradesh-Khajani,Khajani 
3,VIDYASAGAR,Bahujan Samaj Party,1494,1303,1373,992,1102,1265,1326,1622,1267,1734,1741,1621,1522,2123,1585,1346,1224,1270,1585,1312,1789,1679,1440,1561,1487,1393,1461,1005,1233,993,1161,1227,961,Uttar Pradesh-Khajani,Khajani 
4,SHRIRAM CHAUHAN,Bharatiya Janata Party,2950,2855,2668,3500,3947,2911,2708,2846,3502,2648,2867,2345,2718,2236,3193,2892,2173,2699,2539,2424,2687,2353,2636,3045,2545,2385,2725,2558,2618,2601,2514,2550,1913,Uttar Pradesh-Khajani,Khajani 
5,AMITA BHARATI,Bahujan Mukti Party,32,35,28,35,49,50,38,50,46,24,31,34,57,38,27,92,40,36,17,33,33,22,35,41,31,44,41,34,35,49,39,46,29,Uttar Pradesh-Khajani,Khajani 
6,GAURI SHANKAR,Adim Bhartiya Dal,1,7,5,4,3,4,12,8,10,3,7,7,21,10,7,12,3,8,6,10,7,9,9,11,14,20,14,9,11,6,14,21,10,Uttar Pradesh-Khajani,Khajani 
7,DEENBANDHU,Aam Aadmi Party,29,16,14,8,15,8,61,19,21,12,7,25,12,13,16,30,10,18,12,122,13,14,6,10,14,36,13,21,13,17,15,25,10,Uttar Pradesh-Khajani,Khajani 
8,RAMESH CHANDRA,Jan Adhikar Party,28,30,40,40,24,9,32,44,88,64,31,76,133,99,21,28,71,25,19,73,25,47,49,14,82,43,37,67,43,91,45,88,20,Uttar Pradesh-Khajani,Khajani 
9,RAJKUMAR,Rashtriya Teesara Vikalp Party,34,19,30,17,11,18,24,29,23,46,32,31,49,34,40,28,22,18,12,31,23,24,20,23,23,25,28,21,16,25,28,40,22,Uttar Pradesh-Khajani,Khajani 
10,RISHIKAPOOR,Independent,12,23,9,26,13,13,19,21,39,16,17,24,21,20,9,28,14,26,11,17,16,16,23,18,24,30,25,23,23,31,26,38,14,Uttar Pradesh-Khajani,Khajani 
11,NOTA,None of the Above,34,46,38,42,40,25,43,34,41,45,35,40,59,34,33,49,41,41,47,31,38,22,48,36,44,47,55,36,33,65,55,62,112,Uttar Pradesh-Khajani,Khajani 
