O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Gangadhar Kushwah,Bahujan Samaj Party,853,563,1349,744,1020,1463,1176,1912,929,1439,1007,346,1299,1060,1689,1629,419,531,613,1540,1020,1347,1001,1203,698,1281,784,Uttar Pradesh-Kheragarh,Kheragarh
2,Bhagwan Singh Kushwaha,Bharatiya Janata Party,2132,2841,2181,3133,3571,3045,3443,3353,2687,3088,3986,4960,3680,4069,3774,2798,3785,2653,4358,4470,4331,4742,4042,3532,3425,4497,3513,Uttar Pradesh-Kheragarh,Kheragarh
3,Ramnath Singh Sikarwar,Indian National Congress,2201,2897,2918,2050,2163,2398,2201,2046,2624,2738,3299,2512,2389,685,566,3430,3308,3364,1765,1289,2061,1488,1801,2145,2103,1720,1800,Uttar Pradesh-Kheragarh,Kheragarh
4,Rohtan,Rashtriya Lok Dal,354,652,400,431,471,331,240,259,196,104,199,125,712,2062,1219,143,367,741,1141,952,355,839,565,202,204,404,169,Uttar Pradesh-Kheragarh,Kheragarh
5,Ashok Kumar,Bharatiya Subhash Sena,12,7,5,5,3,13,12,19,9,39,4,11,15,26,6,11,4,12,10,11,10,18,13,9,8,10,6,Uttar Pradesh-Kheragarh,Kheragarh
6,Banwarilal,Aam Aadmi Party,135,8,13,9,23,12,9,17,16,5,12,8,8,14,7,3,7,4,6,4,7,11,9,3,7,9,7,Uttar Pradesh-Kheragarh,Kheragarh
7,Satish Chandra Bhardwaj,Saman Adhikar Party,4,4,6,4,6,14,4,13,8,7,10,3,7,9,8,6,1,8,5,6,15,9,10,9,10,13,6,Uttar Pradesh-Kheragarh,Kheragarh
8,Ambedakari Hasanuram Ambedakari,Independent,22,16,25,13,18,11,4,28,9,6,15,11,17,39,16,12,6,13,18,42,12,18,26,7,11,22,10,Uttar Pradesh-Kheragarh,Kheragarh
9,Uday Singh,Independent,8,8,6,4,6,7,6,12,3,0,9,9,7,12,7,6,6,6,5,6,10,7,11,4,7,9,3,Uttar Pradesh-Kheragarh,Kheragarh
10,Neeraj Kumar Rawat,Independent,12,10,12,14,11,22,12,10,11,5,12,7,5,6,4,7,3,7,11,9,6,10,9,18,8,17,7,Uttar Pradesh-Kheragarh,Kheragarh
11,Randhaur Singh,Independent,15,18,15,16,11,13,8,15,11,12,7,4,7,16,4,9,9,20,20,16,17,17,12,14,13,14,15,Uttar Pradesh-Kheragarh,Kheragarh
12,Laxmi Narayan,Independent,30,48,55,32,18,26,27,29,34,40,32,23,45,24,20,35,50,45,37,28,43,33,37,33,35,42,23,Uttar Pradesh-Kheragarh,Kheragarh
13,Shyam Sundar,Independent,37,40,35,42,23,25,37,44,38,28,82,37,49,30,26,23,55,37,36,47,45,44,57,41,42,55,29,Uttar Pradesh-Kheragarh,Kheragarh
14,NOTA,None of the Above,35,30,55,34,56,54,39,72,44,55,67,50,60,48,40,44,41,30,43,64,45,71,56,52,37,64,43,Uttar Pradesh-Kheragarh,Kheragarh
