O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,state_city,constituency_from_link
1,AJAY KAPOOR,Indian National Congress,4166,3829,4141,3649,2272,3191,2771,2573,3801,2758,3438,2995,2958,2661,2771,2374,2351,1805,2209,1930,1838,3067,4083,2841,4050,1256,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
2,ABHIMANYU,Samajwadi Party,147,150,289,224,288,233,254,314,364,352,387,343,343,330,302,421,353,468,271,195,219,288,657,347,349,262,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
3,MAHESH KUMAR TRIVEDI,Bharatiya Janata Party,3645,4262,4446,3234,5467,3629,4602,4508,3744,3747,3413,4159,4565,4633,4439,4572,5576,5511,5639,5604,6404,5000,3532,5083,2219,1638,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
4,MOHAN MISHRA,Bahujan Samaj Party,28,24,103,77,63,206,198,250,192,282,271,238,217,172,223,142,147,167,94,108,73,117,108,77,120,87,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
5,ALOK KUMAR,Sabhi Jan Party,2,1,3,3,5,6,8,9,9,7,5,4,7,9,4,4,3,2,6,9,1,12,10,8,10,3,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
6,PAWAN KUMAR TIWARI,Shiv Sena,1,1,2,3,4,7,7,14,7,3,3,3,1,1,4,4,12,2,2,4,0,8,4,7,7,3,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
7,RAKESH KUMAR DIXIT,Jan Sangh Party,1,1,1,4,1,2,11,10,19,13,2,32,3,6,5,4,9,10,0,0,4,8,9,10,7,4,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
8,VIVEK DWIVEDI,Aam Aadmi Party,37,36,38,14,66,50,57,50,30,45,42,28,36,49,43,43,30,16,39,89,108,49,27,65,16,11,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
9,SEEMA UTTAM,Bhartiya Shakti Chetna Party,4,9,26,8,7,18,22,13,23,24,47,19,23,24,17,22,40,14,25,12,18,36,10,23,12,12,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
10,SITARAM SHUKLA,Independent,2,2,4,3,7,1,13,8,17,5,5,7,2,3,1,12,7,9,3,3,1,8,12,7,8,9,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
11,NOTA,None of the Above,48,40,33,21,48,30,50,48,80,34,37,39,37,39,43,35,45,41,36,41,43,40,35,48,38,27,Uttar Pradesh-Kidwai Nagar,Kidwai Nagar
