O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,KUSHAL PAL MAVI,Bahujan Samaj Party,485,412,1876,1009,861,514,613,240,576,396,799,1149,1748,1211,757,1555,1904,2159,1526,1961,1239,620,80,658,1456,588,1550,1875,779,493,Uttar Pradesh-Kithore,Kithore
2,BABITA GURJAR,Indian National Congress,45,61,40,40,43,40,39,34,70,39,283,42,68,75,37,56,62,36,41,21,40,25,38,30,47,61,43,55,38,31,Uttar Pradesh-Kithore,Kithore
3,SHAHID MANZOOR,Samajwadi Party,6413,4678,1835,1322,1767,4380,5240,7474,6724,3504,3799,4549,3856,3902,4647,2193,1445,3219,3963,1761,1387,1183,6075,5806,2192,1696,2629,1818,3146,4188,Uttar Pradesh-Kithore,Kithore
4,SATYAVIR TYAGI,Bharatiya Janata Party,2836,3177,3654,5163,5242,2163,1430,471,1325,2881,2480,2028,3001,3844,2541,4072,4010,3812,4014,3965,5325,7503,2152,1656,5184,5787,3604,4748,4436,1899,Uttar Pradesh-Kithore,Kithore
5,MOHD. ANAS,Aazad Samaj Party (Kanshi Ram),14,35,61,41,28,14,17,7,38,23,16,53,69,29,18,21,58,23,21,58,26,38,20,8,25,20,25,29,12,21,Uttar Pradesh-Kithore,Kithore
6,ZAID,Naki Bharatiya Ekta Party,16,9,19,8,12,19,39,59,44,10,9,9,19,17,13,19,17,27,16,21,7,13,5,14,16,7,11,7,12,6,Uttar Pradesh-Kithore,Kithore
7,TASLEEM AHMAD,All India Majlis-E-Ittehadul Muslimeen,368,468,150,36,7,439,485,442,338,102,100,60,310,141,97,25,5,92,149,65,2,31,398,168,11,10,38,7,46,241,Uttar Pradesh-Kithore,Kithore
8,RAJESH GIRI,Bhartiya Janta Dal,6,13,33,4,4,2,0,4,4,4,3,3,5,3,4,3,5,6,4,2,0,1,3,6,19,2,4,0,4,3,Uttar Pradesh-Kithore,Kithore
9,RAHUL KUMAR,Aam Aadmi Party,6,3,110,8,8,7,3,2,4,5,1,8,10,2,6,7,10,8,5,3,7,5,7,3,15,17,3,10,2,2,Uttar Pradesh-Kithore,Kithore
10,SANJEEV KUMAR,Lok Jan Shakti Party,5,12,5,9,7,8,7,3,4,6,7,2,14,14,3,5,4,3,10,6,6,8,7,7,4,6,0,6,5,4,Uttar Pradesh-Kithore,Kithore
11,CHANDRA VISHAL TYAGI,Independent,11,14,10,11,17,13,3,4,5,20,12,15,20,24,9,16,8,11,10,10,10,26,18,16,14,27,18,10,11,4,Uttar Pradesh-Kithore,Kithore
12,DAUD,Bharatiya Jan Jagriti Party,27,12,9,8,7,14,8,16,27,17,17,22,32,40,27,19,14,27,20,11,10,12,47,52,22,20,12,18,18,16,Uttar Pradesh-Kithore,Kithore
13,PAWAN SHARMA,Independent,13,9,5,7,7,8,8,5,10,13,9,14,11,19,3,15,8,9,5,5,13,21,4,12,15,6,8,6,11,12,Uttar Pradesh-Kithore,Kithore
14,NOTA,None of the Above,28,35,44,14,22,34,19,27,32,22,29,32,46,36,28,27,29,36,29,27,31,21,37,59,36,28,32,32,20,20,Uttar Pradesh-Kithore,Kithore
